S No,Norms,State,Year,Month,Value
4,EURO 6,Puducherry(8),2026,JAN,1
5,NOT AVAILABLE,Puducherry(8),2026,JAN,588
6,TREM STAGE IV,Puducherry(8),2026,JAN,1
1,BHARAT STAGE VI,Puducherry(8),2026,FEB,"4,903"
2,BHARAT (TREM) STAGE III A,Puducherry(8),2026,FEB,8
3,CEV STAGE V,Puducherry(8),2026,FEB,3
4,EURO 6,Puducherry(8),2026,FEB,0
5,NOT AVAILABLE,Puducherry(8),2026,FEB,339
6,TREM STAGE IV,Puducherry(8),2026,FEB,0
1,BHARAT STAGE III,Rajasthan(60),2026,JAN,3
2,BHARAT STAGE IV,Rajasthan(60),2026,JAN,1
3,BHARAT STAGE VI,Rajasthan(60),2026,JAN,"1,28,482"
4,BHARAT (TREM) STAGE III,Rajasthan(60),2026,JAN,0
5,BHARAT (TREM) STAGE III A,Rajasthan(60),2026,JAN,"13,717"
6,CEV STAGE V,Rajasthan(60),2026,JAN,516
7,EURO 6,Rajasthan(60),2026,JAN,2
8,NOT AVAILABLE,Rajasthan(60),2026,JAN,"10,498"
9,TREM STAGE IV,Rajasthan(60),2026,JAN,185
1,BHARAT STAGE III,Rajasthan(60),2026,FEB,0
2,BHARAT STAGE IV,Rajasthan(60),2026,FEB,1
3,BHARAT STAGE VI,Rajasthan(60),2026,FEB,"80,921"
4,BHARAT (TREM) STAGE III,Rajasthan(60),2026,FEB,1
5,BHARAT (TREM) STAGE III A,Rajasthan(60),2026,FEB,"8,206"
6,CEV STAGE V,Rajasthan(60),2026,FEB,352
7,EURO 6,Rajasthan(60),2026,FEB,0
8,NOT AVAILABLE,Rajasthan(60),2026,FEB,"7,087"
9,TREM STAGE IV,Rajasthan(60),2026,FEB,140
1,BHARAT STAGE IV,Sikkim(9),2026,JAN,1
2,BHARAT STAGE VI,Sikkim(9),2026,JAN,"1,160"
3,CEV STAGE V,Sikkim(9),2026,JAN,4
4,NOT AVAILABLE,Sikkim(9),2026,JAN,3
1,BHARAT STAGE IV,Sikkim(9),2026,FEB,0
2,BHARAT STAGE VI,Sikkim(9),2026,FEB,725
3,CEV STAGE V,Sikkim(9),2026,FEB,1
4,NOT AVAILABLE,Sikkim(9),2026,FEB,6
1,BHARAT STAGE IV,Tamil Nadu(148),2026,JAN,1
2,BHARAT STAGE VI,Tamil Nadu(148),2026,JAN,"2,36,807"
3,BHARAT (TREM) STAGE III,Tamil Nadu(148),2026,JAN,1
4,BHARAT (TREM) STAGE III A,Tamil Nadu(148),2026,JAN,"2,905"
5,CEV STAGE IV,Tamil Nadu(148),2026,JAN,0
6,CEV STAGE V,Tamil Nadu(148),2026,JAN,635
7,NOT AVAILABLE,Tamil Nadu(148),2026,JAN,"18,830"
8,TREM STAGE IV,Tamil Nadu(148),2026,JAN,276
9,TREM STAGE V,Tamil Nadu(148),2026,JAN,0
1,BHARAT STAGE IV,Tamil Nadu(148),2026,FEB,0
2,BHARAT STAGE VI,Tamil Nadu(148),2026,FEB,"1,61,991"
3,BHARAT (TREM) STAGE III,Tamil Nadu(148),2026,FEB,0
4,BHARAT (TREM) STAGE III A,Tamil Nadu(148),2026,FEB,"2,838"
5,CEV STAGE IV,Tamil Nadu(148),2026,FEB,1
6,CEV STAGE V,Tamil Nadu(148),2026,FEB,390
7,NOT AVAILABLE,Tamil Nadu(148),2026,FEB,"13,363"
8,TREM STAGE IV,Tamil Nadu(148),2026,FEB,192
9,TREM STAGE V,Tamil Nadu(148),2026,FEB,1
1,BHARAT STAGE VI,Tripura(9),2026,JAN,"4,091"
2,BHARAT (TREM) STAGE III A,Tripura(9),2026,JAN,0
3,CEV STAGE V,Tripura(9),2026,JAN,23
4,NOT AVAILABLE,Tripura(9),2026,JAN,708
1,BHARAT STAGE VI,Tripura(9),2026,FEB,"2,779"
2,BHARAT (TREM) STAGE III A,Tripura(9),2026,FEB,3
3,CEV STAGE V,Tripura(9),2026,FEB,21
4,NOT AVAILABLE,Tripura(9),2026,FEB,488
1,BHARAT STAGE IV,Uttarakhand(21),2026,JAN,6
2,BHARAT STAGE VI,Uttarakhand(21),2026,JAN,"26,235"
3,BHARAT (TREM) STAGE III A,Uttarakhand(21),2026,JAN,399
4,CEV STAGE IV,Uttarakhand(21),2026,JAN,0
5,CEV STAGE V,Uttarakhand(21),2026,JAN,65
6,NOT AVAILABLE,Uttarakhand(21),2026,JAN,"1,683"
7,TREM STAGE IV,Uttarakhand(21),2026,JAN,2
1,BHARAT STAGE IV,Uttarakhand(21),2026,FEB,5
2,BHARAT STAGE VI,Uttarakhand(21),2026,FEB,"14,191"
3,BHARAT (TREM) STAGE III A,Uttarakhand(21),2026,FEB,232
4,CEV STAGE IV,Uttarakhand(21),2026,FEB,2
5,CEV STAGE V,Uttarakhand(21),2026,FEB,49
6,NOT AVAILABLE,Uttarakhand(21),2026,FEB,"1,113"
7,TREM STAGE IV,Uttarakhand(21),2026,FEB,3
1,BHARAT STAGE I,Uttar Pradesh(77),2026,JAN,1
2,BHARAT STAGE III (CEV),Uttar Pradesh(77),2026,JAN,1
3,BHARAT STAGE VI,Uttar Pradesh(77),2026,JAN,"3,11,772"
4,BHARAT (TREM) STAGE III,Uttar Pradesh(77),2026,JAN,0
5,BHARAT (TREM) STAGE III A,Uttar Pradesh(77),2026,JAN,"18,974"
6,CEV STAGE IV,Uttar Pradesh(77),2026,JAN,1
7,CEV STAGE V,Uttar Pradesh(77),2026,JAN,629
8,NOT AVAILABLE,Uttar Pradesh(77),2026,JAN,"34,053"
9,TREM STAGE IV,Uttar Pradesh(77),2026,JAN,602
1,BHARAT STAGE I,Uttar Pradesh(77),2026,FEB,0
2,BHARAT STAGE III (CEV),Uttar Pradesh(77),2026,FEB,0
3,BHARAT STAGE VI,Uttar Pradesh(77),2026,FEB,"2,12,615"
4,BHARAT (TREM) STAGE III,Uttar Pradesh(77),2026,FEB,3
5,BHARAT (TREM) STAGE III A,Uttar Pradesh(77),2026,FEB,"11,633"
6,CEV STAGE IV,Uttar Pradesh(77),2026,FEB,1
7,CEV STAGE V,Uttar Pradesh(77),2026,FEB,258
8,NOT AVAILABLE,Uttar Pradesh(77),2026,FEB,"20,413"
9,TREM STAGE IV,Uttar Pradesh(77),2026,FEB,538
1,BHARAT STAGE IV,West Bengal(59),2026,JAN,1
2,BHARAT STAGE VI,West Bengal(59),2026,JAN,"97,960"
3,BHARAT (TREM) STAGE III A,West Bengal(59),2026,JAN,"1,931"
4,CEV STAGE V,West Bengal(59),2026,JAN,175
5,NOT AVAILABLE,West Bengal(59),2026,JAN,"20,970"
6,TREM STAGE IV,West Bengal(59),2026,JAN,40
1,BHARAT STAGE IV,West Bengal(59),2026,FEB,1
2,BHARAT STAGE VI,West Bengal(59),2026,FEB,"70,323"
3,BHARAT (TREM) STAGE III A,West Bengal(59),2026,FEB,"1,584"
4,CEV STAGE V,West Bengal(59),2026,FEB,170
5,NOT AVAILABLE,West Bengal(59),2026,FEB,"11,673"
6,TREM STAGE IV,West Bengal(59),2026,FEB,37
