state_code,state_name,year,count,growth_pct
MZ,Mizoram,2024:,97033695,7.83%
MZ,Mizoram,2023:,89984536,6.38%
MZ,Mizoram,2022:,84583979,
NL,Nagaland,Till Today,1726904630,
NL,Nagaland,2026:,15414033,
NL,Nagaland,2025:,104042663,7.22%
NL,Nagaland,2024:,97033695,7.83%
NL,Nagaland,2023:,89984536,6.38%
NL,Nagaland,2022:,84583979,
OR,Odisha,Till Today,1726904630,
OR,Odisha,2026:,15414033,
OR,Odisha,2025:,104042663,7.22%
OR,Odisha,2024:,97033695,7.83%
OR,Odisha,2023:,89984536,6.38%
OR,Odisha,2022:,84583979,
PB,Punjab,Till Today,1726904630,
PB,Punjab,2026:,15414033,
PB,Punjab,2025:,104042663,7.22%
PB,Punjab,2024:,97033695,7.83%
PB,Punjab,2023:,89984536,6.38%
PB,Punjab,2022:,84583979,
PY,Puducherry,Till Today,1726904630,
PY,Puducherry,2026:,15414033,
PY,Puducherry,2025:,104042663,7.22%
PY,Puducherry,2024:,97033695,7.83%
PY,Puducherry,2023:,89984536,6.38%
PY,Puducherry,2022:,84583979,
RJ,Rajasthan,Till Today,1726904630,
RJ,Rajasthan,2026:,15414033,
RJ,Rajasthan,2025:,104042663,7.22%
RJ,Rajasthan,2024:,97033695,7.83%
RJ,Rajasthan,2023:,89984536,6.38%
RJ,Rajasthan,2022:,84583979,
SK,Sikkim,Till Today,1726904630,
SK,Sikkim,2026:,15414033,
SK,Sikkim,2025:,104042663,7.22%
SK,Sikkim,2024:,97033695,7.83%
SK,Sikkim,2023:,89984536,6.38%
SK,Sikkim,2022:,84583979,
TN,Tamil Nadu,Till Today,1726904630,
TN,Tamil Nadu,2026:,15414033,
TN,Tamil Nadu,2025:,104042663,7.22%
TN,Tamil Nadu,2024:,97033695,7.83%
TN,Tamil Nadu,2023:,89984536,6.38%
TN,Tamil Nadu,2022:,84583979,
TR,Tripura,Till Today,1726904630,
TR,Tripura,2026:,15414033,
TR,Tripura,2025:,104042663,7.22%
TR,Tripura,2024:,97033695,7.83%
TR,Tripura,2023:,89984536,6.38%
TR,Tripura,2022:,84583979,
UK,Uttarakhand,Till Today,1726904630,
UK,Uttarakhand,2026:,15414033,
UK,Uttarakhand,2025:,104042663,7.22%
UK,Uttarakhand,2024:,97033695,7.83%
UK,Uttarakhand,2023:,89984536,6.38%
UK,Uttarakhand,2022:,84583979,
UP,Uttar Pradesh,Till Today,1726904630,
UP,Uttar Pradesh,2026:,15414033,
UP,Uttar Pradesh,2025:,104042663,7.22%
UP,Uttar Pradesh,2024:,97033695,7.83%
UP,Uttar Pradesh,2023:,89984536,6.38%
UP,Uttar Pradesh,2022:,84583979,
WB,West Bengal,Till Today,1726904630,
WB,West Bengal,2026:,15414033,
WB,West Bengal,2025:,104042663,7.22%
WB,West Bengal,2024:,97033695,7.83%
WB,West Bengal,2023:,89984536,6.38%
WB,West Bengal,2022:,84583979,
