S No,Vehicle Category,State,Year,Fuel,Value
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,BIO-CNG/BIO-GAS,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,BIO-DIESEL(B100),0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
