S No,Vehicle Category,State,Year,Fuel,Value
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,BIO-METHANE,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,CNG ONLY,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,CNG ONLY,"7,176"
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,CNG ONLY,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,CNG ONLY,"1,109"
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,CNG ONLY,"87,822"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,CNG ONLY,619
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,CNG ONLY,"9,560"
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,CNG ONLY,"6,587"
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,CNG ONLY,5
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,CNG ONLY,"3,910"
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,CNG ONLY,21
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,CNG ONLY,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,CNG ONLY,385
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,CNG ONLY,"3,20,234"
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,CNG ONLY,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,CNG ONLY,"42,052"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,CNG ONLY,87
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DIESEL,397
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL,"2,69,545"
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL,"3,743"
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL,"31,536"
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL,"4,75,810"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL,"16,76,937"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL,"92,570"
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL,"39,933"
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL,"7,139"
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL,"31,823"
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,DIESEL,"83,987"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DIESEL,1
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,DIESEL,263
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,DIESEL,"1,51,989"
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DIESEL,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,DIESEL,1
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,DIESEL,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,1
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,"8,623"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,75
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,DUAL DIESEL/BIO CNG,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,1
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,DUAL DIESEL/CNG,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,39
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),19
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),109
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),"1,243"
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),"4,118"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),"35,060"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),"1,576"
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),31
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),155
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),555
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),"5,09,304"
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),11
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),"1,53,767"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),"1,442"
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,ETHANOL,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,ETHANOL,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,ETHANOL,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,ETHANOL,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,ETHANOL,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,ETHANOL,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,ETHANOL,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,ETHANOL,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,ETHANOL,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,ETHANOL,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,ETHANOL,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,ETHANOL,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,ETHANOL,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,ETHANOL,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,ETHANOL,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,ETHANOL,"1,290"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,ETHANOL,2
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,1
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,5
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,FUEL CELL HYDROGEN,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,HCNG,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,HCNG,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,HCNG,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,HCNG,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,HCNG,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,HCNG,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,HCNG,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,HCNG,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,HCNG,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,HCNG,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,HCNG,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,HCNG,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,HCNG,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,HCNG,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,HCNG,0
