S No,Norms,State,Year,Vehicle Category,Value
1,BHARAT STAGE VI,Chhattisgarh(31),2026,MGV,57
2,BHARAT (TREM) STAGE III A,Chhattisgarh(31),2026,MGV,0
3,CEV STAGE V,Chhattisgarh(31),2026,MGV,0
4,NOT AVAILABLE,Chhattisgarh(31),2026,MGV,0
5,TREM STAGE IV,Chhattisgarh(31),2026,MGV,0
1,BHARAT STAGE VI,Chhattisgarh(31),2026,MMV,1
2,BHARAT (TREM) STAGE III A,Chhattisgarh(31),2026,MMV,38
3,CEV STAGE V,Chhattisgarh(31),2026,MMV,9
4,NOT AVAILABLE,Chhattisgarh(31),2026,MMV,0
5,TREM STAGE IV,Chhattisgarh(31),2026,MMV,0
1,BHARAT STAGE VI,Chhattisgarh(31),2026,MPV,117
2,BHARAT (TREM) STAGE III A,Chhattisgarh(31),2026,MPV,0
3,CEV STAGE V,Chhattisgarh(31),2026,MPV,0
4,NOT AVAILABLE,Chhattisgarh(31),2026,MPV,0
5,TREM STAGE IV,Chhattisgarh(31),2026,MPV,0
1,BHARAT STAGE VI,Chhattisgarh(31),2026,OTH,1
2,BHARAT (TREM) STAGE III A,Chhattisgarh(31),2026,OTH,0
3,CEV STAGE V,Chhattisgarh(31),2026,OTH,645
4,NOT AVAILABLE,Chhattisgarh(31),2026,OTH,0
5,TREM STAGE IV,Chhattisgarh(31),2026,OTH,118
1,BHARAT STAGE III,Chandigarh(1),2026,2WIC,0
2,BHARAT STAGE VI,Chandigarh(1),2026,2WIC,4
3,CEV STAGE V,Chandigarh(1),2026,2WIC,0
4,NOT AVAILABLE,Chandigarh(1),2026,2WIC,0
1,BHARAT STAGE III,Chandigarh(1),2026,2WN,0
2,BHARAT STAGE VI,Chandigarh(1),2026,2WN,"3,831"
3,CEV STAGE V,Chandigarh(1),2026,2WN,0
4,NOT AVAILABLE,Chandigarh(1),2026,2WN,189
1,BHARAT STAGE III,Chandigarh(1),2026,2WT,0
2,BHARAT STAGE VI,Chandigarh(1),2026,2WT,9
3,CEV STAGE V,Chandigarh(1),2026,2WT,0
4,NOT AVAILABLE,Chandigarh(1),2026,2WT,1
1,BHARAT STAGE III,Chandigarh(1),2026,3WIC,0
2,BHARAT STAGE VI,Chandigarh(1),2026,3WIC,0
3,CEV STAGE V,Chandigarh(1),2026,3WIC,0
4,NOT AVAILABLE,Chandigarh(1),2026,3WIC,0
1,BHARAT STAGE III,Chandigarh(1),2026,3WN,0
2,BHARAT STAGE VI,Chandigarh(1),2026,3WN,0
3,CEV STAGE V,Chandigarh(1),2026,3WN,0
4,NOT AVAILABLE,Chandigarh(1),2026,3WN,0
1,BHARAT STAGE III,Chandigarh(1),2026,3WT,0
2,BHARAT STAGE VI,Chandigarh(1),2026,3WT,33
3,CEV STAGE V,Chandigarh(1),2026,3WT,0
4,NOT AVAILABLE,Chandigarh(1),2026,3WT,241
1,BHARAT STAGE III,Chandigarh(1),2026,4WIC,0
2,BHARAT STAGE VI,Chandigarh(1),2026,4WIC,29
3,CEV STAGE V,Chandigarh(1),2026,4WIC,0
4,NOT AVAILABLE,Chandigarh(1),2026,4WIC,2
1,BHARAT STAGE III,Chandigarh(1),2026,HGV,0
2,BHARAT STAGE VI,Chandigarh(1),2026,HGV,14
3,CEV STAGE V,Chandigarh(1),2026,HGV,0
4,NOT AVAILABLE,Chandigarh(1),2026,HGV,0
1,BHARAT STAGE III,Chandigarh(1),2026,HMV,0
2,BHARAT STAGE VI,Chandigarh(1),2026,HMV,0
3,CEV STAGE V,Chandigarh(1),2026,HMV,0
4,NOT AVAILABLE,Chandigarh(1),2026,HMV,0
1,BHARAT STAGE III,Chandigarh(1),2026,HPV,0
2,BHARAT STAGE VI,Chandigarh(1),2026,HPV,15
3,CEV STAGE V,Chandigarh(1),2026,HPV,0
4,NOT AVAILABLE,Chandigarh(1),2026,HPV,10
1,BHARAT STAGE III,Chandigarh(1),2026,LGV,0
2,BHARAT STAGE VI,Chandigarh(1),2026,LGV,79
3,CEV STAGE V,Chandigarh(1),2026,LGV,0
4,NOT AVAILABLE,Chandigarh(1),2026,LGV,5
1,BHARAT STAGE III,Chandigarh(1),2026,LMV,0
2,BHARAT STAGE VI,Chandigarh(1),2026,LMV,"3,039"
3,CEV STAGE V,Chandigarh(1),2026,LMV,0
4,NOT AVAILABLE,Chandigarh(1),2026,LMV,359
1,BHARAT STAGE III,Chandigarh(1),2026,LPV,0
2,BHARAT STAGE VI,Chandigarh(1),2026,LPV,49
3,CEV STAGE V,Chandigarh(1),2026,LPV,0
4,NOT AVAILABLE,Chandigarh(1),2026,LPV,1
1,BHARAT STAGE III,Chandigarh(1),2026,MGV,0
2,BHARAT STAGE VI,Chandigarh(1),2026,MGV,16
3,CEV STAGE V,Chandigarh(1),2026,MGV,0
4,NOT AVAILABLE,Chandigarh(1),2026,MGV,0
1,BHARAT STAGE III,Chandigarh(1),2026,MMV,0
2,BHARAT STAGE VI,Chandigarh(1),2026,MMV,0
3,CEV STAGE V,Chandigarh(1),2026,MMV,1
4,NOT AVAILABLE,Chandigarh(1),2026,MMV,0
1,BHARAT STAGE III,Chandigarh(1),2026,MPV,0
2,BHARAT STAGE VI,Chandigarh(1),2026,MPV,8
3,CEV STAGE V,Chandigarh(1),2026,MPV,0
4,NOT AVAILABLE,Chandigarh(1),2026,MPV,0
1,BHARAT STAGE III,Chandigarh(1),2026,OTH,7
2,BHARAT STAGE VI,Chandigarh(1),2026,OTH,0
3,CEV STAGE V,Chandigarh(1),2026,OTH,1
4,NOT AVAILABLE,Chandigarh(1),2026,OTH,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,2WIC,0
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,2WIC,0
3,CEV STAGE V,UT of DNH and DD(3),2026,2WIC,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,2WIC,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,2WN,"2,373"
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,2WN,0
3,CEV STAGE V,UT of DNH and DD(3),2026,2WN,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,2WN,31
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,2WT,7
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,2WT,0
3,CEV STAGE V,UT of DNH and DD(3),2026,2WT,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,2WT,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,3WIC,0
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,3WIC,0
3,CEV STAGE V,UT of DNH and DD(3),2026,3WIC,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,3WIC,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,3WN,1
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,3WN,0
3,CEV STAGE V,UT of DNH and DD(3),2026,3WN,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,3WN,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,3WT,10
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,3WT,0
3,CEV STAGE V,UT of DNH and DD(3),2026,3WT,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,3WT,1
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,4WIC,0
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,4WIC,0
3,CEV STAGE V,UT of DNH and DD(3),2026,4WIC,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,4WIC,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,HGV,339
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,HGV,0
3,CEV STAGE V,UT of DNH and DD(3),2026,HGV,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,HGV,12
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,HMV,1
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,HMV,0
3,CEV STAGE V,UT of DNH and DD(3),2026,HMV,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,HMV,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,HPV,6
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,HPV,0
3,CEV STAGE V,UT of DNH and DD(3),2026,HPV,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,HPV,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,LGV,94
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,LGV,7
3,CEV STAGE V,UT of DNH and DD(3),2026,LGV,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,LGV,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,LMV,"1,278"
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,LMV,1
3,CEV STAGE V,UT of DNH and DD(3),2026,LMV,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,LMV,11
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,LPV,101
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,LPV,0
3,CEV STAGE V,UT of DNH and DD(3),2026,LPV,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,LPV,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,MGV,53
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,MGV,0
3,CEV STAGE V,UT of DNH and DD(3),2026,MGV,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,MGV,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,MMV,0
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,MMV,0
3,CEV STAGE V,UT of DNH and DD(3),2026,MMV,1
4,NOT AVAILABLE,UT of DNH and DD(3),2026,MMV,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,MPV,10
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,MPV,0
3,CEV STAGE V,UT of DNH and DD(3),2026,MPV,0
4,NOT AVAILABLE,UT of DNH and DD(3),2026,MPV,0
1,BHARAT STAGE VI,UT of DNH and DD(3),2026,OTH,0
2,BHARAT (TREM) STAGE III A,UT of DNH and DD(3),2026,OTH,0
3,CEV STAGE V,UT of DNH and DD(3),2026,OTH,19
4,NOT AVAILABLE,UT of DNH and DD(3),2026,OTH,0
1,BHARAT STAGE IV,Delhi(16),2026,2WIC,0
2,BHARAT STAGE VI,Delhi(16),2026,2WIC,0
3,CEV STAGE V,Delhi(16),2026,2WIC,0
4,NOT AVAILABLE,Delhi(16),2026,2WIC,0
1,BHARAT STAGE IV,Delhi(16),2026,2WN,0
2,BHARAT STAGE VI,Delhi(16),2026,2WN,"82,899"
3,CEV STAGE V,Delhi(16),2026,2WN,0
4,NOT AVAILABLE,Delhi(16),2026,2WN,"5,525"
1,BHARAT STAGE IV,Delhi(16),2026,2WT,0
2,BHARAT STAGE VI,Delhi(16),2026,2WT,0
3,CEV STAGE V,Delhi(16),2026,2WT,0
4,NOT AVAILABLE,Delhi(16),2026,2WT,0
1,BHARAT STAGE IV,Delhi(16),2026,3WIC,0
2,BHARAT STAGE VI,Delhi(16),2026,3WIC,0
3,CEV STAGE V,Delhi(16),2026,3WIC,0
4,NOT AVAILABLE,Delhi(16),2026,3WIC,0
1,BHARAT STAGE IV,Delhi(16),2026,3WN,0
2,BHARAT STAGE VI,Delhi(16),2026,3WN,0
3,CEV STAGE V,Delhi(16),2026,3WN,0
4,NOT AVAILABLE,Delhi(16),2026,3WN,0
1,BHARAT STAGE IV,Delhi(16),2026,3WT,0
2,BHARAT STAGE VI,Delhi(16),2026,3WT,"1,656"
3,CEV STAGE V,Delhi(16),2026,3WT,0
4,NOT AVAILABLE,Delhi(16),2026,3WT,"2,273"
1,BHARAT STAGE IV,Delhi(16),2026,4WIC,0
2,BHARAT STAGE VI,Delhi(16),2026,4WIC,40
3,CEV STAGE V,Delhi(16),2026,4WIC,0
4,NOT AVAILABLE,Delhi(16),2026,4WIC,1
1,BHARAT STAGE IV,Delhi(16),2026,HGV,0
2,BHARAT STAGE VI,Delhi(16),2026,HGV,174
3,CEV STAGE V,Delhi(16),2026,HGV,0
4,NOT AVAILABLE,Delhi(16),2026,HGV,0
1,BHARAT STAGE IV,Delhi(16),2026,HMV,0
2,BHARAT STAGE VI,Delhi(16),2026,HMV,0
3,CEV STAGE V,Delhi(16),2026,HMV,0
4,NOT AVAILABLE,Delhi(16),2026,HMV,0
1,BHARAT STAGE IV,Delhi(16),2026,HPV,0
2,BHARAT STAGE VI,Delhi(16),2026,HPV,19
3,CEV STAGE V,Delhi(16),2026,HPV,0
4,NOT AVAILABLE,Delhi(16),2026,HPV,388
1,BHARAT STAGE IV,Delhi(16),2026,LGV,0
2,BHARAT STAGE VI,Delhi(16),2026,LGV,"3,029"
3,CEV STAGE V,Delhi(16),2026,LGV,0
4,NOT AVAILABLE,Delhi(16),2026,LGV,210
1,BHARAT STAGE IV,Delhi(16),2026,LMV,11
2,BHARAT STAGE VI,Delhi(16),2026,LMV,"33,880"
3,CEV STAGE V,Delhi(16),2026,LMV,0
4,NOT AVAILABLE,Delhi(16),2026,LMV,"2,798"
1,BHARAT STAGE IV,Delhi(16),2026,LPV,0
2,BHARAT STAGE VI,Delhi(16),2026,LPV,730
3,CEV STAGE V,Delhi(16),2026,LPV,0
4,NOT AVAILABLE,Delhi(16),2026,LPV,108
1,BHARAT STAGE IV,Delhi(16),2026,MGV,0
2,BHARAT STAGE VI,Delhi(16),2026,MGV,321
3,CEV STAGE V,Delhi(16),2026,MGV,0
4,NOT AVAILABLE,Delhi(16),2026,MGV,0
1,BHARAT STAGE IV,Delhi(16),2026,MMV,0
2,BHARAT STAGE VI,Delhi(16),2026,MMV,0
3,CEV STAGE V,Delhi(16),2026,MMV,16
4,NOT AVAILABLE,Delhi(16),2026,MMV,0
1,BHARAT STAGE IV,Delhi(16),2026,MPV,0
2,BHARAT STAGE VI,Delhi(16),2026,MPV,36
3,CEV STAGE V,Delhi(16),2026,MPV,0
4,NOT AVAILABLE,Delhi(16),2026,MPV,0
1,BHARAT STAGE IV,Delhi(16),2026,OTH,0
2,BHARAT STAGE VI,Delhi(16),2026,OTH,0
3,CEV STAGE V,Delhi(16),2026,OTH,0
4,NOT AVAILABLE,Delhi(16),2026,OTH,0
1,BHARAT STAGE VI,Goa(13),2026,2WIC,4
2,BHARAT (TREM) STAGE III A,Goa(13),2026,2WIC,0
3,CEV STAGE V,Goa(13),2026,2WIC,0
4,NOT AVAILABLE,Goa(13),2026,2WIC,0
1,BHARAT STAGE VI,Goa(13),2026,2WN,"8,033"
2,BHARAT (TREM) STAGE III A,Goa(13),2026,2WN,0
3,CEV STAGE V,Goa(13),2026,2WN,0
4,NOT AVAILABLE,Goa(13),2026,2WN,"1,093"
1,BHARAT STAGE VI,Goa(13),2026,2WT,330
2,BHARAT (TREM) STAGE III A,Goa(13),2026,2WT,0
3,CEV STAGE V,Goa(13),2026,2WT,0
4,NOT AVAILABLE,Goa(13),2026,2WT,0
1,BHARAT STAGE VI,Goa(13),2026,3WIC,0
2,BHARAT (TREM) STAGE III A,Goa(13),2026,3WIC,0
3,CEV STAGE V,Goa(13),2026,3WIC,0
4,NOT AVAILABLE,Goa(13),2026,3WIC,0
1,BHARAT STAGE VI,Goa(13),2026,3WN,0
2,BHARAT (TREM) STAGE III A,Goa(13),2026,3WN,0
3,CEV STAGE V,Goa(13),2026,3WN,0
4,NOT AVAILABLE,Goa(13),2026,3WN,2
1,BHARAT STAGE VI,Goa(13),2026,3WT,34
2,BHARAT (TREM) STAGE III A,Goa(13),2026,3WT,0
3,CEV STAGE V,Goa(13),2026,3WT,0
4,NOT AVAILABLE,Goa(13),2026,3WT,3
1,BHARAT STAGE VI,Goa(13),2026,4WIC,0
2,BHARAT (TREM) STAGE III A,Goa(13),2026,4WIC,0
3,CEV STAGE V,Goa(13),2026,4WIC,0
4,NOT AVAILABLE,Goa(13),2026,4WIC,0
1,BHARAT STAGE VI,Goa(13),2026,HGV,96
2,BHARAT (TREM) STAGE III A,Goa(13),2026,HGV,0
3,CEV STAGE V,Goa(13),2026,HGV,0
4,NOT AVAILABLE,Goa(13),2026,HGV,0
1,BHARAT STAGE VI,Goa(13),2026,HMV,0
2,BHARAT (TREM) STAGE III A,Goa(13),2026,HMV,0
3,CEV STAGE V,Goa(13),2026,HMV,0
4,NOT AVAILABLE,Goa(13),2026,HMV,0
1,BHARAT STAGE VI,Goa(13),2026,HPV,2
2,BHARAT (TREM) STAGE III A,Goa(13),2026,HPV,0
3,CEV STAGE V,Goa(13),2026,HPV,0
4,NOT AVAILABLE,Goa(13),2026,HPV,0
1,BHARAT STAGE VI,Goa(13),2026,LGV,405
2,BHARAT (TREM) STAGE III A,Goa(13),2026,LGV,0
3,CEV STAGE V,Goa(13),2026,LGV,0
4,NOT AVAILABLE,Goa(13),2026,LGV,3
1,BHARAT STAGE VI,Goa(13),2026,LMV,"3,148"
2,BHARAT (TREM) STAGE III A,Goa(13),2026,LMV,3
3,CEV STAGE V,Goa(13),2026,LMV,0
4,NOT AVAILABLE,Goa(13),2026,LMV,215
1,BHARAT STAGE VI,Goa(13),2026,LPV,418
2,BHARAT (TREM) STAGE III A,Goa(13),2026,LPV,0
3,CEV STAGE V,Goa(13),2026,LPV,0
4,NOT AVAILABLE,Goa(13),2026,LPV,1
1,BHARAT STAGE VI,Goa(13),2026,MGV,60
2,BHARAT (TREM) STAGE III A,Goa(13),2026,MGV,0
3,CEV STAGE V,Goa(13),2026,MGV,0
4,NOT AVAILABLE,Goa(13),2026,MGV,0
1,BHARAT STAGE VI,Goa(13),2026,MMV,0
2,BHARAT (TREM) STAGE III A,Goa(13),2026,MMV,0
3,CEV STAGE V,Goa(13),2026,MMV,0
4,NOT AVAILABLE,Goa(13),2026,MMV,0
1,BHARAT STAGE VI,Goa(13),2026,MPV,15
2,BHARAT (TREM) STAGE III A,Goa(13),2026,MPV,0
3,CEV STAGE V,Goa(13),2026,MPV,0
4,NOT AVAILABLE,Goa(13),2026,MPV,0
1,BHARAT STAGE VI,Goa(13),2026,OTH,1
2,BHARAT (TREM) STAGE III A,Goa(13),2026,OTH,0
3,CEV STAGE V,Goa(13),2026,OTH,18
4,NOT AVAILABLE,Goa(13),2026,OTH,0
1,BHARAT STAGE VI,Gujarat(37),2026,2WIC,44
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,2WIC,0
3,CEV STAGE V,Gujarat(37),2026,2WIC,0
4,NOT AVAILABLE,Gujarat(37),2026,2WIC,4
5,TREM STAGE IV,Gujarat(37),2026,2WIC,0
1,BHARAT STAGE VI,Gujarat(37),2026,2WN,"2,21,360"
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,2WN,0
3,CEV STAGE V,Gujarat(37),2026,2WN,0
4,NOT AVAILABLE,Gujarat(37),2026,2WN,"9,669"
5,TREM STAGE IV,Gujarat(37),2026,2WN,0
1,BHARAT STAGE VI,Gujarat(37),2026,2WT,7
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,2WT,0
3,CEV STAGE V,Gujarat(37),2026,2WT,0
4,NOT AVAILABLE,Gujarat(37),2026,2WT,0
5,TREM STAGE IV,Gujarat(37),2026,2WT,0
1,BHARAT STAGE VI,Gujarat(37),2026,3WIC,0
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,3WIC,0
3,CEV STAGE V,Gujarat(37),2026,3WIC,0
4,NOT AVAILABLE,Gujarat(37),2026,3WIC,0
5,TREM STAGE IV,Gujarat(37),2026,3WIC,0
1,BHARAT STAGE VI,Gujarat(37),2026,3WN,1
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,3WN,0
3,CEV STAGE V,Gujarat(37),2026,3WN,0
4,NOT AVAILABLE,Gujarat(37),2026,3WN,0
5,TREM STAGE IV,Gujarat(37),2026,3WN,0
1,BHARAT STAGE VI,Gujarat(37),2026,3WT,"15,342"
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,3WT,0
3,CEV STAGE V,Gujarat(37),2026,3WT,0
4,NOT AVAILABLE,Gujarat(37),2026,3WT,930
5,TREM STAGE IV,Gujarat(37),2026,3WT,0
1,BHARAT STAGE VI,Gujarat(37),2026,4WIC,98
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,4WIC,0
3,CEV STAGE V,Gujarat(37),2026,4WIC,0
4,NOT AVAILABLE,Gujarat(37),2026,4WIC,1
5,TREM STAGE IV,Gujarat(37),2026,4WIC,0
1,BHARAT STAGE VI,Gujarat(37),2026,HGV,"5,090"
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,HGV,0
3,CEV STAGE V,Gujarat(37),2026,HGV,0
4,NOT AVAILABLE,Gujarat(37),2026,HGV,42
5,TREM STAGE IV,Gujarat(37),2026,HGV,0
1,BHARAT STAGE VI,Gujarat(37),2026,HMV,11
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,HMV,0
3,CEV STAGE V,Gujarat(37),2026,HMV,2
4,NOT AVAILABLE,Gujarat(37),2026,HMV,0
5,TREM STAGE IV,Gujarat(37),2026,HMV,0
1,BHARAT STAGE VI,Gujarat(37),2026,HPV,44
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,HPV,0
3,CEV STAGE V,Gujarat(37),2026,HPV,0
4,NOT AVAILABLE,Gujarat(37),2026,HPV,79
5,TREM STAGE IV,Gujarat(37),2026,HPV,0
1,BHARAT STAGE VI,Gujarat(37),2026,LGV,"9,380"
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,LGV,"1,463"
3,CEV STAGE V,Gujarat(37),2026,LGV,0
4,NOT AVAILABLE,Gujarat(37),2026,LGV,151
5,TREM STAGE IV,Gujarat(37),2026,LGV,65
1,BHARAT STAGE VI,Gujarat(37),2026,LMV,"60,905"
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,LMV,"18,783"
3,CEV STAGE V,Gujarat(37),2026,LMV,0
4,NOT AVAILABLE,Gujarat(37),2026,LMV,"2,901"
5,TREM STAGE IV,Gujarat(37),2026,LMV,66
1,BHARAT STAGE VI,Gujarat(37),2026,LPV,"2,963"
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,LPV,0
3,CEV STAGE V,Gujarat(37),2026,LPV,0
4,NOT AVAILABLE,Gujarat(37),2026,LPV,5
5,TREM STAGE IV,Gujarat(37),2026,LPV,0
1,BHARAT STAGE VI,Gujarat(37),2026,MGV,528
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,MGV,0
3,CEV STAGE V,Gujarat(37),2026,MGV,0
4,NOT AVAILABLE,Gujarat(37),2026,MGV,0
5,TREM STAGE IV,Gujarat(37),2026,MGV,0
1,BHARAT STAGE VI,Gujarat(37),2026,MMV,0
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,MMV,0
3,CEV STAGE V,Gujarat(37),2026,MMV,12
4,NOT AVAILABLE,Gujarat(37),2026,MMV,171
5,TREM STAGE IV,Gujarat(37),2026,MMV,0
1,BHARAT STAGE VI,Gujarat(37),2026,MPV,181
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,MPV,0
3,CEV STAGE V,Gujarat(37),2026,MPV,0
4,NOT AVAILABLE,Gujarat(37),2026,MPV,0
5,TREM STAGE IV,Gujarat(37),2026,MPV,0
1,BHARAT STAGE VI,Gujarat(37),2026,OTH,27
2,BHARAT (TREM) STAGE III A,Gujarat(37),2026,OTH,7
3,CEV STAGE V,Gujarat(37),2026,OTH,"1,709"
4,NOT AVAILABLE,Gujarat(37),2026,OTH,0
5,TREM STAGE IV,Gujarat(37),2026,OTH,12
1,BHARAT STAGE II,Himachal Pradesh(96),2026,2WIC,0
2,BHARAT STAGE III,Himachal Pradesh(96),2026,2WIC,0
3,BHARAT STAGE III/IV,Himachal Pradesh(96),2026,2WIC,0
4,BHARAT STAGE IV,Himachal Pradesh(96),2026,2WIC,0
5,BHARAT STAGE VI,Himachal Pradesh(96),2026,2WIC,0
6,BHARAT (TREM) STAGE III A,Himachal Pradesh(96),2026,2WIC,0
7,CEV STAGE IV,Himachal Pradesh(96),2026,2WIC,0
8,CEV STAGE V,Himachal Pradesh(96),2026,2WIC,0
9,NOT AVAILABLE,Himachal Pradesh(96),2026,2WIC,0
10,TREM STAGE IV,Himachal Pradesh(96),2026,2WIC,0
1,BHARAT STAGE II,Himachal Pradesh(96),2026,2WN,27
2,BHARAT STAGE III,Himachal Pradesh(96),2026,2WN,5
3,BHARAT STAGE III/IV,Himachal Pradesh(96),2026,2WN,0
4,BHARAT STAGE IV,Himachal Pradesh(96),2026,2WN,0
5,BHARAT STAGE VI,Himachal Pradesh(96),2026,2WN,"11,263"
6,BHARAT (TREM) STAGE III A,Himachal Pradesh(96),2026,2WN,0
7,CEV STAGE IV,Himachal Pradesh(96),2026,2WN,0
8,CEV STAGE V,Himachal Pradesh(96),2026,2WN,0
9,NOT AVAILABLE,Himachal Pradesh(96),2026,2WN,137
10,TREM STAGE IV,Himachal Pradesh(96),2026,2WN,0
1,BHARAT STAGE II,Himachal Pradesh(96),2026,2WT,0
2,BHARAT STAGE III,Himachal Pradesh(96),2026,2WT,0
3,BHARAT STAGE III/IV,Himachal Pradesh(96),2026,2WT,0
4,BHARAT STAGE IV,Himachal Pradesh(96),2026,2WT,0
5,BHARAT STAGE VI,Himachal Pradesh(96),2026,2WT,106
6,BHARAT (TREM) STAGE III A,Himachal Pradesh(96),2026,2WT,0
7,CEV STAGE IV,Himachal Pradesh(96),2026,2WT,0
8,CEV STAGE V,Himachal Pradesh(96),2026,2WT,0
9,NOT AVAILABLE,Himachal Pradesh(96),2026,2WT,0
10,TREM STAGE IV,Himachal Pradesh(96),2026,2WT,0
1,BHARAT STAGE II,Himachal Pradesh(96),2026,3WIC,0
2,BHARAT STAGE III,Himachal Pradesh(96),2026,3WIC,0
3,BHARAT STAGE III/IV,Himachal Pradesh(96),2026,3WIC,0
4,BHARAT STAGE IV,Himachal Pradesh(96),2026,3WIC,0
5,BHARAT STAGE VI,Himachal Pradesh(96),2026,3WIC,0
6,BHARAT (TREM) STAGE III A,Himachal Pradesh(96),2026,3WIC,0
7,CEV STAGE IV,Himachal Pradesh(96),2026,3WIC,0
8,CEV STAGE V,Himachal Pradesh(96),2026,3WIC,0
9,NOT AVAILABLE,Himachal Pradesh(96),2026,3WIC,0
10,TREM STAGE IV,Himachal Pradesh(96),2026,3WIC,0
1,BHARAT STAGE II,Himachal Pradesh(96),2026,3WN,0
2,BHARAT STAGE III,Himachal Pradesh(96),2026,3WN,0
3,BHARAT STAGE III/IV,Himachal Pradesh(96),2026,3WN,0
4,BHARAT STAGE IV,Himachal Pradesh(96),2026,3WN,0
5,BHARAT STAGE VI,Himachal Pradesh(96),2026,3WN,0
6,BHARAT (TREM) STAGE III A,Himachal Pradesh(96),2026,3WN,0
7,CEV STAGE IV,Himachal Pradesh(96),2026,3WN,0
8,CEV STAGE V,Himachal Pradesh(96),2026,3WN,0
9,NOT AVAILABLE,Himachal Pradesh(96),2026,3WN,0
10,TREM STAGE IV,Himachal Pradesh(96),2026,3WN,0
1,BHARAT STAGE II,Himachal Pradesh(96),2026,3WT,0
2,BHARAT STAGE III,Himachal Pradesh(96),2026,3WT,0
3,BHARAT STAGE III/IV,Himachal Pradesh(96),2026,3WT,0
4,BHARAT STAGE IV,Himachal Pradesh(96),2026,3WT,0
5,BHARAT STAGE VI,Himachal Pradesh(96),2026,3WT,22
6,BHARAT (TREM) STAGE III A,Himachal Pradesh(96),2026,3WT,0
7,CEV STAGE IV,Himachal Pradesh(96),2026,3WT,0
8,CEV STAGE V,Himachal Pradesh(96),2026,3WT,0
