S No,Norms,State,Year,Vehicle Category,Value
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,3WIC,1
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,3WIC,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,3WIC,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,3WN,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,3WN,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,3WN,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,3WN,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,3WN,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,3WN,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,3WN,142
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,3WN,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,3WN,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,3WN,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,3WN,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,3WN,0
13,EURO 1,All Vahan4 Running States (35/36),2026,3WN,0
14,EURO 2,All Vahan4 Running States (35/36),2026,3WN,0
15,EURO 3,All Vahan4 Running States (35/36),2026,3WN,0
16,EURO 6,All Vahan4 Running States (35/36),2026,3WN,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,3WN,66
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,3WN,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,3WN,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,3WT,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,3WT,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,3WT,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,3WT,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,3WT,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,3WT,10
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,3WT,"90,622"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,3WT,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,3WT,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,3WT,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,3WT,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,3WT,0
13,EURO 1,All Vahan4 Running States (35/36),2026,3WT,0
14,EURO 2,All Vahan4 Running States (35/36),2026,3WT,0
15,EURO 3,All Vahan4 Running States (35/36),2026,3WT,0
16,EURO 6,All Vahan4 Running States (35/36),2026,3WT,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,3WT,"1,26,815"
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,3WT,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,3WT,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,4WIC,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,4WIC,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,4WIC,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,4WIC,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,4WIC,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,4WIC,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,4WIC,477
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,4WIC,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,4WIC,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,4WIC,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,4WIC,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,4WIC,0
