S No,Norms,State,Year,Vehicle Class,Value
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),"11,092"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,Adapted Vehicle,1
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,Adapted Vehicle,"27,657"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
13,EURO 1,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
14,EURO 2,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
15,EURO 3,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
16,EURO 4,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
17,EURO 6,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,117
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),726
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
13,EURO 1,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
14,EURO 2,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
15,EURO 3,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
16,EURO 4,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
17,EURO 6,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
18,EURO 6B,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
19,EURO 6D,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),756
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,Motor Car,12
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,Motor Car,328
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,Motor Car,539
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,Motor Car,1
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,Motor Car,402
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,Motor Car,496
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,Motor Car,"39,37,284"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,Motor Car,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,Motor Car,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,Motor Car,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,Motor Car,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,Motor Car,0
13,EURO 1,All Vahan4 Running States (35/36),2025,Motor Car,13
14,EURO 2,All Vahan4 Running States (35/36),2025,Motor Car,27
15,EURO 3,All Vahan4 Running States (35/36),2025,Motor Car,152
16,EURO 4,All Vahan4 Running States (35/36),2025,Motor Car,40
17,EURO 6,All Vahan4 Running States (35/36),2025,Motor Car,25
18,EURO 6B,All Vahan4 Running States (35/36),2025,Motor Car,1
19,EURO 6D,All Vahan4 Running States (35/36),2025,Motor Car,1
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Motor Car,4
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,Motor Car,"1,71,087"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,Motor Car,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,Motor Car,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,Fork Lift,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,Fork Lift,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,Fork Lift,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,Fork Lift,846
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,Fork Lift,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,Fork Lift,1
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,Fork Lift,71
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,Fork Lift,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,Fork Lift,2
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,Fork Lift,2
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,Fork Lift,122
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,Fork Lift,409
13,EURO 1,All Vahan4 Running States (35/36),2025,Fork Lift,0
14,EURO 2,All Vahan4 Running States (35/36),2025,Fork Lift,0
15,EURO 3,All Vahan4 Running States (35/36),2025,Fork Lift,0
16,EURO 4,All Vahan4 Running States (35/36),2025,Fork Lift,0
17,EURO 6,All Vahan4 Running States (35/36),2025,Fork Lift,1
18,EURO 6B,All Vahan4 Running States (35/36),2025,Fork Lift,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,Fork Lift,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Fork Lift,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,Fork Lift,4
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,Fork Lift,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,Fork Lift,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,1
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,3
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,452
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,1
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,5
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,5
13,EURO 1,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
14,EURO 2,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
15,EURO 3,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
16,EURO 4,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
17,EURO 6,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,1
18,EURO 6B,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,40
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,139
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
13,EURO 1,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
14,EURO 2,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
15,EURO 3,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
16,EURO 4,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
17,EURO 6,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,2
18,EURO 6B,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,106
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,30
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
13,EURO 1,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
14,EURO 2,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
15,EURO 3,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
16,EURO 4,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
17,EURO 6,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,1
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,5
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,3
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,"2,467"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,4
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,542
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,18
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,"1,450"
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,"3,363"
13,EURO 1,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
14,EURO 2,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
15,EURO 3,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
16,EURO 4,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
17,EURO 6,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,398
18,EURO 6B,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,7
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,7
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,1
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,Agricultural Tractor,1
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,Agricultural Tractor,6
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,Agricultural Tractor,19
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,Agricultural Tractor,5
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,Agricultural Tractor,56
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,Agricultural Tractor,41
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,Agricultural Tractor,"8,94,692"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,Agricultural Tractor,54
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,Agricultural Tractor,15
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
13,EURO 1,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
14,EURO 2,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
15,EURO 3,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
16,EURO 4,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
17,EURO 6,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Agricultural Tractor,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,Agricultural Tractor,59
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,Agricultural Tractor,"17,826"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,Agricultural Tractor,24
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,Power Tiller,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,Power Tiller,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,Power Tiller,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,Power Tiller,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,Power Tiller,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,Power Tiller,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,Power Tiller,0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,Power Tiller,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,Power Tiller,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,Power Tiller,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,Power Tiller,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,Power Tiller,0
13,EURO 1,All Vahan4 Running States (35/36),2025,Power Tiller,0
14,EURO 2,All Vahan4 Running States (35/36),2025,Power Tiller,0
15,EURO 3,All Vahan4 Running States (35/36),2025,Power Tiller,0
16,EURO 4,All Vahan4 Running States (35/36),2025,Power Tiller,0
17,EURO 6,All Vahan4 Running States (35/36),2025,Power Tiller,0
