S No,Norms,State,Year,Vehicle Class,Value
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,35
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,427
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,218
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,68
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,423
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,"1,84,93,803"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
13,EURO 1,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,14
14,EURO 2,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,3
15,EURO 3,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
16,EURO 4,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,1
17,EURO 6,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,2
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,"12,35,518"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,1
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,"5,393"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
13,EURO 1,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
14,EURO 2,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
15,EURO 3,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
16,EURO 4,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
17,EURO 6,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,313
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,Moped,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,Moped,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,Moped,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,Moped,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,Moped,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,Moped,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,Moped,"3,59,163"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,Moped,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,Moped,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,Moped,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,Moped,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,Moped,0
13,EURO 1,All Vahan4 Running States (35/36),2025,Moped,0
14,EURO 2,All Vahan4 Running States (35/36),2025,Moped,0
15,EURO 3,All Vahan4 Running States (35/36),2025,Moped,0
16,EURO 4,All Vahan4 Running States (35/36),2025,Moped,0
17,EURO 6,All Vahan4 Running States (35/36),2025,Moped,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,Moped,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,Moped,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Moped,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,Moped,"27,003"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,Moped,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,Moped,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),6
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),"1,54,861"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
13,EURO 1,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
14,EURO 2,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
15,EURO 3,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
16,EURO 4,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
17,EURO 6,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
18,EURO 6B,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
19,EURO 6D,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
