state_code,state_name,vehicle_group,maker,year,count
-1,All India,THREE WHEELER,786 ENGINEERING WORKS AP105382023,2WIC,0
-1,All India,THREE WHEELER,786 ENGINEERING WORKS AP105382023,2WN,0
-1,All India,THREE WHEELER,786 ENGINEERING WORKS AP105382023,2WT,0
-1,All India,THREE WHEELER,786 ENGINEERING WORKS AP105382023,,1
-1,All India,THREE WHEELER,786 ENGINEERING WORKS AP105382023,,1
-1,All India,THREE WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,2WIC,7
-1,All India,THREE WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,2WN,37
-1,All India,THREE WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,2WT,121
-1,All India,THREE WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,,35
-1,All India,THREE WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,,18
-1,All India,THREE WHEELER,A-1 SUREJA INDUSTRIES,2WIC,0
-1,All India,THREE WHEELER,A-1 SUREJA INDUSTRIES,2WN,0
-1,All India,THREE WHEELER,A-1 SUREJA INDUSTRIES,2WT,0
-1,All India,THREE WHEELER,A-1 SUREJA INDUSTRIES,,0
-1,All India,THREE WHEELER,A-1 SUREJA INDUSTRIES,,1
-1,All India,THREE WHEELER,A3T INCORPORTED,2WIC,18
-1,All India,THREE WHEELER,A3T INCORPORTED,2WN,11
-1,All India,THREE WHEELER,A3T INCORPORTED,2WT,170
-1,All India,THREE WHEELER,A3T INCORPORTED,,275
-1,All India,THREE WHEELER,A3T INCORPORTED,,105
-1,All India,THREE WHEELER,AADHYA ENTERPRISES,2WIC,9
-1,All India,THREE WHEELER,AADHYA ENTERPRISES,2WN,69
-1,All India,THREE WHEELER,AADHYA ENTERPRISES,2WT,121
-1,All India,THREE WHEELER,AADHYA ENTERPRISES,,9
-1,All India,THREE WHEELER,AADHYA ENTERPRISES,,50
-1,All India,THREE WHEELER,AADITYA EMOTORS INDIA PVT LTD,2WIC,1
-1,All India,THREE WHEELER,AADITYA EMOTORS INDIA PVT LTD,2WN,14
-1,All India,THREE WHEELER,AADITYA EMOTORS INDIA PVT LTD,2WT,31
-1,All India,THREE WHEELER,AADITYA EMOTORS INDIA PVT LTD,,248
-1,All India,THREE WHEELER,AADITYA EMOTORS INDIA PVT LTD,,486
-1,All India,THREE WHEELER,AADITYA GARBAGE PRODUCTS PVT LTD,2WIC,0
-1,All India,THREE WHEELER,AADITYA GARBAGE PRODUCTS PVT LTD,2WN,2
-1,All India,THREE WHEELER,AADITYA GARBAGE PRODUCTS PVT LTD,2WT,16
-1,All India,THREE WHEELER,AADITYA GARBAGE PRODUCTS PVT LTD,,0
-1,All India,THREE WHEELER,AADITYA GARBAGE PRODUCTS PVT LTD,,4
-1,All India,THREE WHEELER,AAHANA COMMERCE PVT LTD,2WIC,202
-1,All India,THREE WHEELER,AAHANA COMMERCE PVT LTD,2WN,61
-1,All India,THREE WHEELER,AAHANA COMMERCE PVT LTD,2WT,0
-1,All India,THREE WHEELER,AAHANA COMMERCE PVT LTD,,0
-1,All India,THREE WHEELER,AAHANA COMMERCE PVT LTD,,0
-1,All India,THREE WHEELER,AAKK AUTO PVT LTD,2WIC,0
-1,All India,THREE WHEELER,AAKK AUTO PVT LTD,2WN,0
-1,All India,THREE WHEELER,AAKK AUTO PVT LTD,2WT,0
-1,All India,THREE WHEELER,AAKK AUTO PVT LTD,,1
-1,All India,THREE WHEELER,AAKK AUTO PVT LTD,,0
-1,All India,THREE WHEELER,A AND Z MOTOR CO P LTD,2WIC,0
-1,All India,THREE WHEELER,A AND Z MOTOR CO P LTD,2WN,0
-1,All India,THREE WHEELER,A AND Z MOTOR CO P LTD,2WT,0
-1,All India,THREE WHEELER,A AND Z MOTOR CO P LTD,,9
-1,All India,THREE WHEELER,A AND Z MOTOR CO P LTD,,12
-1,All India,THREE WHEELER,AARGEE ELECTRIC,2WIC,10
-1,All India,THREE WHEELER,AARGEE ELECTRIC,2WN,0
-1,All India,THREE WHEELER,AARGEE ELECTRIC,2WT,0
-1,All India,THREE WHEELER,AARGEE ELECTRIC,,0
-1,All India,THREE WHEELER,AARGEE ELECTRIC,,1
-1,All India,THREE WHEELER,AARTI AGRO INDUSTRIES,2WIC,0
-1,All India,THREE WHEELER,AARTI AGRO INDUSTRIES,2WN,0
-1,All India,THREE WHEELER,AARTI AGRO INDUSTRIES,2WT,0
-1,All India,THREE WHEELER,AARTI AGRO INDUSTRIES,,0
-1,All India,THREE WHEELER,AARTI AGRO INDUSTRIES,,1
-1,All India,THREE WHEELER,AARYA AUTOMOBILES,2WIC,3
-1,All India,THREE WHEELER,AARYA AUTOMOBILES,2WN,1
-1,All India,THREE WHEELER,AARYA AUTOMOBILES,2WT,0
-1,All India,THREE WHEELER,AARYA AUTOMOBILES,,3
-1,All India,THREE WHEELER,AARYA AUTOMOBILES,,1
-1,All India,THREE WHEELER,AASHI INDIA AUTOMOBILES PVT LTD,2WIC,1
-1,All India,THREE WHEELER,AASHI INDIA AUTOMOBILES PVT LTD,2WN,15
-1,All India,THREE WHEELER,AASHI INDIA AUTOMOBILES PVT LTD,2WT,29
-1,All India,THREE WHEELER,AASHI INDIA AUTOMOBILES PVT LTD,,45
-1,All India,THREE WHEELER,AASHI INDIA AUTOMOBILES PVT LTD,,14
-1,All India,THREE WHEELER,A. A. TRAILOR,2WIC,0
-1,All India,THREE WHEELER,A. A. TRAILOR,2WN,1
-1,All India,THREE WHEELER,A. A. TRAILOR,2WT,0
-1,All India,THREE WHEELER,A. A. TRAILOR,,0
-1,All India,THREE WHEELER,A. A. TRAILOR,,0
-1,All India,THREE WHEELER,A.B. AGRO ENGINEERING WORKS,2WIC,0
-1,All India,THREE WHEELER,A.B. AGRO ENGINEERING WORKS,2WN,1
-1,All India,THREE WHEELER,A.B. AGRO ENGINEERING WORKS,2WT,0
-1,All India,THREE WHEELER,A.B. AGRO ENGINEERING WORKS,,2
-1,All India,THREE WHEELER,A.B. AGRO ENGINEERING WORKS,,1
-1,All India,THREE WHEELER,A B EXCAVATORS & EARTHMOVER LTD,2WIC,1
-1,All India,THREE WHEELER,A B EXCAVATORS & EARTHMOVER LTD,2WN,10
-1,All India,THREE WHEELER,A B EXCAVATORS & EARTHMOVER LTD,2WT,9
-1,All India,THREE WHEELER,A B EXCAVATORS & EARTHMOVER LTD,,12
-1,All India,THREE WHEELER,A B EXCAVATORS & EARTHMOVER LTD,,5
-1,All India,THREE WHEELER,A B EXCAVATORS & EARTHMOVERS PVT LTD,2WIC,0
-1,All India,THREE WHEELER,A B EXCAVATORS & EARTHMOVERS PVT LTD,2WN,1
-1,All India,THREE WHEELER,A B EXCAVATORS & EARTHMOVERS PVT LTD,2WT,5
-1,All India,THREE WHEELER,A B EXCAVATORS & EARTHMOVERS PVT LTD,,7
-1,All India,THREE WHEELER,A B EXCAVATORS & EARTHMOVERS PVT LTD,,2
-1,All India,THREE WHEELER,ABHARAN MOTORS PRIVATE LTD,2WIC,0
-1,All India,THREE WHEELER,ABHARAN MOTORS PRIVATE LTD,2WN,0
-1,All India,THREE WHEELER,ABHARAN MOTORS PRIVATE LTD,2WT,0
-1,All India,THREE WHEELER,ABHARAN MOTORS PRIVATE LTD,,1
-1,All India,THREE WHEELER,ABHARAN MOTORS PRIVATE LTD,,4
-1,All India,THREE WHEELER,ABHAVIS TECHNOLOGY (I) PVT LTD,2WIC,0
-1,All India,THREE WHEELER,ABHAVIS TECHNOLOGY (I) PVT LTD,2WN,0
-1,All India,THREE WHEELER,ABHAVIS TECHNOLOGY (I) PVT LTD,2WT,0
-1,All India,THREE WHEELER,ABHAVIS TECHNOLOGY (I) PVT LTD,,4
-1,All India,THREE WHEELER,ABHAVIS TECHNOLOGY (I) PVT LTD,,1
-1,All India,THREE WHEELER,ABHAY AGRO INDUSTRIES,2WIC,0
-1,All India,THREE WHEELER,ABHAY AGRO INDUSTRIES,2WN,0
-1,All India,THREE WHEELER,ABHAY AGRO INDUSTRIES,2WT,0
-1,All India,THREE WHEELER,ABHAY AGRO INDUSTRIES,,0
-1,All India,THREE WHEELER,ABHAY AGRO INDUSTRIES,,20
-1,All India,THREE WHEELER,ABHISHEK  ENGINEERING WORKS,2WIC,0
-1,All India,THREE WHEELER,ABHISHEK  ENGINEERING WORKS,2WN,0
-1,All India,THREE WHEELER,ABHISHEK  ENGINEERING WORKS,2WT,0
-1,All India,THREE WHEELER,ABHISHEK  ENGINEERING WORKS,,31
-1,All India,THREE WHEELER,ABHISHEK  ENGINEERING WORKS,,52
-1,All India,FOUR WHEELER,3EV INDUSTRIES PVT LTD,4WIC,142
-1,All India,FOUR WHEELER,3EV INDUSTRIES PVT LTD,LMV,0
-1,All India,FOUR WHEELER,3EV INDUSTRIES PVT LTD,MMV,1
-1,All India,FOUR WHEELER,3EV INDUSTRIES PVT LTD,HMV,1
-1,All India,FOUR WHEELER,3EV INDUSTRIES PVT LTD,,12
-1,All India,FOUR WHEELER,3GB TECHNOLOGY PVT LTD,4WIC,7
-1,All India,FOUR WHEELER,3GB TECHNOLOGY PVT LTD,LMV,5
-1,All India,FOUR WHEELER,3GB TECHNOLOGY PVT LTD,MMV,41
-1,All India,FOUR WHEELER,3GB TECHNOLOGY PVT LTD,HMV,50
-1,All India,FOUR WHEELER,3GB TECHNOLOGY PVT LTD,,24
-1,All India,FOUR WHEELER,3S INDUSTRIES PRIVATE LIMITED,4WIC,67
-1,All India,FOUR WHEELER,3S INDUSTRIES PRIVATE LIMITED,LMV,142
-1,All India,FOUR WHEELER,3S INDUSTRIES PRIVATE LIMITED,MMV,103
-1,All India,FOUR WHEELER,3S INDUSTRIES PRIVATE LIMITED,HMV,6
-1,All India,FOUR WHEELER,3S INDUSTRIES PRIVATE LIMITED,,9
-1,All India,FOUR WHEELER,786 ENGINEERING WORKS AP105382023,4WIC,0
-1,All India,FOUR WHEELER,786 ENGINEERING WORKS AP105382023,LMV,0
-1,All India,FOUR WHEELER,786 ENGINEERING WORKS AP105382023,MMV,0
-1,All India,FOUR WHEELER,786 ENGINEERING WORKS AP105382023,HMV,1
-1,All India,FOUR WHEELER,786 ENGINEERING WORKS AP105382023,,1
-1,All India,FOUR WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,4WIC,7
-1,All India,FOUR WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,LMV,37
-1,All India,FOUR WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,MMV,121
-1,All India,FOUR WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,HMV,35
-1,All India,FOUR WHEELER,A1 HEAVY EQUIPMENTS DEVELOPER,,18
-1,All India,FOUR WHEELER,A-1 SUREJA INDUSTRIES,4WIC,0
-1,All India,FOUR WHEELER,A-1 SUREJA INDUSTRIES,LMV,0
-1,All India,FOUR WHEELER,A-1 SUREJA INDUSTRIES,MMV,0
-1,All India,FOUR WHEELER,A-1 SUREJA INDUSTRIES,HMV,0
-1,All India,FOUR WHEELER,A-1 SUREJA INDUSTRIES,,1
-1,All India,FOUR WHEELER,A3T INCORPORTED,4WIC,18
-1,All India,FOUR WHEELER,A3T INCORPORTED,LMV,11
-1,All India,FOUR WHEELER,A3T INCORPORTED,MMV,170
-1,All India,FOUR WHEELER,A3T INCORPORTED,HMV,275
-1,All India,FOUR WHEELER,A3T INCORPORTED,,105
-1,All India,FOUR WHEELER,AADHYA ENTERPRISES,4WIC,9
-1,All India,FOUR WHEELER,AADHYA ENTERPRISES,LMV,69
-1,All India,FOUR WHEELER,AADHYA ENTERPRISES,MMV,121
-1,All India,FOUR WHEELER,AADHYA ENTERPRISES,HMV,9
-1,All India,FOUR WHEELER,AADHYA ENTERPRISES,,50
-1,All India,FOUR WHEELER,AADITYA EMOTORS INDIA PVT LTD,4WIC,1
-1,All India,FOUR WHEELER,AADITYA EMOTORS INDIA PVT LTD,LMV,14
-1,All India,FOUR WHEELER,AADITYA EMOTORS INDIA PVT LTD,MMV,31
-1,All India,FOUR WHEELER,AADITYA EMOTORS INDIA PVT LTD,HMV,248
-1,All India,FOUR WHEELER,AADITYA EMOTORS INDIA PVT LTD,,486
-1,All India,FOUR WHEELER,AADITYA GARBAGE PRODUCTS PVT LTD,4WIC,0
-1,All India,FOUR WHEELER,AADITYA GARBAGE PRODUCTS PVT LTD,LMV,2
-1,All India,FOUR WHEELER,AADITYA GARBAGE PRODUCTS PVT LTD,MMV,16
-1,All India,FOUR WHEELER,AADITYA GARBAGE PRODUCTS PVT LTD,HMV,0
-1,All India,FOUR WHEELER,AADITYA GARBAGE PRODUCTS PVT LTD,,4
-1,All India,FOUR WHEELER,AAHANA COMMERCE PVT LTD,4WIC,202
-1,All India,FOUR WHEELER,AAHANA COMMERCE PVT LTD,LMV,61
-1,All India,FOUR WHEELER,AAHANA COMMERCE PVT LTD,MMV,0
-1,All India,FOUR WHEELER,AAHANA COMMERCE PVT LTD,HMV,0
-1,All India,FOUR WHEELER,AAHANA COMMERCE PVT LTD,,0
-1,All India,FOUR WHEELER,AAKK AUTO PVT LTD,4WIC,0
-1,All India,FOUR WHEELER,AAKK AUTO PVT LTD,LMV,0
-1,All India,FOUR WHEELER,AAKK AUTO PVT LTD,MMV,0
-1,All India,FOUR WHEELER,AAKK AUTO PVT LTD,HMV,1
-1,All India,FOUR WHEELER,AAKK AUTO PVT LTD,,0
-1,All India,FOUR WHEELER,A AND Z MOTOR CO P LTD,4WIC,0
-1,All India,FOUR WHEELER,A AND Z MOTOR CO P LTD,LMV,0
-1,All India,FOUR WHEELER,A AND Z MOTOR CO P LTD,MMV,0
-1,All India,FOUR WHEELER,A AND Z MOTOR CO P LTD,HMV,9
-1,All India,FOUR WHEELER,A AND Z MOTOR CO P LTD,,12
-1,All India,FOUR WHEELER,AARGEE ELECTRIC,4WIC,10
-1,All India,FOUR WHEELER,AARGEE ELECTRIC,LMV,0
-1,All India,FOUR WHEELER,AARGEE ELECTRIC,MMV,0
-1,All India,FOUR WHEELER,AARGEE ELECTRIC,HMV,0
-1,All India,FOUR WHEELER,AARGEE ELECTRIC,,1
-1,All India,FOUR WHEELER,AARTI AGRO INDUSTRIES,4WIC,0
