S No,Vehicle Class,State,Year,Month Wise,Value
21,OMNI BUS,Andaman & Nicobar Island(3),2025,MAR,1
22,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2025,MAR,2
23,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2025,MAR,3
24,TRACTOR (COMMERCIAL),Andaman & Nicobar Island(3),2025,MAR,1
25,VEHICLE FITTED WITH COMPRESSOR,Andaman & Nicobar Island(3),2025,MAR,0
1,ADAPTED VEHICLE,Andaman & Nicobar Island(3),2025,APR,1
2,AGRICULTURAL TRACTOR,Andaman & Nicobar Island(3),2025,APR,0
3,AMBULANCE,Andaman & Nicobar Island(3),2025,APR,0
4,BUS,Andaman & Nicobar Island(3),2025,APR,2
5,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2025,APR,0
6,CRANE MOUNTED VEHICLE,Andaman & Nicobar Island(3),2025,APR,0
7,FIRE FIGHTING VEHICLE,Andaman & Nicobar Island(3),2025,APR,0
8,FIRE TENDERS,Andaman & Nicobar Island(3),2025,APR,0
9,GOODS CARRIER,Andaman & Nicobar Island(3),2025,APR,24
10,HEARSES,Andaman & Nicobar Island(3),2025,APR,0
11,LUXURY CAB,Andaman & Nicobar Island(3),2025,APR,0
12,MAXI CAB,Andaman & Nicobar Island(3),2025,APR,2
13,M-CYCLE/SCOOTER,Andaman & Nicobar Island(3),2025,APR,472
14,M-CYCLE/SCOOTER-WITH SIDE CAR,Andaman & Nicobar Island(3),2025,APR,0
15,MOBILE CLINIC,Andaman & Nicobar Island(3),2025,APR,0
16,MOPED,Andaman & Nicobar Island(3),2025,APR,3
17,MOTOR CAB,Andaman & Nicobar Island(3),2025,APR,16
18,MOTOR CAR,Andaman & Nicobar Island(3),2025,APR,171
19,MOTOR CYCLE/SCOOTER-USED FOR HIRE,Andaman & Nicobar Island(3),2025,APR,15
20,MOTORISED CYCLE (CC > 25CC),Andaman & Nicobar Island(3),2025,APR,0
21,OMNI BUS,Andaman & Nicobar Island(3),2025,APR,1
22,THREE WHEELER (GOODS),Andaman & Nicobar Island(3),2025,APR,1
23,THREE WHEELER (PASSENGER),Andaman & Nicobar Island(3),2025,APR,3
24,TRACTOR (COMMERCIAL),Andaman & Nicobar Island(3),2025,APR,0
25,VEHICLE FITTED WITH COMPRESSOR,Andaman & Nicobar Island(3),2025,APR,0
1,ADAPTED VEHICLE,Andaman & Nicobar Island(3),2025,MAY,0
2,AGRICULTURAL TRACTOR,Andaman & Nicobar Island(3),2025,MAY,0
3,AMBULANCE,Andaman & Nicobar Island(3),2025,MAY,0
4,BUS,Andaman & Nicobar Island(3),2025,MAY,1
5,CONSTRUCTION EQUIPMENT VEHICLE,Andaman & Nicobar Island(3),2025,MAY,0
6,CRANE MOUNTED VEHICLE,Andaman & Nicobar Island(3),2025,MAY,0
7,FIRE FIGHTING VEHICLE,Andaman & Nicobar Island(3),2025,MAY,0
8,FIRE TENDERS,Andaman & Nicobar Island(3),2025,MAY,0
9,GOODS CARRIER,Andaman & Nicobar Island(3),2025,MAY,26
10,HEARSES,Andaman & Nicobar Island(3),2025,MAY,0
11,LUXURY CAB,Andaman & Nicobar Island(3),2025,MAY,0
12,MAXI CAB,Andaman & Nicobar Island(3),2025,MAY,1
