S No,Norms,State,Year,Vehicle Category,Value
15,EURO 3,All Vahan4 Running States (35/36),2025,3WT,0
16,EURO 4,All Vahan4 Running States (35/36),2025,3WT,0
17,EURO 6,All Vahan4 Running States (35/36),2025,3WT,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,3WT,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,3WT,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,3WT,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,3WT,"7,97,005"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,3WT,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,3WT,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,4WIC,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,4WIC,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,4WIC,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,4WIC,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,4WIC,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,4WIC,1
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,4WIC,"3,246"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,4WIC,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,4WIC,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,4WIC,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,4WIC,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,4WIC,0
13,EURO 1,All Vahan4 Running States (35/36),2025,4WIC,0
14,EURO 2,All Vahan4 Running States (35/36),2025,4WIC,0
15,EURO 3,All Vahan4 Running States (35/36),2025,4WIC,0
16,EURO 4,All Vahan4 Running States (35/36),2025,4WIC,0
17,EURO 6,All Vahan4 Running States (35/36),2025,4WIC,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,4WIC,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,4WIC,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,4WIC,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,4WIC,56
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,4WIC,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,4WIC,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,HGV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,HGV,5
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,HGV,126
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,HGV,1
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,HGV,3
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,HGV,63
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,HGV,"2,77,175"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,HGV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,HGV,1
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,HGV,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,HGV,1
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,HGV,0
13,EURO 1,All Vahan4 Running States (35/36),2025,HGV,0
14,EURO 2,All Vahan4 Running States (35/36),2025,HGV,0
15,EURO 3,All Vahan4 Running States (35/36),2025,HGV,0
16,EURO 4,All Vahan4 Running States (35/36),2025,HGV,0
17,EURO 6,All Vahan4 Running States (35/36),2025,HGV,4
18,EURO 6B,All Vahan4 Running States (35/36),2025,HGV,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,HGV,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,HGV,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,HGV,"2,244"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,HGV,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,HGV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,HMV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,HMV,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,HMV,16
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,HMV,590
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,HMV,1
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,HMV,11
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,HMV,763
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,HMV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,HMV,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,HMV,20
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,HMV,680
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,HMV,"1,272"
13,EURO 1,All Vahan4 Running States (35/36),2025,HMV,0
14,EURO 2,All Vahan4 Running States (35/36),2025,HMV,0
15,EURO 3,All Vahan4 Running States (35/36),2025,HMV,0
16,EURO 4,All Vahan4 Running States (35/36),2025,HMV,0
17,EURO 6,All Vahan4 Running States (35/36),2025,HMV,381
18,EURO 6B,All Vahan4 Running States (35/36),2025,HMV,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,HMV,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,HMV,2
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,HMV,17
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,HMV,8
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,HMV,1
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,HPV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,HPV,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,HPV,5
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,HPV,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,HPV,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,HPV,8
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,HPV,"32,639"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,HPV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,HPV,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,HPV,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,HPV,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,HPV,0
13,EURO 1,All Vahan4 Running States (35/36),2025,HPV,0
14,EURO 2,All Vahan4 Running States (35/36),2025,HPV,0
15,EURO 3,All Vahan4 Running States (35/36),2025,HPV,0
16,EURO 4,All Vahan4 Running States (35/36),2025,HPV,0
17,EURO 6,All Vahan4 Running States (35/36),2025,HPV,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,HPV,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,HPV,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,HPV,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,HPV,"4,395"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,HPV,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,HPV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,LGV,1
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,LGV,7
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,LGV,171
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,LGV,3
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,LGV,27
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,LGV,47
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,LGV,"5,38,067"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,LGV,22
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,LGV,"64,704"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,LGV,1
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,LGV,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,LGV,0
13,EURO 1,All Vahan4 Running States (35/36),2025,LGV,0
14,EURO 2,All Vahan4 Running States (35/36),2025,LGV,0
15,EURO 3,All Vahan4 Running States (35/36),2025,LGV,0
16,EURO 4,All Vahan4 Running States (35/36),2025,LGV,0
17,EURO 6,All Vahan4 Running States (35/36),2025,LGV,1
18,EURO 6B,All Vahan4 Running States (35/36),2025,LGV,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,LGV,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,LGV,1
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,LGV,"24,107"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,LGV,995
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,LGV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,LMV,13
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,LMV,331
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,LMV,551
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,LMV,109
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,LMV,407
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,LMV,510
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,LMV,"39,49,800"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,LMV,41
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,LMV,"8,93,751"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,LMV,53
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,LMV,124
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,LMV,49
13,EURO 1,All Vahan4 Running States (35/36),2025,LMV,13
14,EURO 2,All Vahan4 Running States (35/36),2025,LMV,27
15,EURO 3,All Vahan4 Running States (35/36),2025,LMV,152
16,EURO 4,All Vahan4 Running States (35/36),2025,LMV,41
17,EURO 6,All Vahan4 Running States (35/36),2025,LMV,27
18,EURO 6B,All Vahan4 Running States (35/36),2025,LMV,1
19,EURO 6D,All Vahan4 Running States (35/36),2025,LMV,1
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,LMV,4
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,LMV,"2,17,690"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,LMV,"17,821"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,LMV,12
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,LPV,2
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,LPV,3
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,LPV,21
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,LPV,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,LPV,30
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,LPV,173
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,LPV,"3,93,088"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,LPV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,LPV,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,LPV,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,LPV,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,LPV,0
13,EURO 1,All Vahan4 Running States (35/36),2025,LPV,0
14,EURO 2,All Vahan4 Running States (35/36),2025,LPV,0
15,EURO 3,All Vahan4 Running States (35/36),2025,LPV,0
16,EURO 4,All Vahan4 Running States (35/36),2025,LPV,23
17,EURO 6,All Vahan4 Running States (35/36),2025,LPV,6
18,EURO 6B,All Vahan4 Running States (35/36),2025,LPV,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,LPV,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,LPV,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,LPV,"6,792"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,LPV,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,LPV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,MGV,1
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,MGV,1
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,MGV,20
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,MGV,7
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,MGV,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,MGV,2
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,MGV,"46,385"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,MGV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,MGV,48
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,MGV,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,MGV,20
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,MGV,37
13,EURO 1,All Vahan4 Running States (35/36),2025,MGV,0
14,EURO 2,All Vahan4 Running States (35/36),2025,MGV,0
15,EURO 3,All Vahan4 Running States (35/36),2025,MGV,0
16,EURO 4,All Vahan4 Running States (35/36),2025,MGV,0
17,EURO 6,All Vahan4 Running States (35/36),2025,MGV,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,MGV,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,MGV,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,MGV,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,MGV,156
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,MGV,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,MGV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,MMV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,MMV,9
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,MMV,23
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,MMV,"1,727"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,MMV,1
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,MMV,3
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,MMV,277
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,MMV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,MMV,"1,004"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,MMV,1
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,MMV,"1,115"
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,MMV,"2,931"
13,EURO 1,All Vahan4 Running States (35/36),2025,MMV,0
14,EURO 2,All Vahan4 Running States (35/36),2025,MMV,0
15,EURO 3,All Vahan4 Running States (35/36),2025,MMV,0
16,EURO 4,All Vahan4 Running States (35/36),2025,MMV,0
17,EURO 6,All Vahan4 Running States (35/36),2025,MMV,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,MMV,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,MMV,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,MMV,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,MMV,"2,782"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,MMV,42
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,MMV,12
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,MPV,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,MPV,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,MPV,12
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,MPV,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,MPV,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,MPV,3
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,MPV,"35,727"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,MPV,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,MPV,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,MPV,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,MPV,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,MPV,0
13,EURO 1,All Vahan4 Running States (35/36),2025,MPV,0
14,EURO 2,All Vahan4 Running States (35/36),2025,MPV,0
15,EURO 3,All Vahan4 Running States (35/36),2025,MPV,1
16,EURO 4,All Vahan4 Running States (35/36),2025,MPV,0
17,EURO 6,All Vahan4 Running States (35/36),2025,MPV,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,MPV,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,MPV,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,MPV,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,MPV,84
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,MPV,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,MPV,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,OTH,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,OTH,2
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,OTH,88
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,OTH,"11,387"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,OTH,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,OTH,24
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,OTH,"1,725"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,OTH,42
