S No,Norms,State,Year,Vehicle Category,Value
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,2WIC,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,2WIC,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,2WIC,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,2WIC,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,2WIC,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,2WIC,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,2WIC,"24,353"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,2WIC,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,2WIC,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,2WIC,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,2WIC,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,2WIC,0
13,EURO 1,All Vahan4 Running States (35/36),2025,2WIC,0
14,EURO 2,All Vahan4 Running States (35/36),2025,2WIC,0
15,EURO 3,All Vahan4 Running States (35/36),2025,2WIC,0
16,EURO 4,All Vahan4 Running States (35/36),2025,2WIC,0
17,EURO 6,All Vahan4 Running States (35/36),2025,2WIC,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,2WIC,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,2WIC,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,2WIC,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,2WIC,61
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,2WIC,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,2WIC,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,2WN,35
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,2WN,427
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,2WN,218
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,2WN,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,2WN,68
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,2WN,430
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,2WN,"1,90,13,224"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,2WN,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,2WN,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,2WN,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,2WN,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,2WN,0
13,EURO 1,All Vahan4 Running States (35/36),2025,2WN,14
14,EURO 2,All Vahan4 Running States (35/36),2025,2WN,3
15,EURO 3,All Vahan4 Running States (35/36),2025,2WN,0
16,EURO 4,All Vahan4 Running States (35/36),2025,2WN,1
17,EURO 6,All Vahan4 Running States (35/36),2025,2WN,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,2WN,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,2WN,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,2WN,2
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,2WN,"12,73,744"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,2WN,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,2WN,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,2WT,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,2WT,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,2WT,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,2WT,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,2WT,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,2WT,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,2WT,"13,352"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,2WT,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,2WT,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,2WT,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,2WT,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,2WT,0
13,EURO 1,All Vahan4 Running States (35/36),2025,2WT,0
14,EURO 2,All Vahan4 Running States (35/36),2025,2WT,0
15,EURO 3,All Vahan4 Running States (35/36),2025,2WT,0
16,EURO 4,All Vahan4 Running States (35/36),2025,2WT,0
17,EURO 6,All Vahan4 Running States (35/36),2025,2WT,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,2WT,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,2WT,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,2WT,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,2WT,"7,329"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,2WT,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,2WT,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,3WIC,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,3WIC,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,3WIC,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,3WIC,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,3WIC,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,3WIC,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,3WIC,58
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,3WIC,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,3WIC,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,3WIC,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,3WIC,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,3WIC,0
13,EURO 1,All Vahan4 Running States (35/36),2025,3WIC,0
14,EURO 2,All Vahan4 Running States (35/36),2025,3WIC,0
15,EURO 3,All Vahan4 Running States (35/36),2025,3WIC,0
16,EURO 4,All Vahan4 Running States (35/36),2025,3WIC,0
17,EURO 6,All Vahan4 Running States (35/36),2025,3WIC,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,3WIC,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,3WIC,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,3WIC,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,3WIC,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,3WIC,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,3WIC,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,3WN,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,3WN,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,3WN,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,3WN,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,3WN,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,3WN,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,3WN,726
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,3WN,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,3WN,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,3WN,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,3WN,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,3WN,0
13,EURO 1,All Vahan4 Running States (35/36),2025,3WN,0
14,EURO 2,All Vahan4 Running States (35/36),2025,3WN,0
15,EURO 3,All Vahan4 Running States (35/36),2025,3WN,0
16,EURO 4,All Vahan4 Running States (35/36),2025,3WN,0
17,EURO 6,All Vahan4 Running States (35/36),2025,3WN,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,3WN,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,3WN,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,3WN,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,3WN,756
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,3WN,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,3WN,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,3WT,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,3WT,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,3WT,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,3WT,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,3WT,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,3WT,7
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,3WT,"5,11,374"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,3WT,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,3WT,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,3WT,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,3WT,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,3WT,1
13,EURO 1,All Vahan4 Running States (35/36),2025,3WT,0
14,EURO 2,All Vahan4 Running States (35/36),2025,3WT,0
