S No,Norms,State,Year,Fuel,Value
13,EURO 1,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
14,EURO 2,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
15,EURO 3,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
16,EURO 4,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
17,EURO 6,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,DUAL DIESEL/LNG,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),1
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),23
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),7
13,EURO 1,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
14,EURO 2,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
15,EURO 3,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
16,EURO 4,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
17,EURO 6,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),6
18,EURO 6B,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
19,EURO 6D,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),1
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),"7,07,352"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,ELECTRIC(BOV),0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,ETHANOL,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,ETHANOL,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,ETHANOL,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,ETHANOL,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,ETHANOL,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,ETHANOL,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,ETHANOL,"1,292"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,ETHANOL,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,ETHANOL,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,ETHANOL,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,ETHANOL,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,ETHANOL,0
13,EURO 1,All Vahan4 Running States (35/36),2025,ETHANOL,0
14,EURO 2,All Vahan4 Running States (35/36),2025,ETHANOL,0
15,EURO 3,All Vahan4 Running States (35/36),2025,ETHANOL,0
16,EURO 4,All Vahan4 Running States (35/36),2025,ETHANOL,0
17,EURO 6,All Vahan4 Running States (35/36),2025,ETHANOL,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,ETHANOL,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,ETHANOL,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,ETHANOL,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,ETHANOL,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,ETHANOL,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,ETHANOL,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
13,EURO 1,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
14,EURO 2,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
15,EURO 3,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
16,EURO 4,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
17,EURO 6,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
18,EURO 6B,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
19,EURO 6D,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,FLEX-FUEL(BIO-DIESEL),0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,FLEX-FUEL(ETHANOL),0
