S No,Norms,State,Year,Fuel,Value
15,EURO 3,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
16,EURO 4,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
17,EURO 6,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,BIO-METHANE,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,CNG ONLY,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,CNG ONLY,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,CNG ONLY,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,CNG ONLY,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,CNG ONLY,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,CNG ONLY,2
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,CNG ONLY,"4,79,565"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,CNG ONLY,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,CNG ONLY,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,CNG ONLY,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,CNG ONLY,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,CNG ONLY,0
13,EURO 1,All Vahan4 Running States (35/36),2025,CNG ONLY,0
14,EURO 2,All Vahan4 Running States (35/36),2025,CNG ONLY,0
15,EURO 3,All Vahan4 Running States (35/36),2025,CNG ONLY,0
16,EURO 4,All Vahan4 Running States (35/36),2025,CNG ONLY,0
17,EURO 6,All Vahan4 Running States (35/36),2025,CNG ONLY,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,CNG ONLY,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,CNG ONLY,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,CNG ONLY,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,CNG ONLY,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,CNG ONLY,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,CNG ONLY,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,DIESEL,10
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,DIESEL,251
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,DIESEL,559
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,DIESEL,"13,817"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,DIESEL,61
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,DIESEL,302
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,DIESEL,"17,94,519"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,DIESEL,56
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,DIESEL,"9,59,971"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,DIESEL,132
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,DIESEL,"15,831"
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,DIESEL,"42,924"
13,EURO 1,All Vahan4 Running States (35/36),2025,DIESEL,5
14,EURO 2,All Vahan4 Running States (35/36),2025,DIESEL,0
15,EURO 3,All Vahan4 Running States (35/36),2025,DIESEL,2
16,EURO 4,All Vahan4 Running States (35/36),2025,DIESEL,3
17,EURO 6,All Vahan4 Running States (35/36),2025,DIESEL,437
18,EURO 6B,All Vahan4 Running States (35/36),2025,DIESEL,1
19,EURO 6D,All Vahan4 Running States (35/36),2025,DIESEL,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,DIESEL,2
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,DIESEL,53
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,DIESEL,"36,176"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,DIESEL,562
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,1
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,"8,698"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
13,EURO 1,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
14,EURO 2,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
15,EURO 3,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
16,EURO 4,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
17,EURO 6,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
18,EURO 6B,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,DIESEL/HYBRID,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,DI-METHYL ETHER,0
