S No,Fuel,State,Year,Month,Value
12,PETROL/HYBRID,Andhra Pradesh(84),2026,JAN,137
13,PURE EV,Andhra Pradesh(84),2026,JAN,"4,730"
14,STRONG HYBRID EV,Andhra Pradesh(84),2026,JAN,168
1,CNG ONLY,Andhra Pradesh(84),2026,FEB,835
2,DIESEL,Andhra Pradesh(84),2026,FEB,"8,979"
3,DIESEL/HYBRID,Andhra Pradesh(84),2026,FEB,14
4,ELECTRIC(BOV),Andhra Pradesh(84),2026,FEB,567
5,ETHANOL,Andhra Pradesh(84),2026,FEB,0
6,NOT APPLICABLE,Andhra Pradesh(84),2026,FEB,596
7,PETROL,Andhra Pradesh(84),2026,FEB,"15,224"
8,PETROL/CNG,Andhra Pradesh(84),2026,FEB,76
9,PETROL(E20)/CNG,Andhra Pradesh(84),2026,FEB,518
10,PETROL(E20)/HYBRID,Andhra Pradesh(84),2026,FEB,346
11,PETROL/ETHANOL,Andhra Pradesh(84),2026,FEB,"33,767"
12,PETROL/HYBRID,Andhra Pradesh(84),2026,FEB,77
13,PURE EV,Andhra Pradesh(84),2026,FEB,"4,596"
14,STRONG HYBRID EV,Andhra Pradesh(84),2026,FEB,117
1,DIESEL,Arunachal Pradesh(29),2026,JAN,926
2,DIESEL/HYBRID,Arunachal Pradesh(29),2026,JAN,9
3,ELECTRIC(BOV),Arunachal Pradesh(29),2026,JAN,3
4,NOT APPLICABLE,Arunachal Pradesh(29),2026,JAN,10
5,PETROL,Arunachal Pradesh(29),2026,JAN,432
6,PETROL/CNG,Arunachal Pradesh(29),2026,JAN,2
7,PETROL(E20)/HYBRID,Arunachal Pradesh(29),2026,JAN,129
8,PETROL/ETHANOL,Arunachal Pradesh(29),2026,JAN,"1,902"
9,PETROL/HYBRID,Arunachal Pradesh(29),2026,JAN,40
10,PETROL/LPG,Arunachal Pradesh(29),2026,JAN,0
11,PURE EV,Arunachal Pradesh(29),2026,JAN,9
12,STRONG HYBRID EV,Arunachal Pradesh(29),2026,JAN,15
1,DIESEL,Arunachal Pradesh(29),2026,FEB,785
