state_code,state_name,year,count,growth_pct
MP,Madhya Pradesh,2025:,1058575135796,7.23%
MP,Madhya Pradesh,2024:,987238756251,12.61%
MP,Madhya Pradesh,2023:,876711594521,16.36%
MP,Madhya Pradesh,2022:,753453477008,
MZ,Mizoram,Till Today,9097891078269,
MZ,Mizoram,2026:,168025884671,
MZ,Mizoram,2025:,1058575135796,7.23%
MZ,Mizoram,2024:,987238756251,12.61%
MZ,Mizoram,2023:,876711594521,16.36%
MZ,Mizoram,2022:,753453477008,
NL,Nagaland,Till Today,9097891078269,
NL,Nagaland,2026:,168025884671,
NL,Nagaland,2025:,1058575135796,7.23%
NL,Nagaland,2024:,987238756251,12.61%
NL,Nagaland,2023:,876711594521,16.36%
NL,Nagaland,2022:,753453477008,
OR,Odisha,Till Today,9097891078269,
OR,Odisha,2026:,168025884671,
OR,Odisha,2025:,1058575135796,7.23%
OR,Odisha,2024:,987238756251,12.61%
OR,Odisha,2023:,876711594521,16.36%
OR,Odisha,2022:,753453477008,
PB,Punjab,Till Today,9097891078269,
PB,Punjab,2026:,168025884671,
PB,Punjab,2025:,1058575135796,7.23%
PB,Punjab,2024:,987238756251,12.61%
PB,Punjab,2023:,876711594521,16.36%
PB,Punjab,2022:,753453477008,
PY,Puducherry,Till Today,9097891078269,
PY,Puducherry,2026:,168025884671,
PY,Puducherry,2025:,1058575135796,7.23%
PY,Puducherry,2024:,987238756251,12.61%
PY,Puducherry,2023:,876711594521,16.36%
PY,Puducherry,2022:,753453477008,
RJ,Rajasthan,Till Today,9097891078269,
RJ,Rajasthan,2026:,168025884671,
RJ,Rajasthan,2025:,1058575135796,7.23%
RJ,Rajasthan,2024:,987238756251,12.61%
RJ,Rajasthan,2023:,876711594521,16.36%
RJ,Rajasthan,2022:,753453477008,
SK,Sikkim,Till Today,9097891078269,
SK,Sikkim,2026:,168025884671,
SK,Sikkim,2025:,1058575135796,7.23%
SK,Sikkim,2024:,987238756251,12.61%
SK,Sikkim,2023:,876711594521,16.36%
SK,Sikkim,2022:,753453477008,
TN,Tamil Nadu,Till Today,9097891078269,
TN,Tamil Nadu,2026:,168025884671,
TN,Tamil Nadu,2025:,1058575135796,7.23%
TN,Tamil Nadu,2024:,987238756251,12.61%
TN,Tamil Nadu,2023:,876711594521,16.36%
TN,Tamil Nadu,2022:,753453477008,
TR,Tripura,Till Today,9097891078269,
TR,Tripura,2026:,168025884671,
TR,Tripura,2025:,1058575135796,7.23%
TR,Tripura,2024:,987238756251,12.61%
TR,Tripura,2023:,876711594521,16.36%
TR,Tripura,2022:,753453477008,
UK,Uttarakhand,Till Today,9097891078269,
UK,Uttarakhand,2026:,168025884671,
UK,Uttarakhand,2025:,1058575135796,7.23%
UK,Uttarakhand,2024:,987238756251,12.61%
UK,Uttarakhand,2023:,876711594521,16.36%
UK,Uttarakhand,2022:,753453477008,
UP,Uttar Pradesh,Till Today,9097891078269,
