S No,Fuel,State,Year,Vehicle Class,Value
1,CNG ONLY,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,"41,861"
2,DIESEL,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,1
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,"1,48,715"
7,ETHANOL,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,"1,250"
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
9,LNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
11,METHANOL,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,1
13,PETROL,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,"1,34,43,398"
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,2
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,"50,08,651"
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
25,PURE EV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,"10,86,633"
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,19
2,DIESEL,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,36
7,ETHANOL,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
9,LNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
11,METHANOL,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
