S No,Fuel,State,Year,Vehicle Class,Value
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
13,PETROL,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,"3,627"
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,"1,748"
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
25,PURE EV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,277
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,M-Cycle/Scooter-With Side Car,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,Moped,6
2,DIESEL,All Vahan4 Running States (35/36),2025,Moped,0
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,Moped,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,Moped,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,Moped,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,Moped,"3,146"
7,ETHANOL,All Vahan4 Running States (35/36),2025,Moped,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,Moped,0
9,LNG,All Vahan4 Running States (35/36),2025,Moped,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,Moped,0
11,METHANOL,All Vahan4 Running States (35/36),2025,Moped,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Moped,0
13,PETROL,All Vahan4 Running States (35/36),2025,Moped,"1,96,419"
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,Moped,0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,Moped,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,Moped,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Moped,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,Moped,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,Moped,"1,62,738"
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,Moped,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Moped,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,Moped,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,Moped,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,Moped,0
25,PURE EV,All Vahan4 Running States (35/36),2025,Moped,"23,857"
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,Moped,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),166
2,DIESEL,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),"1,880"
7,ETHANOL,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),40
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
9,LNG,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
11,METHANOL,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
13,PETROL,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),"1,08,258"
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),"46,403"
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
25,PURE EV,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),"9,212"
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,Motorised Cycle (CC > 25cc),0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
2,DIESEL,All Vahan4 Running States (35/36),2025,Adapted Vehicle,398
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,Adapted Vehicle,30
7,ETHANOL,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
9,LNG,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
11,METHANOL,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
13,PETROL,All Vahan4 Running States (35/36),2025,Adapted Vehicle,"19,964"
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,Adapted Vehicle,585
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,Adapted Vehicle,36
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,Adapted Vehicle,19
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,Adapted Vehicle,"6,512"
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,Adapted Vehicle,93
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Adapted Vehicle,1
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,Adapted Vehicle,5
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,Adapted Vehicle,0
25,PURE EV,All Vahan4 Running States (35/36),2025,Adapted Vehicle,87
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,Adapted Vehicle,45
1,CNG ONLY,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),385
2,DIESEL,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),263
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),555
7,ETHANOL,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
9,LNG,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),54
11,METHANOL,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
13,PETROL,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),20
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),1
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),3
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
25,PURE EV,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),201
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,Three Wheeler (Personal),0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,Motor Car,328
2,DIESEL,All Vahan4 Running States (35/36),2025,Motor Car,"7,55,203"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,Motor Car,"8,612"
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,Motor Car,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,Motor Car,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,Motor Car,"35,039"
7,ETHANOL,All Vahan4 Running States (35/36),2025,Motor Car,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,Motor Car,0
9,LNG,All Vahan4 Running States (35/36),2025,Motor Car,1
10,LPG ONLY,All Vahan4 Running States (35/36),2025,Motor Car,7
11,METHANOL,All Vahan4 Running States (35/36),2025,Motor Car,1
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Motor Car,2
13,PETROL,All Vahan4 Running States (35/36),2025,Motor Car,"13,21,009"
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,Motor Car,"6,37,242"
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,Motor Car,"82,415"
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,Motor Car,"35,506"
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Motor Car,16
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,Motor Car,382
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,Motor Car,"7,77,198"
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,Motor Car,"2,07,576"
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Motor Car,169
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,Motor Car,"8,773"
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,Motor Car,2
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,Motor Car,71
25,PURE EV,All Vahan4 Running States (35/36),2025,Motor Car,"1,36,058"
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,Motor Car,"1,04,802"
1,CNG ONLY,All Vahan4 Running States (35/36),2025,Fork Lift,0
2,DIESEL,All Vahan4 Running States (35/36),2025,Fork Lift,"1,417"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,Fork Lift,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,Fork Lift,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,Fork Lift,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,Fork Lift,2
7,ETHANOL,All Vahan4 Running States (35/36),2025,Fork Lift,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,Fork Lift,0
9,LNG,All Vahan4 Running States (35/36),2025,Fork Lift,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,Fork Lift,0
11,METHANOL,All Vahan4 Running States (35/36),2025,Fork Lift,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Fork Lift,0
13,PETROL,All Vahan4 Running States (35/36),2025,Fork Lift,17
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,Fork Lift,1
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,Fork Lift,2
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,Fork Lift,1
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Fork Lift,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,Fork Lift,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,Fork Lift,11
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,Fork Lift,2
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Fork Lift,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,Fork Lift,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,Fork Lift,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,Fork Lift,0
25,PURE EV,All Vahan4 Running States (35/36),2025,Fork Lift,3
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,Fork Lift,2
1,CNG ONLY,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
2,DIESEL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,506
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
7,ETHANOL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
9,LNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
11,METHANOL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,2
13,PETROL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
25,PURE EV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Rig,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
2,DIESEL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,139
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
7,ETHANOL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
9,LNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
11,METHANOL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,1
13,PETROL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,1
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
25,PURE EV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Generator,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
2,DIESEL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,141
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
7,ETHANOL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
9,LNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
11,METHANOL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,1
13,PETROL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
23,PETROL/METHANOL,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
24,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
25,PURE EV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
26,STRONG HYBRID EV,All Vahan4 Running States (35/36),2025,Vehicle Fitted With Compressor,0
1,CNG ONLY,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,10
2,DIESEL,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,"8,226"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
4,DUAL DIESEL/CNG,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
5,DUAL DIESEL/LNG,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
6,ELECTRIC(BOV),All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
7,ETHANOL,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
8,FUEL CELL HYDROGEN,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
9,LNG,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
10,LPG ONLY,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
11,METHANOL,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
12,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,5
13,PETROL,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,8
14,PETROL/CNG,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,6
15,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
16,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
17,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
18,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
19,PETROL/ETHANOL,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,3
20,PETROL/HYBRID,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,1
21,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
22,PETROL/LPG,All Vahan4 Running States (35/36),2025,Crane Mounted Vehicle,0
