S No,Fuel,State,Year,Month Wise,Value
1,CNG ONLY,All Vahan4 Running States (35/36),2026,JAN,"46,379"
2,DIESEL,All Vahan4 Running States (35/36),2026,JAN,"3,16,287"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,JAN,"1,012"
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,JAN,"52,012"
5,ETHANOL,All Vahan4 Running States (35/36),2026,JAN,7
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,JAN,4
7,LNG,All Vahan4 Running States (35/36),2026,JAN,57
8,LPG ONLY,All Vahan4 Running States (35/36),2026,JAN,"3,075"
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,JAN,"7,418"
10,PETROL,All Vahan4 Running States (35/36),2026,JAN,"6,65,451"
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,JAN,"29,826"
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,JAN,"88,814"
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,JAN,"26,730"
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,JAN,9
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,JAN,164
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,JAN,"13,18,026"
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,JAN,"7,855"
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,JAN,4
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,JAN,223
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,JAN,5
21,PURE EV,All Vahan4 Running States (35/36),2026,JAN,"1,68,085"
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,JAN,"11,423"
1,CNG ONLY,All Vahan4 Running States (35/36),2026,FEB,"32,594"
2,DIESEL,All Vahan4 Running States (35/36),2026,FEB,"2,12,175"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,FEB,737
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,FEB,"33,856"
5,ETHANOL,All Vahan4 Running States (35/36),2026,FEB,4
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,FEB,0
7,LNG,All Vahan4 Running States (35/36),2026,FEB,4
8,LPG ONLY,All Vahan4 Running States (35/36),2026,FEB,"2,445"
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,FEB,"5,363"
10,PETROL,All Vahan4 Running States (35/36),2026,FEB,"4,80,001"
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,FEB,"12,803"
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,FEB,"57,247"
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,FEB,"13,718"
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,FEB,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,FEB,5
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,FEB,"9,25,885"
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,FEB,"3,891"
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,FEB,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,FEB,9
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,FEB,1
21,PURE EV,All Vahan4 Running States (35/36),2026,FEB,"1,15,337"
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,FEB,"6,676"
1,DIESEL,Andaman & Nicobar Island(3),2026,JAN,57
2,PETROL,Andaman & Nicobar Island(3),2026,JAN,270
3,PETROL/CNG,Andaman & Nicobar Island(3),2026,JAN,3
4,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2026,JAN,1
5,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2026,JAN,20
6,PETROL/ETHANOL,Andaman & Nicobar Island(3),2026,JAN,694
7,PETROL/HYBRID,Andaman & Nicobar Island(3),2026,JAN,5
8,PURE EV,Andaman & Nicobar Island(3),2026,JAN,10
9,STRONG HYBRID EV,Andaman & Nicobar Island(3),2026,JAN,5
1,DIESEL,Andaman & Nicobar Island(3),2026,FEB,46
2,PETROL,Andaman & Nicobar Island(3),2026,FEB,175
3,PETROL/CNG,Andaman & Nicobar Island(3),2026,FEB,0
4,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2026,FEB,0
5,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2026,FEB,29
6,PETROL/ETHANOL,Andaman & Nicobar Island(3),2026,FEB,435
7,PETROL/HYBRID,Andaman & Nicobar Island(3),2026,FEB,5
8,PURE EV,Andaman & Nicobar Island(3),2026,FEB,10
9,STRONG HYBRID EV,Andaman & Nicobar Island(3),2026,FEB,0
1,CNG ONLY,Andhra Pradesh(84),2026,JAN,669
2,DIESEL,Andhra Pradesh(84),2026,JAN,"8,976"
3,DIESEL/HYBRID,Andhra Pradesh(84),2026,JAN,24
4,ELECTRIC(BOV),Andhra Pradesh(84),2026,JAN,493
5,ETHANOL,Andhra Pradesh(84),2026,JAN,1
6,NOT APPLICABLE,Andhra Pradesh(84),2026,JAN,508
7,PETROL,Andhra Pradesh(84),2026,JAN,"16,335"
8,PETROL/CNG,Andhra Pradesh(84),2026,JAN,164
9,PETROL(E20)/CNG,Andhra Pradesh(84),2026,JAN,851
10,PETROL(E20)/HYBRID,Andhra Pradesh(84),2026,JAN,591
11,PETROL(E20)/LPG,Andhra Pradesh(84),2026,JAN,1
12,PETROL/ETHANOL,Andhra Pradesh(84),2026,JAN,"37,896"
13,PETROL/HYBRID,Andhra Pradesh(84),2026,JAN,137
14,PURE EV,Andhra Pradesh(84),2026,JAN,"4,730"
15,STRONG HYBRID EV,Andhra Pradesh(84),2026,JAN,168
1,CNG ONLY,Andhra Pradesh(84),2026,FEB,876
2,DIESEL,Andhra Pradesh(84),2026,FEB,"9,381"
3,DIESEL/HYBRID,Andhra Pradesh(84),2026,FEB,16
4,ELECTRIC(BOV),Andhra Pradesh(84),2026,FEB,595
5,ETHANOL,Andhra Pradesh(84),2026,FEB,0
