S No,Vehicle Category,State,Year,Month,Value
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,JAN,295
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"32,220"
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,JAN,216
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"2,116"
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"69,423"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"5,99,152"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"34,903"
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"5,860"
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,JAN,729
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,JAN,"1,809"
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2026,JAN,"8,404"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,JAN,1
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2026,JAN,123
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2026,JAN,"1,27,034"
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,JAN,"2,571"
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2026,JAN,"18,55,253"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2026,JAN,"2,327"
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,FEB,174
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"24,239"
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,FEB,255
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"2,321"
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"43,909"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"3,22,478"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"27,931"
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"4,383"
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2026,FEB,528
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2026,FEB,"1,598"
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2026,FEB,"6,303"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,FEB,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2026,FEB,82
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2026,FEB,"85,762"
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2026,FEB,"4,542"
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2026,FEB,"12,78,427"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2026,FEB,"1,036"
1,HEAVY GOODS VEHICLE,Andaman & Nicobar Island(3),2026,JAN,3
2,HEAVY PASSENGER VEHICLE,Andaman & Nicobar Island(3),2026,JAN,1
3,LIGHT GOODS VEHICLE,Andaman & Nicobar Island(3),2026,JAN,19
4,LIGHT MOTOR VEHICLE,Andaman & Nicobar Island(3),2026,JAN,231
5,LIGHT PASSENGER VEHICLE,Andaman & Nicobar Island(3),2026,JAN,31
6,OTHER THAN MENTIONED ABOVE,Andaman & Nicobar Island(3),2026,JAN,1
7,THREE WHEELER(T),Andaman & Nicobar Island(3),2026,JAN,50
8,TWO WHEELER(NT),Andaman & Nicobar Island(3),2026,JAN,699
9,TWO WHEELER(T),Andaman & Nicobar Island(3),2026,JAN,30
1,HEAVY GOODS VEHICLE,Andaman & Nicobar Island(3),2026,FEB,2
2,HEAVY PASSENGER VEHICLE,Andaman & Nicobar Island(3),2026,FEB,2
3,LIGHT GOODS VEHICLE,Andaman & Nicobar Island(3),2026,FEB,12
4,LIGHT MOTOR VEHICLE,Andaman & Nicobar Island(3),2026,FEB,121
5,LIGHT PASSENGER VEHICLE,Andaman & Nicobar Island(3),2026,FEB,33
6,OTHER THAN MENTIONED ABOVE,Andaman & Nicobar Island(3),2026,FEB,0
7,THREE WHEELER(T),Andaman & Nicobar Island(3),2026,FEB,29
8,TWO WHEELER(NT),Andaman & Nicobar Island(3),2026,FEB,418
9,TWO WHEELER(T),Andaman & Nicobar Island(3),2026,FEB,20
1,FOUR WHEELER (INVALID CARRIAGE),Andhra Pradesh(84),2026,JAN,7
2,HEAVY GOODS VEHICLE,Andhra Pradesh(84),2026,JAN,972
3,HEAVY MOTOR VEHICLE,Andhra Pradesh(84),2026,JAN,4
4,HEAVY PASSENGER VEHICLE,Andhra Pradesh(84),2026,JAN,23
5,LIGHT GOODS VEHICLE,Andhra Pradesh(84),2026,JAN,"2,097"
6,LIGHT MOTOR VEHICLE,Andhra Pradesh(84),2026,JAN,"10,803"
7,LIGHT PASSENGER VEHICLE,Andhra Pradesh(84),2026,JAN,697
8,MEDIUM GOODS VEHICLE,Andhra Pradesh(84),2026,JAN,73
9,MEDIUM MOTOR VEHICLE,Andhra Pradesh(84),2026,JAN,20
10,MEDIUM PASSENGER VEHICLE,Andhra Pradesh(84),2026,JAN,19
11,OTHER THAN MENTIONED ABOVE,Andhra Pradesh(84),2026,JAN,290
12,THREE WHEELER(T),Andhra Pradesh(84),2026,JAN,"3,479"
13,TWO WHEELER (INVALID CARRIAGE),Andhra Pradesh(84),2026,JAN,3
