S No,Norms,State,Year,Month Wise,Value
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,JAN,1
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,JAN,134
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,JAN,103
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,JAN,"3,329"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,JAN,8
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,JAN,79
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,JAN,"20,41,525"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,JAN,19
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,JAN,"90,228"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,JAN,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,JAN,"4,341"
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,JAN,775
13,EURO 1,All Vahan4 Running States (35/36),2025,JAN,0
14,EURO 2,All Vahan4 Running States (35/36),2025,JAN,3
15,EURO 3,All Vahan4 Running States (35/36),2025,JAN,6
16,EURO 4,All Vahan4 Running States (35/36),2025,JAN,0
17,EURO 6,All Vahan4 Running States (35/36),2025,JAN,128
18,EURO 6B,All Vahan4 Running States (35/36),2025,JAN,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,JAN,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,JAN,2
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,JAN,"1,77,873"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,JAN,"3,152"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,JAN,24
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,FEB,8
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,FEB,37
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,FEB,121
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,FEB,"2,134"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,FEB,13
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,FEB,105
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,FEB,"17,05,270"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,FEB,11
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,FEB,"62,306"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,FEB,1
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,FEB,"2,297"
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,FEB,"2,205"
13,EURO 1,All Vahan4 Running States (35/36),2025,FEB,2
14,EURO 2,All Vahan4 Running States (35/36),2025,FEB,1
15,EURO 3,All Vahan4 Running States (35/36),2025,FEB,9
16,EURO 4,All Vahan4 Running States (35/36),2025,FEB,1
17,EURO 6,All Vahan4 Running States (35/36),2025,FEB,51
18,EURO 6B,All Vahan4 Running States (35/36),2025,FEB,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,FEB,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,FEB,1
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,FEB,"1,45,378"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,FEB,"3,278"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,FEB,12
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,MAR,4
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,MAR,57
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,MAR,131
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,MAR,"2,324"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,MAR,22
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,MAR,106
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,MAR,"18,61,359"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,MAR,5
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,MAR,"70,227"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,MAR,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,MAR,"2,483"
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,MAR,"3,314"
13,EURO 1,All Vahan4 Running States (35/36),2025,MAR,1
14,EURO 2,All Vahan4 Running States (35/36),2025,MAR,7
15,EURO 3,All Vahan4 Running States (35/36),2025,MAR,10
16,EURO 4,All Vahan4 Running States (35/36),2025,MAR,0
17,EURO 6,All Vahan4 Running States (35/36),2025,MAR,73
18,EURO 6B,All Vahan4 Running States (35/36),2025,MAR,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,MAR,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,MAR,1
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,MAR,"2,11,484"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,MAR,"3,836"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,MAR,15
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,APR,5
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,APR,31
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,APR,89
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,APR,"1,800"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,APR,45
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,APR,73
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,APR,"20,75,276"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,APR,6
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,APR,"58,252"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,APR,4
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,APR,"1,812"
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,APR,"2,787"
13,EURO 1,All Vahan4 Running States (35/36),2025,APR,0
14,EURO 2,All Vahan4 Running States (35/36),2025,APR,4
15,EURO 3,All Vahan4 Running States (35/36),2025,APR,5
16,EURO 4,All Vahan4 Running States (35/36),2025,APR,4
17,EURO 6,All Vahan4 Running States (35/36),2025,APR,46
18,EURO 6B,All Vahan4 Running States (35/36),2025,APR,1
19,EURO 6D,All Vahan4 Running States (35/36),2025,APR,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,APR,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,APR,"1,74,748"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,APR,"2,665"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,APR,25
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,MAY,4
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,MAY,67
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,MAY,105
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,MAY,"1,344"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,MAY,34
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,MAY,84
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,MAY,"19,72,182"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,MAY,6
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,MAY,"69,199"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,MAY,13
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,MAY,"1,520"
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,MAY,"2,977"
13,EURO 1,All Vahan4 Running States (35/36),2025,MAY,0
14,EURO 2,All Vahan4 Running States (35/36),2025,MAY,3
15,EURO 3,All Vahan4 Running States (35/36),2025,MAY,20
16,EURO 4,All Vahan4 Running States (35/36),2025,MAY,9
17,EURO 6,All Vahan4 Running States (35/36),2025,MAY,51
18,EURO 6B,All Vahan4 Running States (35/36),2025,MAY,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,MAY,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,MAY,1
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,MAY,"1,85,809"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,MAY,"2,797"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,MAY,34
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,JUN,6
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,JUN,42
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,JUN,80
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,JUN,"2,253"
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,JUN,41
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,JUN,100
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,JUN,"17,52,941"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,JUN,8
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,JUN,"74,896"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,JUN,29
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,JUN,"3,053"
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,JUN,"3,225"
13,EURO 1,All Vahan4 Running States (35/36),2025,JUN,2
14,EURO 2,All Vahan4 Running States (35/36),2025,JUN,1
15,EURO 3,All Vahan4 Running States (35/36),2025,JUN,14
16,EURO 4,All Vahan4 Running States (35/36),2025,JUN,9
17,EURO 6,All Vahan4 Running States (35/36),2025,JUN,87
18,EURO 6B,All Vahan4 Running States (35/36),2025,JUN,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,JUN,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,JUN,1
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,JUN,"1,86,106"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,JUN,"2,336"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,JUN,27
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,JUL,6
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,JUL,76
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,JUL,112
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,JUL,370
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,JUL,77
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,JUL,63
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,JUL,"16,96,295"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,JUL,7
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,JUL,"86,365"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,JUL,28
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,JUL,58
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,JUL,"2,988"
13,EURO 1,All Vahan4 Running States (35/36),2025,JUL,3
14,EURO 2,All Vahan4 Running States (35/36),2025,JUL,3
15,EURO 3,All Vahan4 Running States (35/36),2025,JUL,20
16,EURO 4,All Vahan4 Running States (35/36),2025,JUL,21
17,EURO 6,All Vahan4 Running States (35/36),2025,JUL,4
18,EURO 6B,All Vahan4 Running States (35/36),2025,JUL,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,JUL,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,JUL,1
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,JUL,"1,94,338"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,JUL,"2,368"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,JUL,22
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,AUG,4
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,AUG,59
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,AUG,111
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,AUG,140
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,AUG,60
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,AUG,68
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,AUG,"17,04,956"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,AUG,13
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,AUG,"82,549"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,AUG,20
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,AUG,64
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,AUG,"3,462"
13,EURO 1,All Vahan4 Running States (35/36),2025,AUG,4
14,EURO 2,All Vahan4 Running States (35/36),2025,AUG,1
15,EURO 3,All Vahan4 Running States (35/36),2025,AUG,12
16,EURO 4,All Vahan4 Running States (35/36),2025,AUG,12
17,EURO 6,All Vahan4 Running States (35/36),2025,AUG,6
18,EURO 6B,All Vahan4 Running States (35/36),2025,AUG,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,AUG,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,AUG,1
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,AUG,"1,92,970"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,AUG,"2,647"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,AUG,16
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,SEP,1
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,SEP,28
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,SEP,91
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,SEP,49
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,SEP,52
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,SEP,113
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,SEP,"15,95,249"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,SEP,13
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,SEP,"61,799"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,SEP,20
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,SEP,96
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,SEP,"4,298"
13,EURO 1,All Vahan4 Running States (35/36),2025,SEP,1
14,EURO 2,All Vahan4 Running States (35/36),2025,SEP,4
15,EURO 3,All Vahan4 Running States (35/36),2025,SEP,18
16,EURO 4,All Vahan4 Running States (35/36),2025,SEP,8
17,EURO 6,All Vahan4 Running States (35/36),2025,SEP,7
18,EURO 6B,All Vahan4 Running States (35/36),2025,SEP,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,SEP,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,SEP,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,SEP,"1,89,474"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,SEP,"2,931"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,SEP,28
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,OCT,7
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,OCT,32
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,OCT,78
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,OCT,26
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,OCT,44
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,OCT,83
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,OCT,"37,44,657"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,OCT,4
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,OCT,"70,507"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,OCT,6
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,OCT,46
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,OCT,"5,703"
13,EURO 1,All Vahan4 Running States (35/36),2025,OCT,5
14,EURO 2,All Vahan4 Running States (35/36),2025,OCT,1
15,EURO 3,All Vahan4 Running States (35/36),2025,OCT,12
16,EURO 4,All Vahan4 Running States (35/36),2025,OCT,0
17,EURO 6,All Vahan4 Running States (35/36),2025,OCT,4
18,EURO 6B,All Vahan4 Running States (35/36),2025,OCT,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,OCT,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,OCT,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,OCT,"2,42,117"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,OCT,"2,919"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,OCT,91
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,NOV,3
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,NOV,97
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,NOV,113
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,NOV,22
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,NOV,51
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,NOV,125
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,NOV,"29,73,072"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,NOV,6
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,NOV,"1,22,374"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,NOV,4
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,NOV,19
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,NOV,"5,532"
13,EURO 1,All Vahan4 Running States (35/36),2025,NOV,2
14,EURO 2,All Vahan4 Running States (35/36),2025,NOV,1
15,EURO 3,All Vahan4 Running States (35/36),2025,NOV,13
16,EURO 4,All Vahan4 Running States (35/36),2025,NOV,0
17,EURO 6,All Vahan4 Running States (35/36),2025,NOV,5
18,EURO 6B,All Vahan4 Running States (35/36),2025,NOV,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,NOV,0
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,NOV,1
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,NOV,"2,25,842"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,NOV,"3,517"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,NOV,198
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2025,DEC,3
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2025,DEC,125
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2025,DEC,117
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2025,DEC,33
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2025,DEC,90
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2025,DEC,283
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2025,DEC,"17,19,197"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2025,DEC,7
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2025,DEC,"1,11,275"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2025,DEC,7
11,CEV STAGE IV,All Vahan4 Running States (35/36),2025,DEC,42
12,CEV STAGE V,All Vahan4 Running States (35/36),2025,DEC,"5,667"
13,EURO 1,All Vahan4 Running States (35/36),2025,DEC,7
14,EURO 2,All Vahan4 Running States (35/36),2025,DEC,1
15,EURO 3,All Vahan4 Running States (35/36),2025,DEC,14
16,EURO 4,All Vahan4 Running States (35/36),2025,DEC,1
17,EURO 6,All Vahan4 Running States (35/36),2025,DEC,7
18,EURO 6B,All Vahan4 Running States (35/36),2025,DEC,0
19,EURO 6D,All Vahan4 Running States (35/36),2025,DEC,1
20,NOT APPLICABLE,All Vahan4 Running States (35/36),2025,DEC,0
21,NOT AVAILABLE,All Vahan4 Running States (35/36),2025,DEC,"2,11,483"
22,TREM STAGE IV,All Vahan4 Running States (35/36),2025,DEC,"3,730"
23,TREM STAGE V,All Vahan4 Running States (35/36),2025,DEC,70
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,JAN,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,JAN,716
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,JAN,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,JAN,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,JAN,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,JAN,4
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,JAN,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,FEB,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,FEB,631
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,FEB,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,FEB,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,FEB,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,FEB,5
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,FEB,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,MAR,2
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,MAR,654
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,MAR,1
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,MAR,1
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,MAR,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,MAR,15
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,MAR,1
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,APR,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,APR,705
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,APR,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,APR,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,APR,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,APR,6
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,APR,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,MAY,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,MAY,779
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,MAY,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,MAY,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,MAY,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,MAY,10
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,MAY,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,JUN,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,JUN,763
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,JUN,1
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,JUN,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,JUN,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,JUN,10
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,JUN,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,JUL,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,JUL,861
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,JUL,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,JUL,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,JUL,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,JUL,25
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,JUL,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,AUG,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,AUG,778
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,AUG,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,AUG,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,AUG,1
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,AUG,18
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,AUG,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,SEP,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,SEP,719
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,SEP,2
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,SEP,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,SEP,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,SEP,18
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,SEP,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,OCT,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,OCT,"1,020"
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,OCT,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,OCT,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,OCT,0
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,OCT,20
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,OCT,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,NOV,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,NOV,871
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,NOV,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,NOV,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,NOV,1
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,NOV,27
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,NOV,0
1,BHARAT STAGE III (CEV),Andaman & Nicobar Island(3),2025,DEC,0
2,BHARAT STAGE VI,Andaman & Nicobar Island(3),2025,DEC,990
3,BHARAT (TREM) STAGE III A,Andaman & Nicobar Island(3),2025,DEC,0
4,CEV STAGE IV,Andaman & Nicobar Island(3),2025,DEC,0
5,CEV STAGE V,Andaman & Nicobar Island(3),2025,DEC,1
6,NOT AVAILABLE,Andaman & Nicobar Island(3),2025,DEC,8
7,TREM STAGE IV,Andaman & Nicobar Island(3),2025,DEC,0
1,BHARAT STAGE III,Andhra Pradesh(84),2025,JAN,0
2,BHARAT STAGE III (CEV),Andhra Pradesh(84),2025,JAN,79
3,BHARAT STAGE IV,Andhra Pradesh(84),2025,JAN,1
4,BHARAT STAGE VI,Andhra Pradesh(84),2025,JAN,"59,272"
5,BHARAT (TREM) STAGE III,Andhra Pradesh(84),2025,JAN,0
6,BHARAT (TREM) STAGE III A,Andhra Pradesh(84),2025,JAN,"1,742"
7,CEV STAGE IV,Andhra Pradesh(84),2025,JAN,74
8,CEV STAGE V,Andhra Pradesh(84),2025,JAN,7
9,NOT AVAILABLE,Andhra Pradesh(84),2025,JAN,"3,550"
10,TREM STAGE IV,Andhra Pradesh(84),2025,JAN,51
1,BHARAT STAGE III,Andhra Pradesh(84),2025,FEB,0
