S No,Norms,State,Year,Vehicle Class,Value
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),"23,423"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
13,EURO 1,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
14,EURO 2,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
15,EURO 3,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
16,EURO 6,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),"1,471"
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,Motorised Cycle (CC > 25cc),0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Adapted Vehicle,"7,745"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
13,EURO 1,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
14,EURO 2,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
15,EURO 3,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
16,EURO 6,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,Adapted Vehicle,12
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,Adapted Vehicle,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),142
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
13,EURO 1,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
14,EURO 2,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
15,EURO 3,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
16,EURO 6,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),66
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,Three Wheeler (Personal),0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Motor Car,3
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Motor Car,5
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Motor Car,80
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Motor Car,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Motor Car,4
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Motor Car,103
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Motor Car,"7,28,166"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Motor Car,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Motor Car,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Motor Car,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Motor Car,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Motor Car,0
13,EURO 1,All Vahan4 Running States (35/36),2026,Motor Car,9
14,EURO 2,All Vahan4 Running States (35/36),2026,Motor Car,3
15,EURO 3,All Vahan4 Running States (35/36),2026,Motor Car,11
16,EURO 6,All Vahan4 Running States (35/36),2026,Motor Car,4
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,Motor Car,"28,463"
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,Motor Car,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,Motor Car,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Fork Lift,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Fork Lift,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Fork Lift,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Fork Lift,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Fork Lift,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Fork Lift,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Fork Lift,18
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Fork Lift,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Fork Lift,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Fork Lift,1
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Fork Lift,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Fork Lift,125
13,EURO 1,All Vahan4 Running States (35/36),2026,Fork Lift,0
14,EURO 2,All Vahan4 Running States (35/36),2026,Fork Lift,0
15,EURO 3,All Vahan4 Running States (35/36),2026,Fork Lift,0
16,EURO 6,All Vahan4 Running States (35/36),2026,Fork Lift,3
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,Fork Lift,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,Fork Lift,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,Fork Lift,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,62
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
13,EURO 1,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
14,EURO 2,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
15,EURO 3,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
16,EURO 6,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,1
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,5
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Rig,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,Vehicle Fitted With Generator,16
