S No,Fuel,State,Year,Vehicle Category,Value
2,DIESEL,All Vahan4 Running States (35/36),2026,BS IV/VI,0
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,BS IV/VI,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,BS IV/VI,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,BS IV/VI,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,BS IV/VI,0
7,LNG,All Vahan4 Running States (35/36),2026,BS IV/VI,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,BS IV/VI,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,BS IV/VI,0
10,PETROL,All Vahan4 Running States (35/36),2026,BS IV/VI,0
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,BS IV/VI,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,BS IV/VI,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,BS IV/VI,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,BS IV/VI,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,BS IV/VI,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,BS IV/VI,0
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,BS IV/VI,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,BS IV/VI,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,BS IV/VI,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,BS IV/VI,0
21,PURE EV,All Vahan4 Running States (35/36),2026,BS IV/VI,0
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,BS IV/VI,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,BS VI,"78,966"
2,DIESEL,All Vahan4 Running States (35/36),2026,BS VI,"3,30,795"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,BS VI,"1,749"
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,BS VI,1
5,ETHANOL,All Vahan4 Running States (35/36),2026,BS VI,11
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,BS VI,4
7,LNG,All Vahan4 Running States (35/36),2026,BS VI,61
8,LPG ONLY,All Vahan4 Running States (35/36),2026,BS VI,"5,520"
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,BS VI,2
10,PETROL,All Vahan4 Running States (35/36),2026,BS VI,"11,44,828"
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,BS VI,"42,629"
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,BS VI,"1,46,061"
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,BS VI,"40,448"
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,BS VI,9
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,BS VI,169
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,BS VI,"22,43,910"
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,BS VI,"11,746"
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,BS VI,4
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,BS VI,230
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,BS VI,6
21,PURE EV,All Vahan4 Running States (35/36),2026,BS VI,1
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,BS VI,"18,099"
1,CNG ONLY,All Vahan4 Running States (35/36),2026,B(T)S III,0
2,DIESEL,All Vahan4 Running States (35/36),2026,B(T)S III,10
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,B(T)S III,0
4,ELECTRIC(BOV),All Vahan4 Running States (35/36),2026,B(T)S III,0
5,ETHANOL,All Vahan4 Running States (35/36),2026,B(T)S III,0
6,FLEX-FUEL(BIO-DIESEL),All Vahan4 Running States (35/36),2026,B(T)S III,0
7,LNG,All Vahan4 Running States (35/36),2026,B(T)S III,0
8,LPG ONLY,All Vahan4 Running States (35/36),2026,B(T)S III,0
9,NOT APPLICABLE,All Vahan4 Running States (35/36),2026,B(T)S III,0
10,PETROL,All Vahan4 Running States (35/36),2026,B(T)S III,11
11,PETROL/CNG,All Vahan4 Running States (35/36),2026,B(T)S III,0
12,PETROL(E20)/CNG,All Vahan4 Running States (35/36),2026,B(T)S III,0
13,PETROL(E20)/HYBRID,All Vahan4 Running States (35/36),2026,B(T)S III,0
14,PETROL(E20)/HYBRID/CNG,All Vahan4 Running States (35/36),2026,B(T)S III,0
15,PETROL(E20)/LPG,All Vahan4 Running States (35/36),2026,B(T)S III,0
16,PETROL/ETHANOL,All Vahan4 Running States (35/36),2026,B(T)S III,0
17,PETROL/HYBRID,All Vahan4 Running States (35/36),2026,B(T)S III,0
18,PETROL/HYBRID/CNG,All Vahan4 Running States (35/36),2026,B(T)S III,0
19,PETROL/LPG,All Vahan4 Running States (35/36),2026,B(T)S III,0
20,PLUG-IN HYBRID EV,All Vahan4 Running States (35/36),2026,B(T)S III,0
21,PURE EV,All Vahan4 Running States (35/36),2026,B(T)S III,0
22,STRONG HYBRID EV,All Vahan4 Running States (35/36),2026,B(T)S III,0
1,CNG ONLY,All Vahan4 Running States (35/36),2026,B(T)S III A,0
2,DIESEL,All Vahan4 Running States (35/36),2026,B(T)S III A,"1,78,341"
3,DIESEL/HYBRID,All Vahan4 Running States (35/36),2026,B(T)S III A,0
