S No,Vehicle Class,State,Year,Fuel,Value
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
3,AMBULANCE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
9,BUS,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
12,CASH VAN,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
16,DUMPER,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
22,EXCAVATOR (NT),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
23,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
24,FIRE TENDERS,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
25,FORK LIFT,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
26,GOODS CARRIER,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
27,HARVESTER,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
28,HEARSES,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
29,LIBRARY VAN,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
30,LUXURY CAB,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
31,MAXI CAB,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
32,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
33,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
34,MOBILE CANTEEN,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
35,MOBILE CLINIC,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
36,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
37,MOPED,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
38,MOTOR CAB,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
39,MOTOR CAR,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
40,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
41,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
42,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
43,OMNI BUS,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
44,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
45,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
46,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
47,PULLER TRACTOR,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
48,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
49,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
50,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
51,ROAD ROLLER,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
52,SCHOOL BUS,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
53,SEMI-TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
54,THREE WHEELER (GOODS),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
55,THREE WHEELER (PASSENGER),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
56,THREE WHEELER (PERSONAL),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
57,TOWER WAGON,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
58,TOW TRUCK,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
59,TRACTOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
60,TRACTOR-TROLLEY(COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
61,TRAILER (AGRICULTURAL),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
62,TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
63,TRAILER FOR PERSONAL USE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
64,TREE TRIMMING VEHICLE,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
65,VEHICLE FITTED WITH COMPRESSOR,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
66,VEHICLE FITTED WITH GENERATOR,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
67,VEHICLE FITTED WITH RIG,All Vahan4 Running States (35/36),2026,BIO-CNG/BIO-GAS,0
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
3,AMBULANCE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
9,BUS,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
12,CASH VAN,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
16,DUMPER,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
22,EXCAVATOR (NT),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
23,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
24,FIRE TENDERS,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
25,FORK LIFT,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
26,GOODS CARRIER,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
27,HARVESTER,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
28,HEARSES,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
29,LIBRARY VAN,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
30,LUXURY CAB,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
31,MAXI CAB,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
32,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
33,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
34,MOBILE CANTEEN,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
35,MOBILE CLINIC,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
36,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
37,MOPED,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
38,MOTOR CAB,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
39,MOTOR CAR,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
40,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
41,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
42,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
43,OMNI BUS,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
44,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
45,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
46,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
47,PULLER TRACTOR,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
48,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
49,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
50,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
51,ROAD ROLLER,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
52,SCHOOL BUS,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
