S No,Vehicle Class,State,Year,Fuel,Value
53,SEMI-TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
54,THREE WHEELER (GOODS),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
55,THREE WHEELER (PASSENGER),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
56,THREE WHEELER (PERSONAL),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
57,TOWER WAGON,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
58,TOW TRUCK,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
59,TRACTOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
60,TRACTOR-TROLLEY(COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
61,TRAILER (AGRICULTURAL),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
62,TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
63,TRAILER FOR PERSONAL USE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
64,TREE TRIMMING VEHICLE,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
65,VEHICLE FITTED WITH COMPRESSOR,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
66,VEHICLE FITTED WITH GENERATOR,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
67,VEHICLE FITTED WITH RIG,All Vahan4 Running States (35/36),2026,BIO-DIESEL(B100),0
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
3,AMBULANCE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
9,BUS,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
12,CASH VAN,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
16,DUMPER,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
22,EXCAVATOR (NT),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
23,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
24,FIRE TENDERS,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
25,FORK LIFT,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
26,GOODS CARRIER,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
27,HARVESTER,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
28,HEARSES,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
29,LIBRARY VAN,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
30,LUXURY CAB,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
31,MAXI CAB,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
32,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
33,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
34,MOBILE CANTEEN,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
35,MOBILE CLINIC,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
36,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
37,MOPED,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
38,MOTOR CAB,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
39,MOTOR CAR,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
40,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
41,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
42,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
43,OMNI BUS,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
44,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
45,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
46,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
47,PULLER TRACTOR,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
48,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
49,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
50,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
51,ROAD ROLLER,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
52,SCHOOL BUS,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
53,SEMI-TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
54,THREE WHEELER (GOODS),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
55,THREE WHEELER (PASSENGER),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
56,THREE WHEELER (PERSONAL),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
57,TOWER WAGON,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
58,TOW TRUCK,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
59,TRACTOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
60,TRACTOR-TROLLEY(COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
61,TRAILER (AGRICULTURAL),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
62,TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BIO-METHANE,0
63,TRAILER FOR PERSONAL USE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
64,TREE TRIMMING VEHICLE,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
65,VEHICLE FITTED WITH COMPRESSOR,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
66,VEHICLE FITTED WITH GENERATOR,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
67,VEHICLE FITTED WITH RIG,All Vahan4 Running States (35/36),2026,BIO-METHANE,0
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,CNG ONLY,1
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,CNG ONLY,0
3,AMBULANCE,All Vahan4 Running States (35/36),2026,CNG ONLY,0
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,CNG ONLY,1
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,CNG ONLY,0
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,CNG ONLY,0
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,CNG ONLY,0
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,CNG ONLY,1
9,BUS,All Vahan4 Running States (35/36),2026,CNG ONLY,698
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,CNG ONLY,0
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,CNG ONLY,0
12,CASH VAN,All Vahan4 Running States (35/36),2026,CNG ONLY,0
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,CNG ONLY,7
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,CNG ONLY,0
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,CNG ONLY,3
16,DUMPER,All Vahan4 Running States (35/36),2026,CNG ONLY,3
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,CNG ONLY,0
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,CNG ONLY,281
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,CNG ONLY,0
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,CNG ONLY,0
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,CNG ONLY,0
22,EXCAVATOR (NT),All Vahan4 Running States (35/36),2026,CNG ONLY,0
23,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2026,CNG ONLY,0
24,FIRE TENDERS,All Vahan4 Running States (35/36),2026,CNG ONLY,0
25,FORK LIFT,All Vahan4 Running States (35/36),2026,CNG ONLY,0
26,GOODS CARRIER,All Vahan4 Running States (35/36),2026,CNG ONLY,"19,476"
27,HARVESTER,All Vahan4 Running States (35/36),2026,CNG ONLY,0
28,HEARSES,All Vahan4 Running States (35/36),2026,CNG ONLY,0
29,LIBRARY VAN,All Vahan4 Running States (35/36),2026,CNG ONLY,0
30,LUXURY CAB,All Vahan4 Running States (35/36),2026,CNG ONLY,0
31,MAXI CAB,All Vahan4 Running States (35/36),2026,CNG ONLY,642
32,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2026,CNG ONLY,"3,089"
33,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2026,CNG ONLY,0
34,MOBILE CANTEEN,All Vahan4 Running States (35/36),2026,CNG ONLY,0
35,MOBILE CLINIC,All Vahan4 Running States (35/36),2026,CNG ONLY,0
36,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2026,CNG ONLY,0
37,MOPED,All Vahan4 Running States (35/36),2026,CNG ONLY,1
38,MOTOR CAB,All Vahan4 Running States (35/36),2026,CNG ONLY,0
39,MOTOR CAR,All Vahan4 Running States (35/36),2026,CNG ONLY,45
40,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2026,CNG ONLY,0
41,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2026,CNG ONLY,11
42,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2026,CNG ONLY,12
43,OMNI BUS,All Vahan4 Running States (35/36),2026,CNG ONLY,102
44,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2026,CNG ONLY,62
45,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2026,CNG ONLY,60
46,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2026,CNG ONLY,8
47,PULLER TRACTOR,All Vahan4 Running States (35/36),2026,CNG ONLY,0
48,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,CNG ONLY,1
49,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2026,CNG ONLY,3
50,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2026,CNG ONLY,2
51,ROAD ROLLER,All Vahan4 Running States (35/36),2026,CNG ONLY,0
52,SCHOOL BUS,All Vahan4 Running States (35/36),2026,CNG ONLY,4
53,SEMI-TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,CNG ONLY,0
54,THREE WHEELER (GOODS),All Vahan4 Running States (35/36),2026,CNG ONLY,"6,017"
55,THREE WHEELER (PASSENGER),All Vahan4 Running States (35/36),2026,CNG ONLY,"48,384"
56,THREE WHEELER (PERSONAL),All Vahan4 Running States (35/36),2026,CNG ONLY,58
57,TOWER WAGON,All Vahan4 Running States (35/36),2026,CNG ONLY,0
58,TOW TRUCK,All Vahan4 Running States (35/36),2026,CNG ONLY,1
59,TRACTOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,CNG ONLY,0
60,TRACTOR-TROLLEY(COMMERCIAL),All Vahan4 Running States (35/36),2026,CNG ONLY,0
61,TRAILER (AGRICULTURAL),All Vahan4 Running States (35/36),2026,CNG ONLY,0
62,TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,CNG ONLY,0
63,TRAILER FOR PERSONAL USE,All Vahan4 Running States (35/36),2026,CNG ONLY,0
64,TREE TRIMMING VEHICLE,All Vahan4 Running States (35/36),2026,CNG ONLY,0
65,VEHICLE FITTED WITH COMPRESSOR,All Vahan4 Running States (35/36),2026,CNG ONLY,0
66,VEHICLE FITTED WITH GENERATOR,All Vahan4 Running States (35/36),2026,CNG ONLY,0
67,VEHICLE FITTED WITH RIG,All Vahan4 Running States (35/36),2026,CNG ONLY,0
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,DIESEL,60
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,DIESEL,"1,71,731"
3,AMBULANCE,All Vahan4 Running States (35/36),2026,DIESEL,"1,134"
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,DIESEL,24
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,DIESEL,34
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,DIESEL,"6,850"
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,DIESEL,1
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,DIESEL,6
9,BUS,All Vahan4 Running States (35/36),2026,DIESEL,"7,712"
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,DIESEL,42
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,DIESEL,122
12,CASH VAN,All Vahan4 Running States (35/36),2026,DIESEL,171
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,DIESEL,"8,014"
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,DIESEL,940
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,DIESEL,"1,214"
16,DUMPER,All Vahan4 Running States (35/36),2026,DIESEL,"2,094"
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,DIESEL,918
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,DIESEL,"1,453"
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,DIESEL,0
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,DIESEL,0
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,DIESEL,15
