S No,Vehicle Category,State,Year,Fuel,Value
3,HEAVY MOTOR VEHICLE,Assam(33),2026,METHANOL,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,METHANOL,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,METHANOL,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,METHANOL,0
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,METHANOL,0
8,MEDIUM GOODS VEHICLE,Assam(33),2026,METHANOL,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,METHANOL,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,METHANOL,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,METHANOL,0
12,THREE WHEELER(T),Assam(33),2026,METHANOL,0
13,TWO WHEELER(NT),Assam(33),2026,METHANOL,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,NOT APPLICABLE,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,NOT APPLICABLE,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,NOT APPLICABLE,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,NOT APPLICABLE,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,NOT APPLICABLE,44
6,LIGHT MOTOR VEHICLE,Assam(33),2026,NOT APPLICABLE,5
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,NOT APPLICABLE,0
8,MEDIUM GOODS VEHICLE,Assam(33),2026,NOT APPLICABLE,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,NOT APPLICABLE,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,NOT APPLICABLE,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,NOT APPLICABLE,0
12,THREE WHEELER(T),Assam(33),2026,NOT APPLICABLE,2
13,TWO WHEELER(NT),Assam(33),2026,NOT APPLICABLE,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PETROL,1
2,HEAVY GOODS VEHICLE,Assam(33),2026,PETROL,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PETROL,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PETROL,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,PETROL,20
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PETROL,608
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PETROL,18
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PETROL,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PETROL,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PETROL,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PETROL,0
12,THREE WHEELER(T),Assam(33),2026,PETROL,5
13,TWO WHEELER(NT),Assam(33),2026,PETROL,"18,210"
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PETROL/CNG,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,PETROL/CNG,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PETROL/CNG,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PETROL/CNG,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,PETROL/CNG,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PETROL/CNG,12
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PETROL/CNG,5
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PETROL/CNG,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PETROL/CNG,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PETROL/CNG,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PETROL/CNG,0
12,THREE WHEELER(T),Assam(33),2026,PETROL/CNG,0
13,TWO WHEELER(NT),Assam(33),2026,PETROL/CNG,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PETROL(E20)/CNG,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,PETROL(E20)/CNG,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PETROL(E20)/CNG,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PETROL(E20)/CNG,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,PETROL(E20)/CNG,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PETROL(E20)/CNG,35
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PETROL(E20)/CNG,11
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PETROL(E20)/CNG,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PETROL(E20)/CNG,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PETROL(E20)/CNG,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PETROL(E20)/CNG,0
12,THREE WHEELER(T),Assam(33),2026,PETROL(E20)/CNG,0
13,TWO WHEELER(NT),Assam(33),2026,PETROL(E20)/CNG,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PETROL(E20)/HYBRID,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID,"1,022"
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID,8
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PETROL(E20)/HYBRID,0
12,THREE WHEELER(T),Assam(33),2026,PETROL(E20)/HYBRID,0
13,TWO WHEELER(NT),Assam(33),2026,PETROL(E20)/HYBRID,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
11,OTHER THAN MENTIONED ABOVE,Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
12,THREE WHEELER(T),Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
13,TWO WHEELER(NT),Assam(33),2026,PETROL(E20)/HYBRID/CNG,0
1,FOUR WHEELER (INVALID CARRIAGE),Assam(33),2026,PETROL(E20)/LPG,0
2,HEAVY GOODS VEHICLE,Assam(33),2026,PETROL(E20)/LPG,0
3,HEAVY MOTOR VEHICLE,Assam(33),2026,PETROL(E20)/LPG,0
4,HEAVY PASSENGER VEHICLE,Assam(33),2026,PETROL(E20)/LPG,0
5,LIGHT GOODS VEHICLE,Assam(33),2026,PETROL(E20)/LPG,0
6,LIGHT MOTOR VEHICLE,Assam(33),2026,PETROL(E20)/LPG,0
7,LIGHT PASSENGER VEHICLE,Assam(33),2026,PETROL(E20)/LPG,0
8,MEDIUM GOODS VEHICLE,Assam(33),2026,PETROL(E20)/LPG,0
9,MEDIUM MOTOR VEHICLE,Assam(33),2026,PETROL(E20)/LPG,0
10,MEDIUM PASSENGER VEHICLE,Assam(33),2026,PETROL(E20)/LPG,0
