S No,Vehicle Category,State,Year,Norms,Value
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS I,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS I,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS I,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS I,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS I,1
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS I,13
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS I,2
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS I,1
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS I,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS I,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,BS I,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS I,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,BS I,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,BS I,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS I,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,BS I,35
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,BS I,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS II,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS II,5
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS II,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS II,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS II,7
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS II,331
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS II,3
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS II,1
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS II,9
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS II,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,BS II,2
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS II,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,BS II,0
