S No,Vehicle Category,State,Year,Norms,Value
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,BS II,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS II,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,BS II,427
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,BS II,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS III,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS III,126
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS III,16
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS III,5
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS III,171
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS III,551
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS III,21
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS III,20
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS III,23
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS III,12
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,BS III,88
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS III,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,BS III,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,BS III,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS III,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,BS III,218
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,BS III,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS III (CEV),0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS III (CEV),1
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS III (CEV),590
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS III (CEV),0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS III (CEV),3
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS III (CEV),109
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS III (CEV),0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS III (CEV),7
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS III (CEV),"1,727"
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS III (CEV),0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,BS III (CEV),"11,387"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS III (CEV),0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,BS III (CEV),0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,BS III (CEV),0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS III (CEV),0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,BS III (CEV),0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,BS III (CEV),0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS III/IV,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS III/IV,3
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS III/IV,1
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS III/IV,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS III/IV,27
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS III/IV,407
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS III/IV,30
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS III/IV,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS III/IV,1
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS III/IV,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,BS III/IV,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS III/IV,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,BS III/IV,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,BS III/IV,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS III/IV,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,BS III/IV,68
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,BS III/IV,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS IV,1
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS IV,63
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS IV,11
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS IV,8
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS IV,47
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS IV,510
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS IV,173
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS IV,2
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS IV,3
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS IV,3
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,BS IV,24
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS IV,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,BS IV,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,BS IV,7
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS IV,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,BS IV,430
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,BS IV,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS IV/VI,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS IV/VI,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS IV/VI,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS IV/VI,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS IV/VI,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS IV/VI,0
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS IV/VI,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS IV/VI,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS IV/VI,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS IV/VI,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,BS IV/VI,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS IV/VI,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,BS IV/VI,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,BS IV/VI,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS IV/VI,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,BS IV/VI,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,BS IV/VI,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS VI,"3,246"
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS VI,"2,77,175"
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS VI,763
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS VI,"32,639"
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS VI,"5,38,067"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS VI,"39,49,800"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS VI,"3,93,088"
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,BS VI,"46,385"
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,BS VI,277
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,BS VI,"35,727"
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,BS VI,"1,725"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS VI,58
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,BS VI,726
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,BS VI,"5,11,374"
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,BS VI,"24,353"
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,BS VI,"1,90,13,224"
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,BS VI,"13,352"
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,B(T)S III,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III,22
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III,41
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,B(T)S III,42
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,B(T)S III,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,B(T)S III,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,B(T)S III,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,B(T)S III,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,B(T)S III,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,B(T)S III,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,B(T)S III A,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III A,1
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III A,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III A,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III A,"64,704"
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III A,"8,93,751"
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III A,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III A,48
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III A,"1,004"
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III A,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,B(T)S III A,469
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,B(T)S III A,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,B(T)S III A,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,B(T)S III A,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,B(T)S III A,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,B(T)S III A,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,B(T)S III A,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,B(T)S III B,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III B,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III B,20
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III B,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III B,1
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III B,53
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III B,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III B,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III B,1
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,B(T)S III B,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,B(T)S III B,57
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,B(T)S III B,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,B(T)S III B,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,B(T)S III B,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,B(T)S III B,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,B(T)S III B,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,B(T)S III B,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE IV,1
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE IV,680
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE IV,124
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE IV,20
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE IV,"1,115"
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,CEV STAGE IV,"13,891"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,CEV STAGE IV,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,CEV STAGE V,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE V,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE V,"1,272"
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE V,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE V,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE V,49
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE V,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE V,37
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE V,"2,931"
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,CEV STAGE V,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,CEV STAGE V,"38,643"
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,CEV STAGE V,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,CEV STAGE V,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,CEV STAGE V,1
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,CEV STAGE V,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,CEV STAGE V,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,CEV STAGE V,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 1,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 1,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 1,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 1,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 1,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 1,13
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 1,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 1,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 1,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 1,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,EURO 1,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 1,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,EURO 1,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,EURO 1,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 1,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,EURO 1,14
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,EURO 1,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 2,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 2,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 2,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 2,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 2,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 2,27
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 2,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 2,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 2,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 2,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,EURO 2,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 2,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,EURO 2,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,EURO 2,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 2,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,EURO 2,3
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,EURO 2,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 3,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 3,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 3,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 3,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 3,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 3,152
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 3,0
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 3,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 3,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 3,1
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,EURO 3,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 3,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,EURO 3,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,EURO 3,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 3,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,EURO 3,0
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,EURO 3,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 4,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 4,0
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 4,0
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 4,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 4,0
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 4,41
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 4,23
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 4,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 4,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 4,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,EURO 4,0
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 4,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,EURO 4,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,EURO 4,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 4,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,EURO 4,1
17,TWO WHEELER(T),All Vahan4 Running States (35/36),2025,EURO 4,0
1,FOUR WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 6,0
2,HEAVY GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 6,4
3,HEAVY MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 6,381
4,HEAVY PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 6,0
5,LIGHT GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 6,1
6,LIGHT MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 6,27
7,LIGHT PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 6,6
8,MEDIUM GOODS VEHICLE,All Vahan4 Running States (35/36),2025,EURO 6,0
9,MEDIUM MOTOR VEHICLE,All Vahan4 Running States (35/36),2025,EURO 6,0
10,MEDIUM PASSENGER VEHICLE,All Vahan4 Running States (35/36),2025,EURO 6,0
11,OTHER THAN MENTIONED ABOVE,All Vahan4 Running States (35/36),2025,EURO 6,50
12,THREE WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 6,0
13,THREE WHEELER(NT),All Vahan4 Running States (35/36),2025,EURO 6,0
14,THREE WHEELER(T),All Vahan4 Running States (35/36),2025,EURO 6,0
15,TWO WHEELER (INVALID CARRIAGE),All Vahan4 Running States (35/36),2025,EURO 6,0
16,TWO WHEELER(NT),All Vahan4 Running States (35/36),2025,EURO 6,0
