state_code,state_name,vehicle_group,maker,year,month,count
-1,All India,TWO WHEELER,AMMANN APOLLO INDIA PVT LTD,2025,Vehicle Category Group,19
-1,All India,TWO WHEELER,AMPERE VEHICLES PRIVATE LIMITED,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,AMRIT AGRO INDUSTRIES,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,A N ENTERPRISES,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,ANGAD AGRO INDUSTRIES,2025,Vehicle Category Group,5
-1,All India,TWO WHEELER,ANIL INDUSTRIES,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,ANJALI AUTO COMPONENTS,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,ANJALI TRADERS,2025,Vehicle Category Group,62
-1,All India,TWO WHEELER,ANJNEY EARTHMOVERS AND ENGINEERING,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,ANJ TECH,2025,Vehicle Category Group,14
-1,All India,TWO WHEELER,ANNAPURNA TRAILER IMPLEMENTS AP312671033,2025,Vehicle Category Group,4
-1,All India,TWO WHEELER,ANTARK ENERGY,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,ANVITA AUTO TECH WORKS PVT LTD,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,AOMBRAY ELECTRIC VEHICLE PVT LTD,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,A P I MOTORS PVT LTD,2025,Vehicle Category Group,80
-1,All India,TWO WHEELER,APM AUTO SALES,2025,Vehicle Category Group,132
-1,All India,TWO WHEELER,APOLLO CARMIX EQUIPMENTS PVT LTD,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,APSARA ENTERPRISE,2025,Vehicle Category Group,661
-1,All India,TWO WHEELER,A R AGRO TECH,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,ARCHIT ENTERPRISES,2025,Vehicle Category Group,101
-1,All India,TWO WHEELER,ARIN TRACTORS PVT LTD,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,ARJUN AGRO INDUSTRIES,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,ARJUN INDUSTRIES,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,A.R. MOTOR,2025,Vehicle Category Group,69
-1,All India,TWO WHEELER,ARNA ELECTRIC AUTO PVT LTD,2025,Vehicle Category Group,5
-1,All India,TWO WHEELER,ARROW AUTOMOTIVE,2025,Vehicle Category Group,519
-1,All India,TWO WHEELER,ARYAN INDUSTRIES,2025,Vehicle Category Group,13
-1,All India,TWO WHEELER,ASHA IMPEX,2025,Vehicle Category Group,14
-1,All India,TWO WHEELER,ASHMA-MOTORS PVT LTD,2025,Vehicle Category Group,94
-1,All India,TWO WHEELER,ASHOK LEYLAND LTD,2025,Vehicle Category Group,19038
-1,All India,TWO WHEELER,ASTON MARTIN LAGONDA LTD,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,ATHER ENERGY LTD,2025,Vehicle Category Group,22108
-1,All India,TWO WHEELER,ATTOLENT AUTO GROUP PVT LTD,2025,Vehicle Category Group,18
-1,All India,TWO WHEELER,ATUL AUTO LTD,2025,Vehicle Category Group,3280
-1,All India,TWO WHEELER,ATUL GREENTECH PRIVATE LIMITED,2025,Vehicle Category Group,143
-1,All India,TWO WHEELER,ATUT SANGAM,2025,Vehicle Category Group,143
-1,All India,TWO WHEELER,AUDI AG,2025,Vehicle Category Group,24
-1,All India,TWO WHEELER,AUTOECO GREEN ENERGY PVT LTD,2025,Vehicle Category Group,53
-1,All India,TWO WHEELER,AUTOHAUS PRIVATE LIMITED,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,AUTOMOBILI LAMBORGHINI S.P.A,2025,Vehicle Category Group,9
-1,All India,TWO WHEELER,AUTO SUPREME INDUSTRIES,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,A.V.AUTOMOTIVES PVT LTD,2025,Vehicle Category Group,42
-1,All India,TWO WHEELER,AVL ELECTRIC VEHICLES PVT LTD,2025,Vehicle Category Group,227
-1,All India,TWO WHEELER,AVON CYCLES LTD,2025,Vehicle Category Group,16
-1,All India,TWO WHEELER,AVTAR ENGINEERING WORKS,2025,Vehicle Category Group,5
-1,All India,TWO WHEELER,AWACHAT INDUSTRIES LTD,2025,Vehicle Category Group,291
-1,All India,TWO WHEELER,AZZURRO MOBILITY LLP,2025,Vehicle Category Group,4
-1,All India,TWO WHEELER,B24 ROKET EV,2025,Vehicle Category Group,61
-1,All India,TWO WHEELER,BABA E-VEHICLES,2025,Vehicle Category Group,14
-1,All India,TWO WHEELER,BABAJI ENGINEERING TRAILOR WORKS,2025,Vehicle Category Group,4
-1,All India,TWO WHEELER,BABA PRODUCT,2025,Vehicle Category Group,15
-1,All India,TWO WHEELER,BABAR AGRO INDUSTRIES AP1510243976,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,BADSHAH ENTERPRISES,2025,Vehicle Category Group,61
-1,All India,TWO WHEELER,BAGHWAN RIKSHAW UDYOG,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,BAJAJ AUTO LTD,2025,Vehicle Category Group,241125
-1,All India,TWO WHEELER,BAJAJ IMPLEMENTS PVT. LTD,2025,Vehicle Category Group,33
-1,All India,TWO WHEELER,BAJRANG AGRO INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,BAJRANG MECHANICAL WORKS,2025,Vehicle Category Group,5
-1,All India,TWO WHEELER,BALAJI AGRO INDUSTRIES,2025,Vehicle Category Group,24
-1,All India,TWO WHEELER,BALAJI FARM & STEEL WORKS,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,BALAJI TRADING COMPANY,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,BALAN ENGINEERING PVT LTD,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,BAL GOPAL WHEELS PVT LTD,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,BALI AUTO INDUSTRIES,2025,Vehicle Category Group,11
-1,All India,TWO WHEELER,BALURGHAT AUTOMOBILES AND ENGINEERING,2025,Vehicle Category Group,3
-1,All India,TWO WHEELER,BAMUR INDUSTRIES & ENGINEERING PVT LTD,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,BANSAL AGRICULTURE IMPLEMENTS,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,BASUDEB ENGINEERING CUTTACK KHAPURIA MADHUPATNA,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,BATTRE ELECTRIC MOBLITY PVT LTD,2025,Vehicle Category Group,49
-1,All India,TWO WHEELER,BAXY LTD,2025,Vehicle Category Group,449
-1,All India,TWO WHEELER,BEAUTY ENGINEERING WORKS,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,BEML LIMITED,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,BENTINCK INDUSTRIES PVT. LTD.,2025,Vehicle Category Group,87
-1,All India,TWO WHEELER,BENTLEY MOTORS LIMITED,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,BENTLEY MOTORS LTD (SAVWIPL),2025,Vehicle Category Group,7
-1,All India,TWO WHEELER,BEST WAY AGENCIES PVT LTD,2025,Vehicle Category Group,266
-1,All India,TWO WHEELER,BGAUSS AUTO PRIVATE LIMITED,2025,Vehicle Category Group,2481
-1,All India,TWO WHEELER,BHADAURIA ENTERPRISES,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,BHAGWAN AGRO INDUSTRIES,2025,Vehicle Category Group,6
-1,All India,TWO WHEELER,BHARATHI TRAILERS,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,BHARATH MOTOCORP,2025,Vehicle Category Group,16
-1,All India,TWO WHEELER,BHARAT MECHANICAL WORKS,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,BHARTI AGRICULTURE,2025,Vehicle Category Group,0
-1,All India,TWO WHEELER,BHASKARA INDUSTRIES,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,BHAVANI TROLI WORKS,2025,Vehicle Category Group,2
-1,All India,TWO WHEELER,BHAVE ELECTRIC VEHICLES PVT LTD,2025,Vehicle Category Group,97
-1,All India,TWO WHEELER,BHM INDUSTRIES,2025,Vehicle Category Group,255
-1,All India,TWO WHEELER,BHOGAL COMBINE SPARE PARTS,2025,Vehicle Category Group,1
-1,All India,TWO WHEELER,BHOLE SHANKAR MOTOR BODY,2025,Vehicle Category Group,6
