S No,Vehicle Class,State,Year,Norms,Value
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,BS I,0
3,AMBULANCE,All Vahan4 Running States (35/36),2026,BS I,0
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,BS I,0
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,BS I,0
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,BS I,0
9,BUS,All Vahan4 Running States (35/36),2026,BS I,0
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,BS I,0
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,BS I,0
12,CASH VAN,All Vahan4 Running States (35/36),2026,BS I,0
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS I,0
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
16,DUMPER,All Vahan4 Running States (35/36),2026,BS I,0
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,BS I,0
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,BS I,0
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,BS I,0
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,BS I,0
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS I,0
22,EXCAVATOR (NT),All Vahan4 Running States (35/36),2026,BS I,0
23,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
24,FIRE TENDERS,All Vahan4 Running States (35/36),2026,BS I,0
25,FORK LIFT,All Vahan4 Running States (35/36),2026,BS I,0
26,GOODS CARRIER,All Vahan4 Running States (35/36),2026,BS I,0
27,HARVESTER,All Vahan4 Running States (35/36),2026,BS I,0
28,HEARSES,All Vahan4 Running States (35/36),2026,BS I,0
29,LIBRARY VAN,All Vahan4 Running States (35/36),2026,BS I,0
30,LUXURY CAB,All Vahan4 Running States (35/36),2026,BS I,0
31,MAXI CAB,All Vahan4 Running States (35/36),2026,BS I,0
32,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2026,BS I,22
33,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2026,BS I,0
34,MOBILE CANTEEN,All Vahan4 Running States (35/36),2026,BS I,0
35,MOBILE CLINIC,All Vahan4 Running States (35/36),2026,BS I,0
36,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2026,BS I,0
37,MOPED,All Vahan4 Running States (35/36),2026,BS I,0
38,MOTOR CAB,All Vahan4 Running States (35/36),2026,BS I,0
39,MOTOR CAR,All Vahan4 Running States (35/36),2026,BS I,3
40,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2026,BS I,0
41,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2026,BS I,0
42,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2026,BS I,0
43,OMNI BUS,All Vahan4 Running States (35/36),2026,BS I,0
44,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2026,BS I,0
45,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
46,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2026,BS I,0
47,PULLER TRACTOR,All Vahan4 Running States (35/36),2026,BS I,0
48,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS I,0
49,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2026,BS I,0
50,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
51,ROAD ROLLER,All Vahan4 Running States (35/36),2026,BS I,0
52,SCHOOL BUS,All Vahan4 Running States (35/36),2026,BS I,0
53,SEMI-TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS I,0
54,THREE WHEELER (GOODS),All Vahan4 Running States (35/36),2026,BS I,0
55,THREE WHEELER (PASSENGER),All Vahan4 Running States (35/36),2026,BS I,0
56,THREE WHEELER (PERSONAL),All Vahan4 Running States (35/36),2026,BS I,0
57,TOWER WAGON,All Vahan4 Running States (35/36),2026,BS I,0
58,TOW TRUCK,All Vahan4 Running States (35/36),2026,BS I,0
59,TRACTOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS I,0
60,TRACTOR-TROLLEY(COMMERCIAL),All Vahan4 Running States (35/36),2026,BS I,0
61,TRAILER (AGRICULTURAL),All Vahan4 Running States (35/36),2026,BS I,0
62,TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS I,0
63,TRAILER FOR PERSONAL USE,All Vahan4 Running States (35/36),2026,BS I,0
64,TREE TRIMMING VEHICLE,All Vahan4 Running States (35/36),2026,BS I,0
65,VEHICLE FITTED WITH COMPRESSOR,All Vahan4 Running States (35/36),2026,BS I,0
66,VEHICLE FITTED WITH GENERATOR,All Vahan4 Running States (35/36),2026,BS I,0
67,VEHICLE FITTED WITH RIG,All Vahan4 Running States (35/36),2026,BS I,0
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,BS II,0
3,AMBULANCE,All Vahan4 Running States (35/36),2026,BS II,0
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,BS II,0
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,BS II,0
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,BS II,0
9,BUS,All Vahan4 Running States (35/36),2026,BS II,0
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,BS II,0
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,BS II,1
12,CASH VAN,All Vahan4 Running States (35/36),2026,BS II,0
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS II,0
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
16,DUMPER,All Vahan4 Running States (35/36),2026,BS II,0
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,BS II,0
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,BS II,0
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,BS II,0
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,BS II,0
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS II,0
22,EXCAVATOR (NT),All Vahan4 Running States (35/36),2026,BS II,0
23,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
24,FIRE TENDERS,All Vahan4 Running States (35/36),2026,BS II,0
25,FORK LIFT,All Vahan4 Running States (35/36),2026,BS II,0
26,GOODS CARRIER,All Vahan4 Running States (35/36),2026,BS II,1
27,HARVESTER,All Vahan4 Running States (35/36),2026,BS II,0
28,HEARSES,All Vahan4 Running States (35/36),2026,BS II,0
29,LIBRARY VAN,All Vahan4 Running States (35/36),2026,BS II,0
30,LUXURY CAB,All Vahan4 Running States (35/36),2026,BS II,0
31,MAXI CAB,All Vahan4 Running States (35/36),2026,BS II,0
32,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2026,BS II,41
33,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2026,BS II,0
34,MOBILE CANTEEN,All Vahan4 Running States (35/36),2026,BS II,0
35,MOBILE CLINIC,All Vahan4 Running States (35/36),2026,BS II,0
36,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2026,BS II,0
37,MOPED,All Vahan4 Running States (35/36),2026,BS II,0
38,MOTOR CAB,All Vahan4 Running States (35/36),2026,BS II,0
39,MOTOR CAR,All Vahan4 Running States (35/36),2026,BS II,5
40,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2026,BS II,0
41,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2026,BS II,0
42,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2026,BS II,0
43,OMNI BUS,All Vahan4 Running States (35/36),2026,BS II,0
44,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2026,BS II,0
45,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
46,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2026,BS II,0
47,PULLER TRACTOR,All Vahan4 Running States (35/36),2026,BS II,0
48,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS II,0
49,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2026,BS II,0
50,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
51,ROAD ROLLER,All Vahan4 Running States (35/36),2026,BS II,0
52,SCHOOL BUS,All Vahan4 Running States (35/36),2026,BS II,0
53,SEMI-TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS II,0
54,THREE WHEELER (GOODS),All Vahan4 Running States (35/36),2026,BS II,0
55,THREE WHEELER (PASSENGER),All Vahan4 Running States (35/36),2026,BS II,0
56,THREE WHEELER (PERSONAL),All Vahan4 Running States (35/36),2026,BS II,0
57,TOWER WAGON,All Vahan4 Running States (35/36),2026,BS II,0
58,TOW TRUCK,All Vahan4 Running States (35/36),2026,BS II,0
59,TRACTOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS II,0
60,TRACTOR-TROLLEY(COMMERCIAL),All Vahan4 Running States (35/36),2026,BS II,0
61,TRAILER (AGRICULTURAL),All Vahan4 Running States (35/36),2026,BS II,0
62,TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS II,0
63,TRAILER FOR PERSONAL USE,All Vahan4 Running States (35/36),2026,BS II,0
64,TREE TRIMMING VEHICLE,All Vahan4 Running States (35/36),2026,BS II,0
65,VEHICLE FITTED WITH COMPRESSOR,All Vahan4 Running States (35/36),2026,BS II,0
66,VEHICLE FITTED WITH GENERATOR,All Vahan4 Running States (35/36),2026,BS II,0
67,VEHICLE FITTED WITH RIG,All Vahan4 Running States (35/36),2026,BS II,0
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,BS III,0
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,BS III,0
3,AMBULANCE,All Vahan4 Running States (35/36),2026,BS III,0
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,BS III,0
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,BS III,23
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,BS III,0
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,BS III,0
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,BS III,0
9,BUS,All Vahan4 Running States (35/36),2026,BS III,0
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,BS III,0
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,BS III,0
12,CASH VAN,All Vahan4 Running States (35/36),2026,BS III,0
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,BS III,4
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III,0
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,BS III,0
16,DUMPER,All Vahan4 Running States (35/36),2026,BS III,0
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,BS III,0
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,BS III,0
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,BS III,0
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,BS III,0
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III,0
22,EXCAVATOR (NT),All Vahan4 Running States (35/36),2026,BS III,0
23,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2026,BS III,0
24,FIRE TENDERS,All Vahan4 Running States (35/36),2026,BS III,0
25,FORK LIFT,All Vahan4 Running States (35/36),2026,BS III,0
26,GOODS CARRIER,All Vahan4 Running States (35/36),2026,BS III,59
27,HARVESTER,All Vahan4 Running States (35/36),2026,BS III,0
28,HEARSES,All Vahan4 Running States (35/36),2026,BS III,0
29,LIBRARY VAN,All Vahan4 Running States (35/36),2026,BS III,0
30,LUXURY CAB,All Vahan4 Running States (35/36),2026,BS III,0
31,MAXI CAB,All Vahan4 Running States (35/36),2026,BS III,0
32,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2026,BS III,41
33,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2026,BS III,0
34,MOBILE CANTEEN,All Vahan4 Running States (35/36),2026,BS III,0
35,MOBILE CLINIC,All Vahan4 Running States (35/36),2026,BS III,0
36,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2026,BS III,0
37,MOPED,All Vahan4 Running States (35/36),2026,BS III,0
38,MOTOR CAB,All Vahan4 Running States (35/36),2026,BS III,0
39,MOTOR CAR,All Vahan4 Running States (35/36),2026,BS III,80
40,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2026,BS III,0
41,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2026,BS III,0
42,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2026,BS III,0
43,OMNI BUS,All Vahan4 Running States (35/36),2026,BS III,0
44,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2026,BS III,1
45,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2026,BS III,0
46,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2026,BS III,0
47,PULLER TRACTOR,All Vahan4 Running States (35/36),2026,BS III,0
48,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III,0
49,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2026,BS III,0
50,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2026,BS III,1
51,ROAD ROLLER,All Vahan4 Running States (35/36),2026,BS III,0
52,SCHOOL BUS,All Vahan4 Running States (35/36),2026,BS III,0
53,SEMI-TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III,0
54,THREE WHEELER (GOODS),All Vahan4 Running States (35/36),2026,BS III,0
55,THREE WHEELER (PASSENGER),All Vahan4 Running States (35/36),2026,BS III,0
56,THREE WHEELER (PERSONAL),All Vahan4 Running States (35/36),2026,BS III,0
57,TOWER WAGON,All Vahan4 Running States (35/36),2026,BS III,0
58,TOW TRUCK,All Vahan4 Running States (35/36),2026,BS III,0
59,TRACTOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III,0
60,TRACTOR-TROLLEY(COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III,0
61,TRAILER (AGRICULTURAL),All Vahan4 Running States (35/36),2026,BS III,0
62,TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III,0
63,TRAILER FOR PERSONAL USE,All Vahan4 Running States (35/36),2026,BS III,0
64,TREE TRIMMING VEHICLE,All Vahan4 Running States (35/36),2026,BS III,0
65,VEHICLE FITTED WITH COMPRESSOR,All Vahan4 Running States (35/36),2026,BS III,0
66,VEHICLE FITTED WITH GENERATOR,All Vahan4 Running States (35/36),2026,BS III,0
67,VEHICLE FITTED WITH RIG,All Vahan4 Running States (35/36),2026,BS III,0
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,BS III (CEV),0
3,AMBULANCE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,BS III (CEV),0
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,BS III (CEV),0
9,BUS,All Vahan4 Running States (35/36),2026,BS III (CEV),0
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,BS III (CEV),0
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,BS III (CEV),0
12,CASH VAN,All Vahan4 Running States (35/36),2026,BS III (CEV),0
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),9
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III (CEV),2
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),7
16,DUMPER,All Vahan4 Running States (35/36),2026,BS III (CEV),0
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,BS III (CEV),1
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,BS III (CEV),0
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,BS III (CEV),0
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,BS III (CEV),0
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III (CEV),0
22,EXCAVATOR (NT),All Vahan4 Running States (35/36),2026,BS III (CEV),1
23,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
24,FIRE TENDERS,All Vahan4 Running States (35/36),2026,BS III (CEV),0
25,FORK LIFT,All Vahan4 Running States (35/36),2026,BS III (CEV),0
26,GOODS CARRIER,All Vahan4 Running States (35/36),2026,BS III (CEV),0
27,HARVESTER,All Vahan4 Running States (35/36),2026,BS III (CEV),0
28,HEARSES,All Vahan4 Running States (35/36),2026,BS III (CEV),0
29,LIBRARY VAN,All Vahan4 Running States (35/36),2026,BS III (CEV),0
30,LUXURY CAB,All Vahan4 Running States (35/36),2026,BS III (CEV),0
31,MAXI CAB,All Vahan4 Running States (35/36),2026,BS III (CEV),0
32,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2026,BS III (CEV),0
33,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2026,BS III (CEV),0
34,MOBILE CANTEEN,All Vahan4 Running States (35/36),2026,BS III (CEV),0
35,MOBILE CLINIC,All Vahan4 Running States (35/36),2026,BS III (CEV),0
36,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2026,BS III (CEV),0
37,MOPED,All Vahan4 Running States (35/36),2026,BS III (CEV),0
38,MOTOR CAB,All Vahan4 Running States (35/36),2026,BS III (CEV),0
39,MOTOR CAR,All Vahan4 Running States (35/36),2026,BS III (CEV),0
40,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2026,BS III (CEV),0
41,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
42,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2026,BS III (CEV),0
43,OMNI BUS,All Vahan4 Running States (35/36),2026,BS III (CEV),0
44,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2026,BS III (CEV),0
45,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
46,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2026,BS III (CEV),0
47,PULLER TRACTOR,All Vahan4 Running States (35/36),2026,BS III (CEV),0
48,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III (CEV),0
49,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2026,BS III (CEV),0
50,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
51,ROAD ROLLER,All Vahan4 Running States (35/36),2026,BS III (CEV),0
52,SCHOOL BUS,All Vahan4 Running States (35/36),2026,BS III (CEV),0
53,SEMI-TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III (CEV),0
54,THREE WHEELER (GOODS),All Vahan4 Running States (35/36),2026,BS III (CEV),0
55,THREE WHEELER (PASSENGER),All Vahan4 Running States (35/36),2026,BS III (CEV),0
56,THREE WHEELER (PERSONAL),All Vahan4 Running States (35/36),2026,BS III (CEV),0
57,TOWER WAGON,All Vahan4 Running States (35/36),2026,BS III (CEV),0
58,TOW TRUCK,All Vahan4 Running States (35/36),2026,BS III (CEV),0
59,TRACTOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III (CEV),0
60,TRACTOR-TROLLEY(COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III (CEV),0
61,TRAILER (AGRICULTURAL),All Vahan4 Running States (35/36),2026,BS III (CEV),0
62,TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III (CEV),0
63,TRAILER FOR PERSONAL USE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
64,TREE TRIMMING VEHICLE,All Vahan4 Running States (35/36),2026,BS III (CEV),0
65,VEHICLE FITTED WITH COMPRESSOR,All Vahan4 Running States (35/36),2026,BS III (CEV),0
66,VEHICLE FITTED WITH GENERATOR,All Vahan4 Running States (35/36),2026,BS III (CEV),0
67,VEHICLE FITTED WITH RIG,All Vahan4 Running States (35/36),2026,BS III (CEV),0
1,ADAPTED VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
2,AGRICULTURAL TRACTOR,All Vahan4 Running States (35/36),2026,BS III/IV,0
3,AMBULANCE,All Vahan4 Running States (35/36),2026,BS III/IV,0
4,ANIMAL AMBULANCE,All Vahan4 Running States (35/36),2026,BS III/IV,0
5,ARMOURED/SPECIALISED VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
6,ARTICULATED VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
7,AUXILIARY TRAILER,All Vahan4 Running States (35/36),2026,BS III/IV,0
8,BREAKDOWN VAN,All Vahan4 Running States (35/36),2026,BS III/IV,0
9,BUS,All Vahan4 Running States (35/36),2026,BS III/IV,0
10,CAMPER VAN / TRAILER,All Vahan4 Running States (35/36),2026,BS III/IV,0
11,CAMPER VAN / TRAILER (PRIVATE USE),All Vahan4 Running States (35/36),2026,BS III/IV,0
12,CASH VAN,All Vahan4 Running States (35/36),2026,BS III/IV,0
13,CONSTRUCTION EQUIPMENT VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
14,CONSTRUCTION EQUIPMENT VEHICLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III/IV,0
15,CRANE MOUNTED VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
16,DUMPER,All Vahan4 Running States (35/36),2026,BS III/IV,0
17,EARTH MOVING EQUIPMENT,All Vahan4 Running States (35/36),2026,BS III/IV,0
18,EDUCATIONAL INSTITUTION BUS,All Vahan4 Running States (35/36),2026,BS III/IV,0
19,E-RICKSHAW(P),All Vahan4 Running States (35/36),2026,BS III/IV,0
20,E-RICKSHAW WITH CART (G),All Vahan4 Running States (35/36),2026,BS III/IV,0
21,EXCAVATOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III/IV,0
22,EXCAVATOR (NT),All Vahan4 Running States (35/36),2026,BS III/IV,0
23,FIRE FIGHTING VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
24,FIRE TENDERS,All Vahan4 Running States (35/36),2026,BS III/IV,0
25,FORK LIFT,All Vahan4 Running States (35/36),2026,BS III/IV,0
26,GOODS CARRIER,All Vahan4 Running States (35/36),2026,BS III/IV,4
27,HARVESTER,All Vahan4 Running States (35/36),2026,BS III/IV,0
28,HEARSES,All Vahan4 Running States (35/36),2026,BS III/IV,0
29,LIBRARY VAN,All Vahan4 Running States (35/36),2026,BS III/IV,0
30,LUXURY CAB,All Vahan4 Running States (35/36),2026,BS III/IV,0
31,MAXI CAB,All Vahan4 Running States (35/36),2026,BS III/IV,0
32,M-CYCLE/SCOOTER,All Vahan4 Running States (35/36),2026,BS III/IV,0
33,M-CYCLE/SCOOTER-WITH SIDE CAR,All Vahan4 Running States (35/36),2026,BS III/IV,0
34,MOBILE CANTEEN,All Vahan4 Running States (35/36),2026,BS III/IV,0
35,MOBILE CLINIC,All Vahan4 Running States (35/36),2026,BS III/IV,0
36,MOBILE WORKSHOP,All Vahan4 Running States (35/36),2026,BS III/IV,0
37,MOPED,All Vahan4 Running States (35/36),2026,BS III/IV,0
38,MOTOR CAB,All Vahan4 Running States (35/36),2026,BS III/IV,0
39,MOTOR CAR,All Vahan4 Running States (35/36),2026,BS III/IV,4
40,MOTOR CYCLE/SCOOTER-SIDECAR(T),All Vahan4 Running States (35/36),2026,BS III/IV,0
41,MOTOR CYCLE/SCOOTER-USED FOR HIRE,All Vahan4 Running States (35/36),2026,BS III/IV,0
42,MOTORISED CYCLE (CC > 25CC),All Vahan4 Running States (35/36),2026,BS III/IV,0
43,OMNI BUS,All Vahan4 Running States (35/36),2026,BS III/IV,0
44,OMNI BUS (PRIVATE USE),All Vahan4 Running States (35/36),2026,BS III/IV,0
45,PRIVATE SERVICE VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
46,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),All Vahan4 Running States (35/36),2026,BS III/IV,0
47,PULLER TRACTOR,All Vahan4 Running States (35/36),2026,BS III/IV,0
48,QUADRICYCLE (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III/IV,0
49,QUADRICYCLE (PRIVATE),All Vahan4 Running States (35/36),2026,BS III/IV,0
50,RECOVERY VEHICLE,All Vahan4 Running States (35/36),2026,BS III/IV,0
51,ROAD ROLLER,All Vahan4 Running States (35/36),2026,BS III/IV,0
52,SCHOOL BUS,All Vahan4 Running States (35/36),2026,BS III/IV,0
53,SEMI-TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III/IV,0
54,THREE WHEELER (GOODS),All Vahan4 Running States (35/36),2026,BS III/IV,0
55,THREE WHEELER (PASSENGER),All Vahan4 Running States (35/36),2026,BS III/IV,0
56,THREE WHEELER (PERSONAL),All Vahan4 Running States (35/36),2026,BS III/IV,0
57,TOWER WAGON,All Vahan4 Running States (35/36),2026,BS III/IV,0
58,TOW TRUCK,All Vahan4 Running States (35/36),2026,BS III/IV,0
59,TRACTOR (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III/IV,0
60,TRACTOR-TROLLEY(COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III/IV,0
61,TRAILER (AGRICULTURAL),All Vahan4 Running States (35/36),2026,BS III/IV,0
62,TRAILER (COMMERCIAL),All Vahan4 Running States (35/36),2026,BS III/IV,0
63,TRAILER FOR PERSONAL USE,All Vahan4 Running States (35/36),2026,BS III/IV,0
