S No,Fuel,State,Year,Norms,Value
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,CEV STAGE IV,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,CEV STAGE IV,0
4,PETROL,Andaman & Nicobar Island(3),2025,CEV STAGE IV,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,CEV STAGE IV,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,CEV STAGE IV,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,CEV STAGE IV,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,CEV STAGE IV,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,CEV STAGE IV,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,CEV STAGE IV,0
11,PURE EV,Andaman & Nicobar Island(3),2025,CEV STAGE IV,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,CEV STAGE IV,0
1,DIESEL,Andaman & Nicobar Island(3),2025,CEV STAGE V,3
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,CEV STAGE V,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,CEV STAGE V,0
4,PETROL,Andaman & Nicobar Island(3),2025,CEV STAGE V,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,CEV STAGE V,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,CEV STAGE V,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,CEV STAGE V,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,CEV STAGE V,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,CEV STAGE V,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,CEV STAGE V,0
11,PURE EV,Andaman & Nicobar Island(3),2025,CEV STAGE V,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,CEV STAGE V,0
1,DIESEL,Andaman & Nicobar Island(3),2025,EURO 1,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 1,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,EURO 1,0
4,PETROL,Andaman & Nicobar Island(3),2025,EURO 1,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,EURO 1,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,EURO 1,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,EURO 1,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,EURO 1,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 1,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,EURO 1,0
11,PURE EV,Andaman & Nicobar Island(3),2025,EURO 1,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,EURO 1,0
1,DIESEL,Andaman & Nicobar Island(3),2025,EURO 2,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 2,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,EURO 2,0
4,PETROL,Andaman & Nicobar Island(3),2025,EURO 2,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,EURO 2,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,EURO 2,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,EURO 2,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,EURO 2,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 2,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,EURO 2,0
11,PURE EV,Andaman & Nicobar Island(3),2025,EURO 2,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,EURO 2,0
1,DIESEL,Andaman & Nicobar Island(3),2025,EURO 3,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 3,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,EURO 3,0
4,PETROL,Andaman & Nicobar Island(3),2025,EURO 3,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,EURO 3,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,EURO 3,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,EURO 3,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,EURO 3,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 3,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,EURO 3,0
11,PURE EV,Andaman & Nicobar Island(3),2025,EURO 3,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,EURO 3,0
1,DIESEL,Andaman & Nicobar Island(3),2025,EURO 4,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 4,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,EURO 4,0
4,PETROL,Andaman & Nicobar Island(3),2025,EURO 4,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,EURO 4,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,EURO 4,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,EURO 4,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,EURO 4,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 4,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,EURO 4,0
11,PURE EV,Andaman & Nicobar Island(3),2025,EURO 4,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,EURO 4,0
1,DIESEL,Andaman & Nicobar Island(3),2025,EURO 6,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,EURO 6,0
4,PETROL,Andaman & Nicobar Island(3),2025,EURO 6,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,EURO 6,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,EURO 6,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,EURO 6,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,EURO 6,0
11,PURE EV,Andaman & Nicobar Island(3),2025,EURO 6,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,EURO 6,0
1,DIESEL,Andaman & Nicobar Island(3),2025,EURO 6A,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6A,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,EURO 6A,0
4,PETROL,Andaman & Nicobar Island(3),2025,EURO 6A,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,EURO 6A,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,EURO 6A,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6A,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,EURO 6A,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6A,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,EURO 6A,0
11,PURE EV,Andaman & Nicobar Island(3),2025,EURO 6A,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,EURO 6A,0
1,DIESEL,Andaman & Nicobar Island(3),2025,EURO  6AD,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,EURO  6AD,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,EURO  6AD,0
4,PETROL,Andaman & Nicobar Island(3),2025,EURO  6AD,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,EURO  6AD,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,EURO  6AD,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,EURO  6AD,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,EURO  6AD,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,EURO  6AD,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,EURO  6AD,0
11,PURE EV,Andaman & Nicobar Island(3),2025,EURO  6AD,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,EURO  6AD,0
1,DIESEL,Andaman & Nicobar Island(3),2025,EURO 6B,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6B,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,EURO 6B,0
4,PETROL,Andaman & Nicobar Island(3),2025,EURO 6B,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,EURO 6B,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,EURO 6B,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6B,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,EURO 6B,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6B,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,EURO 6B,0
11,PURE EV,Andaman & Nicobar Island(3),2025,EURO 6B,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,EURO 6B,0
1,DIESEL,Andaman & Nicobar Island(3),2025,EURO 6C,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6C,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,EURO 6C,0
4,PETROL,Andaman & Nicobar Island(3),2025,EURO 6C,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,EURO 6C,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,EURO 6C,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6C,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,EURO 6C,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6C,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,EURO 6C,0
11,PURE EV,Andaman & Nicobar Island(3),2025,EURO 6C,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,EURO 6C,0
1,DIESEL,Andaman & Nicobar Island(3),2025,EURO 6D,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6D,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,EURO 6D,0
4,PETROL,Andaman & Nicobar Island(3),2025,EURO 6D,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,EURO 6D,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,EURO 6D,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6D,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,EURO 6D,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,EURO 6D,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,EURO 6D,0
11,PURE EV,Andaman & Nicobar Island(3),2025,EURO 6D,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,EURO 6D,0
1,DIESEL,Andaman & Nicobar Island(3),2025,Not Applicable,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,Not Applicable,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,Not Applicable,0
4,PETROL,Andaman & Nicobar Island(3),2025,Not Applicable,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,Not Applicable,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,Not Applicable,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,Not Applicable,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,Not Applicable,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,Not Applicable,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,Not Applicable,0
11,PURE EV,Andaman & Nicobar Island(3),2025,Not Applicable,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,Not Applicable,0
1,DIESEL,Andaman & Nicobar Island(3),2025,Not Available,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,Not Available,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,Not Available,27
4,PETROL,Andaman & Nicobar Island(3),2025,Not Available,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,Not Available,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,Not Available,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,Not Available,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,Not Available,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,Not Available,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,Not Available,0
11,PURE EV,Andaman & Nicobar Island(3),2025,Not Available,139
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,Not Available,0
1,DIESEL,Andaman & Nicobar Island(3),2025,TREM STAGE IV,1
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,TREM STAGE IV,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,TREM STAGE IV,0
4,PETROL,Andaman & Nicobar Island(3),2025,TREM STAGE IV,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,TREM STAGE IV,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,TREM STAGE IV,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,TREM STAGE IV,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,TREM STAGE IV,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,TREM STAGE IV,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,TREM STAGE IV,0
11,PURE EV,Andaman & Nicobar Island(3),2025,TREM STAGE IV,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,TREM STAGE IV,0
1,DIESEL,Andaman & Nicobar Island(3),2025,TREM STAGE V,0
2,DIESEL/HYBRID,Andaman & Nicobar Island(3),2025,TREM STAGE V,0
3,ELECTRIC(BOV),Andaman & Nicobar Island(3),2025,TREM STAGE V,0
4,PETROL,Andaman & Nicobar Island(3),2025,TREM STAGE V,0
5,PETROL/CNG,Andaman & Nicobar Island(3),2025,TREM STAGE V,0
6,PETROL(E20)/CNG,Andaman & Nicobar Island(3),2025,TREM STAGE V,0
7,PETROL(E20)/HYBRID,Andaman & Nicobar Island(3),2025,TREM STAGE V,0
8,PETROL/ETHANOL,Andaman & Nicobar Island(3),2025,TREM STAGE V,0
9,PETROL/HYBRID,Andaman & Nicobar Island(3),2025,TREM STAGE V,0
10,PETROL/LPG,Andaman & Nicobar Island(3),2025,TREM STAGE V,0
11,PURE EV,Andaman & Nicobar Island(3),2025,TREM STAGE V,0
12,STRONG HYBRID EV,Andaman & Nicobar Island(3),2025,TREM STAGE V,0
1,CNG ONLY,Andhra Pradesh(84),2025,BS I,0
2,DIESEL,Andhra Pradesh(84),2025,BS I,0
3,DIESEL/HYBRID,Andhra Pradesh(84),2025,BS I,0
4,ELECTRIC(BOV),Andhra Pradesh(84),2025,BS I,0
5,ETHANOL,Andhra Pradesh(84),2025,BS I,0
6,LNG,Andhra Pradesh(84),2025,BS I,0
7,LPG ONLY,Andhra Pradesh(84),2025,BS I,0
8,NOT APPLICABLE,Andhra Pradesh(84),2025,BS I,0
9,PETROL,Andhra Pradesh(84),2025,BS I,0
10,PETROL/CNG,Andhra Pradesh(84),2025,BS I,0
11,PETROL(E20)/CNG,Andhra Pradesh(84),2025,BS I,0
12,PETROL(E20)/HYBRID,Andhra Pradesh(84),2025,BS I,0
13,PETROL(E20)/HYBRID/CNG,Andhra Pradesh(84),2025,BS I,0
14,PETROL/ETHANOL,Andhra Pradesh(84),2025,BS I,0
15,PETROL/HYBRID,Andhra Pradesh(84),2025,BS I,0
16,PETROL/HYBRID/CNG,Andhra Pradesh(84),2025,BS I,0
17,PETROL/LPG,Andhra Pradesh(84),2025,BS I,0
18,PLUG-IN HYBRID EV,Andhra Pradesh(84),2025,BS I,0
19,PURE EV,Andhra Pradesh(84),2025,BS I,0
20,STRONG HYBRID EV,Andhra Pradesh(84),2025,BS I,0
1,CNG ONLY,Andhra Pradesh(84),2025,BS II,0
2,DIESEL,Andhra Pradesh(84),2025,BS II,0
3,DIESEL/HYBRID,Andhra Pradesh(84),2025,BS II,0
4,ELECTRIC(BOV),Andhra Pradesh(84),2025,BS II,0
5,ETHANOL,Andhra Pradesh(84),2025,BS II,0
6,LNG,Andhra Pradesh(84),2025,BS II,0
7,LPG ONLY,Andhra Pradesh(84),2025,BS II,0
8,NOT APPLICABLE,Andhra Pradesh(84),2025,BS II,0
9,PETROL,Andhra Pradesh(84),2025,BS II,0
10,PETROL/CNG,Andhra Pradesh(84),2025,BS II,0
11,PETROL(E20)/CNG,Andhra Pradesh(84),2025,BS II,0
12,PETROL(E20)/HYBRID,Andhra Pradesh(84),2025,BS II,0
13,PETROL(E20)/HYBRID/CNG,Andhra Pradesh(84),2025,BS II,0
14,PETROL/ETHANOL,Andhra Pradesh(84),2025,BS II,0
15,PETROL/HYBRID,Andhra Pradesh(84),2025,BS II,0
16,PETROL/HYBRID/CNG,Andhra Pradesh(84),2025,BS II,0
17,PETROL/LPG,Andhra Pradesh(84),2025,BS II,0
18,PLUG-IN HYBRID EV,Andhra Pradesh(84),2025,BS II,0
19,PURE EV,Andhra Pradesh(84),2025,BS II,0
20,STRONG HYBRID EV,Andhra Pradesh(84),2025,BS II,0
1,CNG ONLY,Andhra Pradesh(84),2025,BS III,0
2,DIESEL,Andhra Pradesh(84),2025,BS III,0
3,DIESEL/HYBRID,Andhra Pradesh(84),2025,BS III,0
4,ELECTRIC(BOV),Andhra Pradesh(84),2025,BS III,0
5,ETHANOL,Andhra Pradesh(84),2025,BS III,0
6,LNG,Andhra Pradesh(84),2025,BS III,0
7,LPG ONLY,Andhra Pradesh(84),2025,BS III,0
8,NOT APPLICABLE,Andhra Pradesh(84),2025,BS III,0
9,PETROL,Andhra Pradesh(84),2025,BS III,1
10,PETROL/CNG,Andhra Pradesh(84),2025,BS III,0
11,PETROL(E20)/CNG,Andhra Pradesh(84),2025,BS III,0
12,PETROL(E20)/HYBRID,Andhra Pradesh(84),2025,BS III,0
13,PETROL(E20)/HYBRID/CNG,Andhra Pradesh(84),2025,BS III,0
14,PETROL/ETHANOL,Andhra Pradesh(84),2025,BS III,0
15,PETROL/HYBRID,Andhra Pradesh(84),2025,BS III,0
16,PETROL/HYBRID/CNG,Andhra Pradesh(84),2025,BS III,0
17,PETROL/LPG,Andhra Pradesh(84),2025,BS III,0
18,PLUG-IN HYBRID EV,Andhra Pradesh(84),2025,BS III,0
19,PURE EV,Andhra Pradesh(84),2025,BS III,0
20,STRONG HYBRID EV,Andhra Pradesh(84),2025,BS III,0
1,CNG ONLY,Andhra Pradesh(84),2025,BS III (CEV),0
2,DIESEL,Andhra Pradesh(84),2025,BS III (CEV),418
3,DIESEL/HYBRID,Andhra Pradesh(84),2025,BS III (CEV),0
4,ELECTRIC(BOV),Andhra Pradesh(84),2025,BS III (CEV),0
5,ETHANOL,Andhra Pradesh(84),2025,BS III (CEV),0
6,LNG,Andhra Pradesh(84),2025,BS III (CEV),0
7,LPG ONLY,Andhra Pradesh(84),2025,BS III (CEV),0
8,NOT APPLICABLE,Andhra Pradesh(84),2025,BS III (CEV),0
9,PETROL,Andhra Pradesh(84),2025,BS III (CEV),0
10,PETROL/CNG,Andhra Pradesh(84),2025,BS III (CEV),0
11,PETROL(E20)/CNG,Andhra Pradesh(84),2025,BS III (CEV),0
12,PETROL(E20)/HYBRID,Andhra Pradesh(84),2025,BS III (CEV),0
13,PETROL(E20)/HYBRID/CNG,Andhra Pradesh(84),2025,BS III (CEV),0
14,PETROL/ETHANOL,Andhra Pradesh(84),2025,BS III (CEV),0
15,PETROL/HYBRID,Andhra Pradesh(84),2025,BS III (CEV),0
16,PETROL/HYBRID/CNG,Andhra Pradesh(84),2025,BS III (CEV),0
17,PETROL/LPG,Andhra Pradesh(84),2025,BS III (CEV),0
18,PLUG-IN HYBRID EV,Andhra Pradesh(84),2025,BS III (CEV),0
19,PURE EV,Andhra Pradesh(84),2025,BS III (CEV),0
20,STRONG HYBRID EV,Andhra Pradesh(84),2025,BS III (CEV),0
1,CNG ONLY,Andhra Pradesh(84),2025,BS III/IV,0
2,DIESEL,Andhra Pradesh(84),2025,BS III/IV,0
3,DIESEL/HYBRID,Andhra Pradesh(84),2025,BS III/IV,0
4,ELECTRIC(BOV),Andhra Pradesh(84),2025,BS III/IV,0
5,ETHANOL,Andhra Pradesh(84),2025,BS III/IV,0
6,LNG,Andhra Pradesh(84),2025,BS III/IV,0
7,LPG ONLY,Andhra Pradesh(84),2025,BS III/IV,0
8,NOT APPLICABLE,Andhra Pradesh(84),2025,BS III/IV,0
9,PETROL,Andhra Pradesh(84),2025,BS III/IV,0
10,PETROL/CNG,Andhra Pradesh(84),2025,BS III/IV,0
11,PETROL(E20)/CNG,Andhra Pradesh(84),2025,BS III/IV,0
12,PETROL(E20)/HYBRID,Andhra Pradesh(84),2025,BS III/IV,0
13,PETROL(E20)/HYBRID/CNG,Andhra Pradesh(84),2025,BS III/IV,0
14,PETROL/ETHANOL,Andhra Pradesh(84),2025,BS III/IV,0
15,PETROL/HYBRID,Andhra Pradesh(84),2025,BS III/IV,0
16,PETROL/HYBRID/CNG,Andhra Pradesh(84),2025,BS III/IV,0
17,PETROL/LPG,Andhra Pradesh(84),2025,BS III/IV,0
18,PLUG-IN HYBRID EV,Andhra Pradesh(84),2025,BS III/IV,0
19,PURE EV,Andhra Pradesh(84),2025,BS III/IV,0
20,STRONG HYBRID EV,Andhra Pradesh(84),2025,BS III/IV,0
1,CNG ONLY,Andhra Pradesh(84),2025,BS IV,0
2,DIESEL,Andhra Pradesh(84),2025,BS IV,4
3,DIESEL/HYBRID,Andhra Pradesh(84),2025,BS IV,0
4,ELECTRIC(BOV),Andhra Pradesh(84),2025,BS IV,0
5,ETHANOL,Andhra Pradesh(84),2025,BS IV,0
6,LNG,Andhra Pradesh(84),2025,BS IV,0
7,LPG ONLY,Andhra Pradesh(84),2025,BS IV,0
8,NOT APPLICABLE,Andhra Pradesh(84),2025,BS IV,0
9,PETROL,Andhra Pradesh(84),2025,BS IV,1
10,PETROL/CNG,Andhra Pradesh(84),2025,BS IV,0
11,PETROL(E20)/CNG,Andhra Pradesh(84),2025,BS IV,0
12,PETROL(E20)/HYBRID,Andhra Pradesh(84),2025,BS IV,0
13,PETROL(E20)/HYBRID/CNG,Andhra Pradesh(84),2025,BS IV,0
14,PETROL/ETHANOL,Andhra Pradesh(84),2025,BS IV,0
15,PETROL/HYBRID,Andhra Pradesh(84),2025,BS IV,0
16,PETROL/HYBRID/CNG,Andhra Pradesh(84),2025,BS IV,0
17,PETROL/LPG,Andhra Pradesh(84),2025,BS IV,0
18,PLUG-IN HYBRID EV,Andhra Pradesh(84),2025,BS IV,0
19,PURE EV,Andhra Pradesh(84),2025,BS IV,0
20,STRONG HYBRID EV,Andhra Pradesh(84),2025,BS IV,0
1,CNG ONLY,Andhra Pradesh(84),2025,BS IV/VI,0
2,DIESEL,Andhra Pradesh(84),2025,BS IV/VI,0
3,DIESEL/HYBRID,Andhra Pradesh(84),2025,BS IV/VI,0
4,ELECTRIC(BOV),Andhra Pradesh(84),2025,BS IV/VI,0
5,ETHANOL,Andhra Pradesh(84),2025,BS IV/VI,0
6,LNG,Andhra Pradesh(84),2025,BS IV/VI,0
7,LPG ONLY,Andhra Pradesh(84),2025,BS IV/VI,0
8,NOT APPLICABLE,Andhra Pradesh(84),2025,BS IV/VI,0
9,PETROL,Andhra Pradesh(84),2025,BS IV/VI,0
10,PETROL/CNG,Andhra Pradesh(84),2025,BS IV/VI,0
11,PETROL(E20)/CNG,Andhra Pradesh(84),2025,BS IV/VI,0
12,PETROL(E20)/HYBRID,Andhra Pradesh(84),2025,BS IV/VI,0
13,PETROL(E20)/HYBRID/CNG,Andhra Pradesh(84),2025,BS IV/VI,0
14,PETROL/ETHANOL,Andhra Pradesh(84),2025,BS IV/VI,0
15,PETROL/HYBRID,Andhra Pradesh(84),2025,BS IV/VI,0
16,PETROL/HYBRID/CNG,Andhra Pradesh(84),2025,BS IV/VI,0
17,PETROL/LPG,Andhra Pradesh(84),2025,BS IV/VI,0
18,PLUG-IN HYBRID EV,Andhra Pradesh(84),2025,BS IV/VI,0
19,PURE EV,Andhra Pradesh(84),2025,BS IV/VI,0
20,STRONG HYBRID EV,Andhra Pradesh(84),2025,BS IV/VI,0
1,CNG ONLY,Andhra Pradesh(84),2025,BS VI,"9,788"
2,DIESEL,Andhra Pradesh(84),2025,BS VI,"80,197"
3,DIESEL/HYBRID,Andhra Pradesh(84),2025,BS VI,210
4,ELECTRIC(BOV),Andhra Pradesh(84),2025,BS VI,0
5,ETHANOL,Andhra Pradesh(84),2025,BS VI,16
6,LNG,Andhra Pradesh(84),2025,BS VI,3
7,LPG ONLY,Andhra Pradesh(84),2025,BS VI,9
8,NOT APPLICABLE,Andhra Pradesh(84),2025,BS VI,1
9,PETROL,Andhra Pradesh(84),2025,BS VI,"5,08,418"
10,PETROL/CNG,Andhra Pradesh(84),2025,BS VI,"7,024"
11,PETROL(E20)/CNG,Andhra Pradesh(84),2025,BS VI,969
12,PETROL(E20)/HYBRID,Andhra Pradesh(84),2025,BS VI,686
13,PETROL(E20)/HYBRID/CNG,Andhra Pradesh(84),2025,BS VI,1
14,PETROL/ETHANOL,Andhra Pradesh(84),2025,BS VI,"2,13,872"
15,PETROL/HYBRID,Andhra Pradesh(84),2025,BS VI,"4,967"
16,PETROL/HYBRID/CNG,Andhra Pradesh(84),2025,BS VI,3
17,PETROL/LPG,Andhra Pradesh(84),2025,BS VI,2
18,PLUG-IN HYBRID EV,Andhra Pradesh(84),2025,BS VI,2
19,PURE EV,Andhra Pradesh(84),2025,BS VI,0
20,STRONG HYBRID EV,Andhra Pradesh(84),2025,BS VI,"1,991"
1,CNG ONLY,Andhra Pradesh(84),2025,B(T)S III,0
2,DIESEL,Andhra Pradesh(84),2025,B(T)S III,1
3,DIESEL/HYBRID,Andhra Pradesh(84),2025,B(T)S III,0
4,ELECTRIC(BOV),Andhra Pradesh(84),2025,B(T)S III,0
5,ETHANOL,Andhra Pradesh(84),2025,B(T)S III,0
6,LNG,Andhra Pradesh(84),2025,B(T)S III,0
7,LPG ONLY,Andhra Pradesh(84),2025,B(T)S III,0
8,NOT APPLICABLE,Andhra Pradesh(84),2025,B(T)S III,0
9,PETROL,Andhra Pradesh(84),2025,B(T)S III,0
10,PETROL/CNG,Andhra Pradesh(84),2025,B(T)S III,0
11,PETROL(E20)/CNG,Andhra Pradesh(84),2025,B(T)S III,0
12,PETROL(E20)/HYBRID,Andhra Pradesh(84),2025,B(T)S III,0
13,PETROL(E20)/HYBRID/CNG,Andhra Pradesh(84),2025,B(T)S III,0
14,PETROL/ETHANOL,Andhra Pradesh(84),2025,B(T)S III,0
15,PETROL/HYBRID,Andhra Pradesh(84),2025,B(T)S III,0
16,PETROL/HYBRID/CNG,Andhra Pradesh(84),2025,B(T)S III,0
17,PETROL/LPG,Andhra Pradesh(84),2025,B(T)S III,0
18,PLUG-IN HYBRID EV,Andhra Pradesh(84),2025,B(T)S III,0
19,PURE EV,Andhra Pradesh(84),2025,B(T)S III,0
20,STRONG HYBRID EV,Andhra Pradesh(84),2025,B(T)S III,0
1,CNG ONLY,Andhra Pradesh(84),2025,B(T)S III A,0
2,DIESEL,Andhra Pradesh(84),2025,B(T)S III A,"29,202"
