state_code,state_name,vehicle_group,vehicle_class,year,count
-1,All India,AMBULANCE/HEARSES,ADAPTED VEHICLE,LMV,0
-1,All India,AMBULANCE/HEARSES,ADAPTED VEHICLE,MMV,0
-1,All India,AMBULANCE/HEARSES,ADAPTED VEHICLE,HMV,0
-1,All India,AMBULANCE/HEARSES,ADAPTED VEHICLE,TOTAL,465
-1,All India,AMBULANCE/HEARSES,MOTOR CAR,4WIC,0
-1,All India,AMBULANCE/HEARSES,MOTOR CAR,LMV,728152
-1,All India,AMBULANCE/HEARSES,MOTOR CAR,MMV,0
-1,All India,AMBULANCE/HEARSES,MOTOR CAR,HMV,0
-1,All India,AMBULANCE/HEARSES,MOTOR CAR,TOTAL,728152
-1,All India,AMBULANCE/HEARSES,OMNI BUS (PRIVATE USE),4WIC,0
-1,All India,AMBULANCE/HEARSES,OMNI BUS (PRIVATE USE),LMV,1893
-1,All India,AMBULANCE/HEARSES,OMNI BUS (PRIVATE USE),MMV,6
-1,All India,AMBULANCE/HEARSES,OMNI BUS (PRIVATE USE),HMV,120
-1,All India,AMBULANCE/HEARSES,OMNI BUS (PRIVATE USE),TOTAL,2019
-1,All India,AMBULANCE/HEARSES,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),4WIC,0
-1,All India,AMBULANCE/HEARSES,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),LMV,296
-1,All India,AMBULANCE/HEARSES,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),MMV,3
-1,All India,AMBULANCE/HEARSES,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),HMV,1
-1,All India,AMBULANCE/HEARSES,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),TOTAL,300
-1,All India,AMBULANCE/HEARSES,QUADRICYCLE (PRIVATE),4WIC,0
-1,All India,AMBULANCE/HEARSES,QUADRICYCLE (PRIVATE),LMV,2
-1,All India,AMBULANCE/HEARSES,QUADRICYCLE (PRIVATE),MMV,0
-1,All India,AMBULANCE/HEARSES,QUADRICYCLE (PRIVATE),HMV,0
-1,All India,AMBULANCE/HEARSES,QUADRICYCLE (PRIVATE),TOTAL,2
-1,All India,CONSTRUCTION EQUIPMENT,ADAPTED VEHICLE,4WIC,465
-1,All India,CONSTRUCTION EQUIPMENT,ADAPTED VEHICLE,LMV,0
-1,All India,CONSTRUCTION EQUIPMENT,ADAPTED VEHICLE,MMV,0
-1,All India,CONSTRUCTION EQUIPMENT,ADAPTED VEHICLE,HMV,0
-1,All India,CONSTRUCTION EQUIPMENT,ADAPTED VEHICLE,TOTAL,465
-1,All India,CONSTRUCTION EQUIPMENT,MOTOR CAR,4WIC,0
-1,All India,CONSTRUCTION EQUIPMENT,MOTOR CAR,LMV,728152
-1,All India,CONSTRUCTION EQUIPMENT,MOTOR CAR,MMV,0
-1,All India,CONSTRUCTION EQUIPMENT,MOTOR CAR,HMV,0
-1,All India,CONSTRUCTION EQUIPMENT,MOTOR CAR,TOTAL,728152
-1,All India,CONSTRUCTION EQUIPMENT,OMNI BUS (PRIVATE USE),4WIC,0
-1,All India,CONSTRUCTION EQUIPMENT,OMNI BUS (PRIVATE USE),LMV,1893
-1,All India,CONSTRUCTION EQUIPMENT,OMNI BUS (PRIVATE USE),MMV,6
-1,All India,CONSTRUCTION EQUIPMENT,OMNI BUS (PRIVATE USE),HMV,120
-1,All India,CONSTRUCTION EQUIPMENT,OMNI BUS (PRIVATE USE),TOTAL,2019
-1,All India,CONSTRUCTION EQUIPMENT,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),4WIC,0
-1,All India,CONSTRUCTION EQUIPMENT,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),LMV,296
-1,All India,CONSTRUCTION EQUIPMENT,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),MMV,3
-1,All India,CONSTRUCTION EQUIPMENT,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),HMV,1
-1,All India,CONSTRUCTION EQUIPMENT,PRIVATE SERVICE VEHICLE (INDIVIDUAL USE),TOTAL,300
-1,All India,CONSTRUCTION EQUIPMENT,QUADRICYCLE (PRIVATE),4WIC,0
-1,All India,CONSTRUCTION EQUIPMENT,QUADRICYCLE (PRIVATE),LMV,2
-1,All India,CONSTRUCTION EQUIPMENT,QUADRICYCLE (PRIVATE),MMV,0
-1,All India,CONSTRUCTION EQUIPMENT,QUADRICYCLE (PRIVATE),HMV,0
-1,All India,CONSTRUCTION EQUIPMENT,QUADRICYCLE (PRIVATE),TOTAL,2
-1,All India,GOODS VEHICLES,ADAPTED VEHICLE,4WIC,465
-1,All India,GOODS VEHICLES,ADAPTED VEHICLE,LMV,0
-1,All India,GOODS VEHICLES,ADAPTED VEHICLE,MMV,0
-1,All India,GOODS VEHICLES,ADAPTED VEHICLE,HMV,0
-1,All India,GOODS VEHICLES,ADAPTED VEHICLE,TOTAL,465
-1,All India,GOODS VEHICLES,MOTOR CAR,4WIC,0
-1,All India,GOODS VEHICLES,MOTOR CAR,LMV,728152
-1,All India,GOODS VEHICLES,MOTOR CAR,MMV,0
-1,All India,GOODS VEHICLES,MOTOR CAR,HMV,0
-1,All India,GOODS VEHICLES,MOTOR CAR,TOTAL,728152
-1,All India,GOODS VEHICLES,OMNI BUS (PRIVATE USE),4WIC,0
-1,All India,GOODS VEHICLES,OMNI BUS (PRIVATE USE),LMV,1893
-1,All India,GOODS VEHICLES,OMNI BUS (PRIVATE USE),MMV,6
-1,All India,GOODS VEHICLES,OMNI BUS (PRIVATE USE),HMV,120
