state_code,state_name,maker,year,x_column,count
-1,All India,ARNA ELECTRIC AUTO PVT LTD,2025,Vehicle Category Group,0
-1,All India,ARROW AUTOMOTIVE,2025,Vehicle Category Group,0
-1,All India,ARYAN INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,ASHA IMPEX,2025,Vehicle Category Group,0
-1,All India,ASHMA-MOTORS PVT LTD,2025,Vehicle Category Group,0
-1,All India,ASHOK LEYLAND LTD,2025,Vehicle Category Group,0
-1,All India,ASTON MARTIN LAGONDA LTD,2025,Vehicle Category Group,0
-1,All India,ATHER ENERGY LTD,2025,Vehicle Category Group,0
-1,All India,ATTOLENT AUTO GROUP PVT LTD,2025,Vehicle Category Group,0
-1,All India,ATUL AUTO LTD,2025,Vehicle Category Group,0
-1,All India,ATUL GREENTECH PRIVATE LIMITED,2025,Vehicle Category Group,0
-1,All India,ATUT SANGAM,2025,Vehicle Category Group,0
-1,All India,AUDI AG,2025,Vehicle Category Group,0
-1,All India,AUTOECO GREEN ENERGY PVT LTD,2025,Vehicle Category Group,0
-1,All India,AUTOHAUS PRIVATE LIMITED,2025,Vehicle Category Group,0
-1,All India,AUTOMOBILI LAMBORGHINI S.P.A,2025,Vehicle Category Group,0
-1,All India,AUTO SUPREME INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,A.V.AUTOMOTIVES PVT LTD,2025,Vehicle Category Group,0
-1,All India,AVL ELECTRIC VEHICLES PVT LTD,2025,Vehicle Category Group,0
-1,All India,AVON CYCLES LTD,2025,Vehicle Category Group,0
-1,All India,AVTAR ENGINEERING WORKS,2025,Vehicle Category Group,0
-1,All India,AWACHAT INDUSTRIES LTD,2025,Vehicle Category Group,0
-1,All India,AZZURRO MOBILITY LLP,2025,Vehicle Category Group,0
-1,All India,B24 ROKET EV,2025,Vehicle Category Group,0
-1,All India,BABA E-VEHICLES,2025,Vehicle Category Group,0
-1,All India,BABAJI ENGINEERING TRAILOR WORKS,2025,Vehicle Category Group,0
-1,All India,BABA PRODUCT,2025,Vehicle Category Group,0
-1,All India,BABAR AGRO INDUSTRIES AP1510243976,2025,Vehicle Category Group,0
-1,All India,BADSHAH ENTERPRISES,2025,Vehicle Category Group,0
-1,All India,BAGHWAN RIKSHAW UDYOG,2025,Vehicle Category Group,0
-1,All India,BAJAJ AUTO LTD,2025,Vehicle Category Group,0
-1,All India,BAJAJ IMPLEMENTS PVT. LTD,2025,Vehicle Category Group,0
-1,All India,BAJRANG AGRO INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,BAJRANG MECHANICAL WORKS,2025,Vehicle Category Group,0
-1,All India,BALAJI AGRO INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,BALAJI FARM & STEEL WORKS,2025,Vehicle Category Group,0
-1,All India,BALAJI TRADING COMPANY,2025,Vehicle Category Group,0
-1,All India,BALAN ENGINEERING PVT LTD,2025,Vehicle Category Group,0
-1,All India,BAL GOPAL WHEELS PVT LTD,2025,Vehicle Category Group,0
-1,All India,BALI AUTO INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,BALURGHAT AUTOMOBILES AND ENGINEERING,2025,Vehicle Category Group,0
-1,All India,BAMUR INDUSTRIES & ENGINEERING PVT LTD,2025,Vehicle Category Group,0
-1,All India,BANSAL AGRICULTURE IMPLEMENTS,2025,Vehicle Category Group,0
-1,All India,BASUDEB ENGINEERING CUTTACK KHAPURIA MADHUPATNA,2025,Vehicle Category Group,0
-1,All India,BATTRE ELECTRIC MOBLITY PVT LTD,2025,Vehicle Category Group,0
-1,All India,BAXY LTD,2025,Vehicle Category Group,0
-1,All India,BEAUTY ENGINEERING WORKS,2025,Vehicle Category Group,0
-1,All India,BEML LIMITED,2025,Vehicle Category Group,0
-1,All India,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2025,Vehicle Category Group,0
-1,All India,BENTINCK INDUSTRIES PVT. LTD.,2025,Vehicle Category Group,0
-1,All India,BENTLEY MOTORS LIMITED,2025,Vehicle Category Group,0
-1,All India,BENTLEY MOTORS LTD (SAVWIPL),2025,Vehicle Category Group,0
-1,All India,BEST WAY AGENCIES PVT LTD,2025,Vehicle Category Group,0
-1,All India,BGAUSS AUTO PRIVATE LIMITED,2025,Vehicle Category Group,0
-1,All India,BHADAURIA ENTERPRISES,2025,Vehicle Category Group,0
-1,All India,BHAGWAN AGRO INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,BHARATHI TRAILERS,2025,Vehicle Category Group,0
-1,All India,BHARATH MOTOCORP,2025,Vehicle Category Group,0
-1,All India,BHARAT MECHANICAL WORKS,2025,Vehicle Category Group,0
-1,All India,BHARTI AGRICULTURE,2025,Vehicle Category Group,0
-1,All India,BHASKARA INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,BHAVANI TROLI WORKS,2025,Vehicle Category Group,0
-1,All India,BHAVE ELECTRIC VEHICLES PVT LTD,2025,Vehicle Category Group,0
-1,All India,BHM INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,BHOGAL COMBINE SPARE PARTS,2025,Vehicle Category Group,0
-1,All India,BHOLE SHANKAR MOTOR BODY,2025,Vehicle Category Group,0
-1,All India,BHOOMI ENGINEERING,2025,Vehicle Category Group,0
-1,All India,BHOYAR AGRO IND WARDHA,2025,Vehicle Category Group,0
-1,All India,BIDISHA ENTERPRISES PVT LTD MAYURBHANJ RAIRANGPUR,2025,Vehicle Category Group,0
-1,All India,BIG BULL TRADER PVT LTD,2025,Vehicle Category Group,0
-1,All India,BILLU ELECTRIC MOTOR VEHICLES,2025,Vehicle Category Group,0
-1,All India,BLACK DIAMOND MOTORS PVT LTD,2025,Vehicle Category Group,0
-1,All India,BLUE EDGE TRADE VENTURE PVT. LTD,2025,Vehicle Category Group,0
-1,All India,BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,2025,Vehicle Category Group,0
-1,All India,BMR EV INDUSTRIES PVT LTD,2025,Vehicle Category Group,0
-1,All India,BMW INDIA PVT LTD,2025,Vehicle Category Group,0
-1,All India,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,2025,Vehicle Category Group,0
-1,All India,BOSS ENTERPRISES,2025,Vehicle Category Group,0
-1,All India,BOUNCE ELECTRIC 1 PVT LTD,2025,Vehicle Category Group,0
-1,All India,BRB MEXICO S.A DE C.V,2025,Vehicle Category Group,0
-1,All India,BRIGHT AUTOZONE PVT LTD,2025,Vehicle Category Group,0
-1,All India,BRIGHT SAFAR,2025,Vehicle Category Group,0
-1,All India,BSERAIL ENGINEERING PVT LTD,2025,Vehicle Category Group,0
-1,All India,BSMS AGRICULTURE WORKSHOP,2025,Vehicle Category Group,0
-1,All India,BULL MACHINES PVT LTD,2025,Vehicle Category Group,0
-1,All India,BUZZCHARGE ELECTRIC VEHICLES PVT LTD,2025,Vehicle Category Group,0
-1,All India,BYD INDIA PRIVATE LIMITED,2025,Vehicle Category Group,0
-1,All India,CAKE 0 EMISSION (IMPORTER: PEPFUELS TECHNOLOGIES),2025,Vehicle Category Group,0
-1,All India,CAPCO INDUSTRIES PVT LTD,2025,Vehicle Category Group,0
-1,All India,CAP ELECTRIC WORKS LLP,2025,Vehicle Category Group,0
-1,All India,CAPTAIN TRACTORS PVT. LTD.,2025,Vehicle Category Group,0
-1,All India,CARREE YUNUS VEHICLE PVT LTD,2025,Vehicle Category Group,0
-1,All India,CART INDIA,2025,Vehicle Category Group,0
-1,All India,CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,2025,Vehicle Category Group,0
-1,All India,CATERPILLAR INDIA PRIVATE LIMITED,2025,Vehicle Category Group,0
-1,All India,CEEON INDIA,2025,Vehicle Category Group,0
-1,All India,CELLETRON MOTOR WORKS,2025,Vehicle Category Group,0
-1,All India,CG & BROTHER CO,2025,Vehicle Category Group,0
-1,All India,CHAMPION POLY PLAST,2025,Vehicle Category Group,0
-1,All India,CHAMUNDA AGRICULTURE AND WELDING WORKS,2025,Vehicle Category Group,0
-1,All India,CHAMUNDA MECHANICLE WORKS,2025,Vehicle Category Group,0
-1,All India,CHANDAKE-AUTOMOBILES LLP,2025,Vehicle Category Group,0
-1,All India,CHANDANA CORPORATION,2025,Vehicle Category Group,0
-1,All India,CHANNY AGRO INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,CHARWICK ENGINEERING WORKS AP004V00001,2025,Vehicle Category Group,0
-1,All India,CHAUHAN AUTO INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,CHEHAK BATTERIES,2025,Vehicle Category Group,0
-1,All India,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),2025,Vehicle Category Group,0
-1,All India,CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),2025,Vehicle Category Group,0
-1,All India,CHITRA MANUFACTURERS LLP,2025,Vehicle Category Group,0
-1,All India,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,2025,Vehicle Category Group,0
-1,All India,CLAAS INDIA P LTD,2025,Vehicle Category Group,0
-1,All India,CLASSIC LEGENDS PVT LTD,2025,Vehicle Category Group,0
-1,All India,C M OVERSEAS,2025,Vehicle Category Group,0
-1,All India,CNH INDUSTRIAL (INDIA) PVT LTD,2025,Vehicle Category Group,0
-1,All India,COMETTO TRAILER,2025,Vehicle Category Group,0
-1,All India,CONMAT HEAVY INDUSTRIES PVT LTD,2025,Vehicle Category Group,0
-1,All India,CONTINENTAL ENGINES PVT LTD,2025,Vehicle Category Group,0
-1,All India,COOPER CORPORATION PVT LTD,2025,Vehicle Category Group,0
-1,All India,COVAI GREEN RIDE,2025,Vehicle Category Group,0
-1,All India,CRANE KRAFT INDIA PRIVATE LIMITED,2025,Vehicle Category Group,0
-1,All India,CREATIVE ENGINEERINGS,2025,Vehicle Category Group,0
-1,All India,CUBE AUTO INDUSTRIES,2025,Vehicle Category Group,0
-1,All India,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,2025,Vehicle Category Group,0
