S No,Norms,State,Year,Fuel,Value
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,CNG ONLY,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,CNG ONLY,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,CNG ONLY,"78,966"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,CNG ONLY,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,CNG ONLY,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,CNG ONLY,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,CNG ONLY,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,CNG ONLY,7
13,EURO 1,All Vahan4 Running States (35/36),2026,CNG ONLY,0
14,EURO 2,All Vahan4 Running States (35/36),2026,CNG ONLY,0
15,EURO 3,All Vahan4 Running States (35/36),2026,CNG ONLY,0
16,EURO 6,All Vahan4 Running States (35/36),2026,CNG ONLY,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,CNG ONLY,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,CNG ONLY,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,CNG ONLY,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,DIESEL,2
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,DIESEL,5
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,DIESEL,100
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,DIESEL,20
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,DIESEL,6
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,DIESEL,46
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,DIESEL,"3,30,795"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,DIESEL,10
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,DIESEL,"1,78,341"
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,DIESEL,21
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,DIESEL,39
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,DIESEL,"11,810"
13,EURO 1,All Vahan4 Running States (35/36),2026,DIESEL,4
14,EURO 2,All Vahan4 Running States (35/36),2026,DIESEL,0
15,EURO 3,All Vahan4 Running States (35/36),2026,DIESEL,0
16,EURO 6,All Vahan4 Running States (35/36),2026,DIESEL,11
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,DIESEL,1
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,DIESEL,"7,190"
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,DIESEL,61
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,"1,749"
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
13,EURO 1,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
14,EURO 2,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
15,EURO 3,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
16,EURO 6,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,DIESEL/HYBRID,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
13,EURO 1,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
14,EURO 2,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
15,EURO 3,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
16,EURO 6,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,DI-METHYL ETHER,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
13,EURO 1,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
14,EURO 2,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
15,EURO 3,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
16,EURO 6,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,DUAL DIESEL/BIO CNG,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
13,EURO 1,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
14,EURO 2,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
15,EURO 3,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
16,EURO 6,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,DUAL DIESEL/CNG,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
13,EURO 1,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
14,EURO 2,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
15,EURO 3,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
16,EURO 6,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,DUAL DIESEL/LNG,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),1
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
13,EURO 1,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
14,EURO 2,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
15,EURO 3,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
16,EURO 6,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),1
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),"85,866"
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,ELECTRIC(BOV),0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,ETHANOL,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,ETHANOL,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,ETHANOL,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,ETHANOL,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,ETHANOL,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,ETHANOL,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,ETHANOL,11
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,ETHANOL,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,ETHANOL,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,ETHANOL,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,ETHANOL,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,ETHANOL,0
13,EURO 1,All Vahan4 Running States (35/36),2026,ETHANOL,0
14,EURO 2,All Vahan4 Running States (35/36),2026,ETHANOL,0
15,EURO 3,All Vahan4 Running States (35/36),2026,ETHANOL,0
16,EURO 6,All Vahan4 Running States (35/36),2026,ETHANOL,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,ETHANOL,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,ETHANOL,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,ETHANOL,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),4
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
13,EURO 1,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
14,EURO 2,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
15,EURO 3,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
16,EURO 6,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,FLEX-FUEL(BIO-DIESEL),0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
13,EURO 1,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
14,EURO 2,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
15,EURO 3,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
16,EURO 6,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,FLEX-FUEL(ETHANOL),0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
13,EURO 1,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
14,EURO 2,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
15,EURO 3,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
16,EURO 6,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,FUEL CELL HYDROGEN,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,HCNG,0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,HCNG,0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,HCNG,0
4,BHARAT STAGE III (CEV),All Vahan4 Running States (35/36),2026,HCNG,0
5,BHARAT STAGE III/IV,All Vahan4 Running States (35/36),2026,HCNG,0
6,BHARAT STAGE IV,All Vahan4 Running States (35/36),2026,HCNG,0
7,BHARAT STAGE VI,All Vahan4 Running States (35/36),2026,HCNG,0
8,BHARAT (TREM) STAGE III,All Vahan4 Running States (35/36),2026,HCNG,0
9,BHARAT (TREM) STAGE III A,All Vahan4 Running States (35/36),2026,HCNG,0
10,BHARAT (TREM) STAGE III B,All Vahan4 Running States (35/36),2026,HCNG,0
11,CEV STAGE IV,All Vahan4 Running States (35/36),2026,HCNG,0
12,CEV STAGE V,All Vahan4 Running States (35/36),2026,HCNG,0
13,EURO 1,All Vahan4 Running States (35/36),2026,HCNG,0
14,EURO 2,All Vahan4 Running States (35/36),2026,HCNG,0
15,EURO 3,All Vahan4 Running States (35/36),2026,HCNG,0
16,EURO 6,All Vahan4 Running States (35/36),2026,HCNG,0
17,NOT AVAILABLE,All Vahan4 Running States (35/36),2026,HCNG,0
18,TREM STAGE IV,All Vahan4 Running States (35/36),2026,HCNG,0
19,TREM STAGE V,All Vahan4 Running States (35/36),2026,HCNG,0
1,BHARAT STAGE I,All Vahan4 Running States (35/36),2026,HYDROGEN(ICE),0
2,BHARAT STAGE II,All Vahan4 Running States (35/36),2026,HYDROGEN(ICE),0
3,BHARAT STAGE III,All Vahan4 Running States (35/36),2026,HYDROGEN(ICE),0
